Expedition,Hole,"Core, section, interval (cm)",Depth (csf),Presevation,Bathymetry,Alabamminella weddelensis,Amphicoryna sp.,Anomalinoides globulosus,Anomalinoides sp. A,Astrononion echolsi,Astrononion sp. indet.,Bigenerina sp.,Brizalina pusilla,Bulimina alazanensis,Buliminella parvula,Cassidulina sp. A,Chrysalogonium crassitestum,Chrysalogonium sp. indet.,Cibicidoides eocanus,Cibicidoides grimusdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides wuellerstorfi,Cibicidoides sp. A,Cibicidoides sp. C,Cibicidoides sp. indet.,Cystammina pauciloculata,Dentalina spp.,Eggerella bradyi,Ehrenbergina histrix,Evolvecassidulina cf. howei,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fursenkoina bradyi,Glandulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides sp. A,Gyroidinoides sp. B,Gyroidinoides sp. C,Gyroidinoides sp. D,Gyroidinoides sp. indet.,Haplophragmoides sp. indet.,Heronallenia sp.,Karreriella chapapotensis,Laticarinina pauperata,Lenticulina spp.,Mattinotiella cummunis,Myllostonella spp.,Nodosaria spp.,Nonion affine,Nonion havanensis,Nuttallides umbonifer,Nuttallides sp.,Oridorsalis umbonatus,Orthomorphina spp.,Paracassidulina sp.,Planulina costata,Planulina renzi,Pleurostomella spp.,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia sp. A,Pullenia sp. indet.,Pyrulina spp.,Quadrimorphina? sp.,Quinqueloculina sp.,Siphonodosaria antillea,Siphonodosaria spinata,Siphonodosaria sp. indet.,Spheroidina bulloides,Spiroloculina sp.,Spiroplectammina spectabilis,Textularia spp.,Triloculina sp.,Trochamminas? sp.,Turrilina robertsi,Tube-shaped agglutinated form.,Unilocular species,Uvigerina peregrina pradyiana,Valvulina spinosa,Agglutinated Foram. gen. et sp. indet.,Calc. Hyaline Foram. gen. et sp. indet.
320,U1336A,"  1H-cc, 21-26 cm",8.22 ,M,LB-A,,,,,,,,,,R,,,,,,,,F,,,,,,R,,,,,,,,,R,R,R,,,R,,,,R,R,,,,,,,A,,R,,,,,R,R,,R,,,,,F,R,,,R,,R,R,,R,,,,,,,F,,,,R
320,U1336A,"  2H-cc, 15-20 cm",17.71 ,G,LB-A,,,,F,,,,,,,,,,,,,,F,,,,R,,,,R,,,,,,,R,,,,,R,,,,,F,,,,,,,,,R,,,,,,,,R,,,,,,,,,R,,,,,,,,R,,,,,,,,F
320,U1336A,"  3H-cc, 24-29 cm",27.50 ,G,LB-A,,,,,R,,,R,,,,,,,R,R,,A,,R,,R,,R,R,,,,,F,,,F,,F,,,R,,,,,R,,,,,,,,,F,,,,R,,,,R,R,,R,,R,,R,,R,R,,R,,,R,,,,,,F,,R,,F
320,U1336A,"  4H-cc, 17-22 cm",36.23 ,G,LB-A,,,,R,,,,,,,R,,,,,R,,R,,,,,,,,,,,,,,,R,R,,,R,,,,,,R,,,,,,,R,,F,,,,R,R,,,,,,,,R,,,,R,,,,,,,,,,,,R,,,,R
320,U1336A,"  5H-cc, 21-26 cm",46.44 ,G,LB-A,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,R,,,,,,R,,,,,,,R,,,,,,,F,,,,,,,,,,R,,R,,,,,,,,,,,,F,,R,,F
320,U1336A,"  6H-cc, 14-19 cm",55.17 ,G,LB-A,,,,,R,,R,,,,R,,,,R,,,F,,,,,,R,,,,,,,,,A,R,R,R,,,R,,,,,R,,,,,,R,,A,,,R,R,R,R,,,R,,,,R,,R,,,,R,R,,,R,,,,,,F,R,R,R,R
320,U1336A,"  7H-cc, 27-32 cm",65.59 ,G,LB-A,,,,R,R,R,,R,,,,,,,R,,,F,,,,,,R,,,,,,R,,,F,R,,R,R,R,,,,,,,,,,,,R,,A,,,,,F,R,,R,,,,,,,F,,R,,R,R,R,,,,,,,F,F,,,,F
320,U1336A,"  8H-cc, 14-19 cm",74.41 ,G,LB-A,,,,,,,,R,,,,,,,,,,F,,R,,,,R,R,,R,,,R,,,A,R,R,R,,,,,,,R,,,,,,R,R,,A,,,,,R,,,A,R,,,,,,,,R,,R,R,R,,,R,,,,R,F,,,,R
320,U1336A,"  9H-cc, 21-26 cm",84.61 ,G,LB-A,,,,R,,,,R,,,,,,,,,,F,,R,,,,,,,,,,,,,F,R,,,,,,,,,F,R,,,,R,,,,A,,,,,R,,R,R,,,,,,,,,R,R,R,,,,,,,,,,R,,R,,
320,U1336A,"  10H-cc, 20-25 cm",93.81 ,G,LB-A,,,,R,F,,,,,,R,,,,,R,,,,,,,,R,R,,,,,,,F,F,R,R,R,,F,R,,,,,,,,,,,R,,F,R,,,,R,R,,F,,,,,R,,,,,,,A,,,,,,,,,,,,,
320,U1336A,"  11H-cc, 18-23 cm",103.51 ,G,LB-A,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,F,,R,R,,,R,,,,,R,,R,R,,,R,,A,,,,,F,,,R,,,,,R,,F,,,R,R,F,,,,,,,,,F,,,,R
320,U1336A,"  12H-cc, 17-22 cm",112.46 ,G,LB-A,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,F,,R,R,F,,,,,,,,R,,,,,,,F,R,,,,,,,R,,,,,,,,,R,R,R,R,R,,R,,,,,,R,R,,,F
320,U1336A,"  13H-cc, 26-31 cm",122.61 ,G,LB-A,,,,R,,R,,,,,,,,,,,,F,,R,,,,,,,R,,,,,,R,,R,F,,F,R,,,R,F,,,,,,,,R,R,,,,,F,,,,,,,,,,R,,,,R,,,,,R,,,,,F,,,,F
320,U1336A,"  14H-cc, 0-5 cm",123.53 ,G,LB-A,,,,F,R,R,,,,,F,,,,,,,F,,,,R,,R,,,,,,,,,F,,F,,R,,,,,,R,,R,,,,,R,,F,,,,,F,,,R,,,,,R,,,R,,R,R,R,,,,,,,,,F,,,,F
320,U1336A,"  15H-cc, 22-27 cm",133.41 ,G,LB-A,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,F,,R,,F,F,,,,,,,,,,,,F,,F,,,,R,R,,,F,,,,,,,F,,,,F,,,,,,,R,,,R,,,,F
320,U1336A,"  16H-cc, 22-27 cm",142.02 ,G,LB-A,,,,R,,,,,,R,R,,,R,R,,,,,F,,,,R,,,,R,,,,,A,,F,,R,R,R,,,,R,,,,,,,R,,R,,,,,F,,,R,,,,,R,,R,,R,R,R,R,,,,R,,,,,F,,R,,R
320,U1336A,"  17H-cc, 21-26 cm",151.87 ,G,LB-A,,R,,F,,R,,,,,R,,,,R,,,R,,,,R,,,,,,,,,,R,A,,,F,R,R,R,,,R,,,,,,,R,,,F,,,,,,,R,F,,,F,R,,,R,,,,R,,,,,,,,,,R,,,,F
320,U1336A,"  18H-cc, 26-31 cm",161.56 ,G,LB-A,,,,,R,,,,,R,R,,,,R,,,A,,R,,,,,R,R,,,,,,,F,R,R,,R,,R,,,R,,,,,,,F,,,A,,,,R,R,,,,,,,,R,,R,,,,,R,R,,,,,,,,,,,,R
320,U1336A,"  19H-cc, 23-28 cm",170.63 ,G,LB-A,,,R,,R,,,,,,F,,,,R,R,,R,,R,,R,,,,,,,,,,,A,,R,R,F,,,,,,,,,,,,R,,,F,,,,,R,R,,,,F,,,R,,R,,,R,,R,,,,,,,,,R,,R,,F
320,U1336A,"  20H-cc, 0-5 cm",180.16 ,M,LB-A,,,,R,R,,,,,,R,,,,,,,R,,R,,,,,,,,,R,,,,A,R,A,R,,R,,,,,R,,,,,,R,R,,F,R,,,R,F,,,R,,,,,R,,,,,,,R,R,,,,,,,,A,R,,,R
320,U1336A,"  21X-cc, 20-25 cm",184.81 ,M,LB-A,,,,F,R,,,,R,,,,,,,,,,R,,R,R,,,,,,,,,R,,R,R,R,,R,,,,,R,R,,,,,,R,R,,F,,,,,,,,R,,R,,,,,,,R,,,F,,,,,,,,,A,R,,,A
320,U1336A,"  22X-cc, 13-18 cm",192.75 ,M,LB-A,R,,,R,,,,,,,,,,,,R,,R,R,,,R,,,,,,,,,,,D,,R,R,R,R,R,,,,R,,,,,,R,,,A,,,,,R,,,,,,,,R,R,,,,R,,R,,,,,,,,,R,,,,R
320,U1336A,"  23X-cc, 25-30 cm",202.18 ,M,LB-A,,,,R,A,R,,,,,R,,,,,,,R,,R,R,,,,,,,,,,,,A,,F,,R,,R,,R,,,,,,,,,F,,F,,,,,,R,,,,,,,,,R,,,,,R,,,,,,,,,F,,R,,F
320,U1336A,"  24X-cc, 35-40 cm",209.65 ,M,LB-A,,,,,R,,,,,,F,,R,,,,,R,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,R,,A,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,R,,,,F
320,U1336A,"  25X-cc, 41-46 cm",216.94 ,M,LB-A,,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,F,,R,F,,,,,,,,R,,,,,,R,,A,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,R
320,U1336A,"  26X-cc, 33-38 cm",237.81 ,M,LB-A,,,,,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,A,R,R,,,R,R,,,,,,,,,,,,,F,,R,,,,,,,,R,,,,,R,,,,,R,,,R,,,,,,R,,,,R
320,U1336A,"  27X-cc, 25-30 cm",243.81 ,M,LB-A,,,,,R,,,,,,R,,,,,,,R,,,,R,,,,,,,,,,,R,,,,R,R,R,,,,,,,,,,,,,R,,,,,,,,R,R,R,,,,,R,,,,,R,,,R,,,,,,,,R,,R
320,U1336A,"  28X-cc, 47-52 cm",254.55 ,M,LB-A,,,,R,F,,,,,R,,,,,,,,5,,,,,,,,,,,,,,,,F,R,R,,R,,,,,,,,,,,R,,,A,,,,,F,,R,R,,,,,,,,,,,,,,,,,,,,,R,,,,
320,U1336A,"  29X-cc, 48-53 cm",264.41 ,M,LB-A,,,,R,F,,,R,,R,,,,,,,,A,,R,,R,,,R,,,,,,,,A,F,R,,R,A,F,,,,,R,,,,,,R,,R,,,,,R,,,R,F,,,,,R,,,,,,R,,,,,,,,,,,,,
320,U1336A,"  30X-cc, 55-60 cm",264.48 ,M,LB-A,,,,F,,,,D,,,,,,,,,,R,,,R,,,,,,,,,,,,F,F,,R,,F,,,,,,,,,,,R,,,A,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,R,,,,R
320,U1336A,"  31X-cc, 33-38 cm",274.59 ,M,LB-A,,,,R,,,,,,,R,,,,R,R,,F,,,R,R,,,,,,,,,R,,A,R,R,R,R,R,F,,,,,R,,,,R,,,,A,,,,,R,,,R,,,R,,,R,R,,,,,R,R,,,,,,R,,R,,,,
320,U1336A,"  32X-cc, 38-43 cm",283.32 ,P,LB-A,,,,R,,F,,,,,,,,,R,R,,A,,,F,F,,,,,,,,,,,F,,F,,R,F,,R,,,,,,,,,R,,,A,,,,,R,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,F
320,U1336A,"  33X-cc, 70-75 cm",291.27 ,P,LB-A,,,,R,,,,,,,,,,,F,R,,A,,,,,,,,,,,,,,,R,,,R,,R,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,
320,U1336A,"  34X-cc, 27-32 cm",294.10 ,M,LB-A,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,
320,U1336A,"  35X-cc, 37-40 cm",299.61 ,M,LB-A,,,,R,R,R,,,,,,,,,,R,,A,,,,R,,,,,R,,,,,,A,F,R,R,,R,F,,,,,,,,,,R,,,A,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,
