Expedition,Site,Hole,Core, section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m], Abundance, Preservation,Dic. subarctios,Distephanus boliviensis boliviensis,Dis. Medianoctisol,Dis. Medianoctisol (with short radial spines),Dis. octangulatus,Dis. octonarius,Dis. speculum,Dis. speculum (with short radial spines),Aberrant forms,Ebria tripartita
323,U1339,A,2H,CC,0,0,14.64,14.64,B,G,,,,,,,,T,,T
323,U1339,A,3H,CC,0,0,24.23,24.23,B,G,,,,R,,,,F,,
323,U1339,A,4H,CC,0,0,33.96,33.96,B,G,,,,T,,,,,,
323,U1339,B,2H,CC,0,0,13.65,13.65,B,G,,,T,,,,,R,,
323,U1339,B,4H,CC,0,0,32.91,32.91,B,G,,,,,R,,R,,,
323,U1339,B,5H,CC,0,0,42.17,42.17,B,G,,,,T,T,,R,A,T,
323,U1339,B,6H,CC,0,0,52.23,52.23,B,G,,,,T,,T,,T,,
323,U1339,B,7H,CC,0,0,61.5,61.5,B,G,,,T,,,R,T,C,,
323,U1339,B,9H,CC,0,0,80.37,80.37,B,G,,,,,,T,,T,,
323,U1339,B,11H,CC,0,0,99.25,99.25,B,G,,,T,R,,T,F,C,T,
323,U1339,B,13H,CC,0,0,108.89,108.89,B,G,,,,T,,F,R,F,,
323,U1339,B,15H,CC,0,0,130,130,B,M,,,T,,,T,,,,
323,U1339,B,17H,CC,0,0,148.57,148.57,B,M,,,,,,,,T,,
323,U1339,B,18H,CC,0,0,158.79,158.79,B,M,,,R,,T,,T,R,,
323,U1339,B,19H,CC,0,0,167.86,167.86,B,M,,T,,,T,,,R,,
323,U1339,B,20H,CC,0,0,177.64,177.64,B,M,,,R,F,R,T,T,,T,
323,U1339,B,21H,CC,0,0,187.6,187.6,B,,,,,,,,,,,
323,U1339,B,22H,CC,0,0,196.83,196.83,B,G,,,F,,T,F,,R,,
323,U1339,C,5H,CC,0,0,48.39,48.39,B,G,,,,,,,T,F,,
323,U1339,C,6H,CC,0,0,57.84,57.84,B,G,,,,,,,,F,,
323,U1339,C,7H,CC,0,0,66.55,66.55,B,G,,,,,,,,F,,
323,U1339,C,8H,CC,0,0,76.49,76.49,B,M,,,,T,,T,,,,
323,U1339,C,9H,CC,0,0,85.24,85.24,B,,,,,,,,,,,
323,U1339,C,10H,CC,0,0,95.01,95.01,B,M,,,,R,T,,R,F,,
323,U1339,C,12H,CC,0,0,114.36,114.36,B,M,,,,,T,,,T,,
323,U1339,C,14H,CC,0,0,133.99,133.99,B,M,,,,,,,,T,,
323,U1339,C,16H,CC,0,0,146.52,146.52,B,M,,,R,,,,,T,,
323,U1339,C,18H,CC,0,2,165.92,165.94,B,M,,,,,T,,,R,,
323,U1339,C,19H,CC,0,0,176.38,176.38,B,M,,T,,,T,,,R,,
323,U1339,C,20H,CC,0,0,185.75,185.75,B,M,,,,,T,,,,,
323,U1339,C,21H,CC,0,0,195.24,195.24,B,M,,,,,,,,T,,
323,U1339,D,4H,CC,0,0,33.38,33.38,B,M,,,,,T,,T,,,
323,U1339,D,5H,CC,0,0,43.24,43.24,B,M,,,,,,,,R,,
323,U1339,D,6H,CC,0,0,52.97,52.97,B,M,,,,,,R,,,,
323,U1339,D,7H,CC,0,0,62.48,62.48,B,M,,,,R,,T,,C,,
323,U1339,D,8H,CC,0,0,71.2,71.2,B,M,,,,,,,,,,
323,U1339,D,10H,CC,0,0,90.53,90.53,B,M,,,,R,T,,R,F,,
323,U1339,D,20H,CC,0,0,185.99,185.99,B,M,,,F,T,R,T,,,,
323,U1339,D,21H,CC,0,2,194.11,194.13,B,M,T,,,,,,T,T,,
323,U1339,D,22H,CC,0,0,200.77,200.77,B,M,F,,,,,R,,R,,
