Expedition,Site,Hole,Core,Section, top interval (cm),bottom interval (cm),Depth top CSF-A (m),Depth bottom CSF-A (m),Preservation,Abundance,Alabaminella weddellensis,Bolivina sp.,Brizalina pygmaea,Brizalina earlandi,Bulimina aff. exilis,Bulimina sp.,Cancris cf. phillipinensis,Cassidulina sp.,Cibicidoides sp.,Eggerella bradyi,Elphidium cf. batialis,Epistominella pulchella ,Epistominella sp.,Fissurina sp,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Lagena spp.,Lenticulina sp.,Martinotiella communis,Melonis barleanum,Nodosaria spp.,Nodosaria aff. pyrula,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Oridorsalis umbonatus,Planulina wuellerstorfi,Procerolagena cf. gracillima,Pullenia sp.,Pullenia bulloides,Pyrgo sp.,Rhabdammina sp.,Sphaeroidina bulloides,Stainforthia aff. fusiformis,Triloculina sp.,Triloculina cf. trihedra,Uvigerina cf. peregrina,Uvigerina auberiana,Valvulineria sp.,Nodosaria longiscata ,"Cribrostomoides subglobosus
",IRD,Other observations
323,U1341,C,1H,1,0,0,0,0,VG,D,,F,P,,,D,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,R,A,Rare sponge spicules
323,U1341,C,1H,CC,,,5.44,5.54,VG,A,,,,p,,F,,P,,,,,,,,,P,,,P,,P,,,,,,,P,R,p,,,,,P,,,,,P,A,R,R,,A,Rare sponge spicules
323,U1341,C,2H,CC,,,15.34,15.44,G,A,,,,,,,,,,,,,F,,,,F,,R,A,,,,,P,,R,,R,,,,,,,,P,,R,P,F,F,,,,A,Rare sponge spicules
323,U1341,C,3H,CC,,,24.82,24.92,G,A,,,,P,,P,,,,A,,,,,P,,R,,F,F,P,,,P,,,,,,,,P,P,,,,,,,P,,A,P,P,,A,Rare sponge spicules
323,U1341,C,4H,CC,,,34.41,34.51,G,F,,,,R,,R,R,,R,F,,R,,,,,R,,R,,,,,R,P,,,P,,,,,P,,,,,,,,,,,,,D,Rare sponge spicules
323,U1341,C,5H,CC,,,41.69,41.79,G,R,,,,,,P,,,P,,,R,,,,,R,,,,,,,,,,,P,,,,,,P,,,,,,,,R,,,,D,Rare sponge spicules
323,U1341,C,6H,CC,,,53.52,53.62,M,F,,,,,,,,,,,,P,,,,,,F,,,,,,P,,,P,F,,,,,,P,,,,,,,,F,,,,D,Rare sponge spicules
323,U1341,C,7H,CC,,,62.14,62.24,G,F,,,,,,F,,,P,,,,,,,,F,,R,,,,,R,P,,,R,P,,,,,P,,,,,,,,R,,,,D,Rare sponge spicules
323,U1341,C,8H,CC,,,70.96,71.06,G,F,,,,P,P,P,,,,A,,,,,,,R,,R,F,,,,F,,,,P,,,,,,F,,,,P,,,P,P,,,,D,Rare sponge spicules
323,U1341,C,9H,CC,,,80.52,80.62,G,R,,,,,,R,,,,,,P,,P,,,P,P,P,R,,,,R,P,,,,,,,,,,,,,,,,,A,,,,A,Rare sponge spicules
323,U1341,C,10H,CC,,,89.95,90.05,G,D,,,,F,,D,P,,P,A,,,,,,,,R,,,,,,P,,,,R,,,,,R,,,,,,,,,R,,,,F,Rare sponge spicules
323,U1341,C,11H,CC,,,96.93,97.03,G,F,,,,P,,F,,,P,F,,,,,,,R,P,,R,,,,,P,,R,,,,,,,,P,,,P,,,,F,,,,D,Rare sponge spicules
323,U1341,C,12H,CC,,,105.64,105.74,G,R,,,,,,,,,,,,R,,,,,R,P,R,,,,,,,,,,,,,,P,,P,,,,,,,,,,,D,Rare sponge spicules
323,U1341,C,13H,CC,,,115.05,115.15,G,D,,,,R,,,,,P,P,P,,R,,P,,R,P,,D,,,,,,,A,P,,,,,P,,,,,,,,,,,,,D,Rare sponge spicules
323,U1341,C,14H,CC,,,124.56,124.66,G,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Rare sponge spicules
323,U1341,C,15H,CC,,,133.96,134.06,M,R,,,,,,,P,,,P,,R,,,P,P,,,,P,,,,,,,,,,,,,,,,,,,,P,,,,,,D,Rare sponge spicules
323,U1341,C,16H,CC,,,139.55,139.65,M,R,,,,,,R,,,,,,R,,,,,P,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,D,Rare sponge spicules
323,U1341,C,17H,CC,,,147.08,147.18,M,F,,,,,,,,,,,P,F,,,,,F,,P,,,,,,P,,,,,,,,,,P,,P,,P,,,,,,,A,Rare sponge spicules
323,U1341,C,18H,CC,,,157,157.1,M,F,,,,,,,,,,,,P,,,,,R,,P,,,,,R,,,,,,P,,,,F,P,,,,P,,,,,,,A,Rare sponge spicules
323,U1341,C,19H,CC,,,166.5,166.6,P,R,,,,,,,,,,,,P,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,D,Few sponge spicules
323,U1341,C,20H,CC,,,175.98,176.08,P,P,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Few sponge spicules
323,U1341,C,21H,CC,,,185.45,185.55,P,F,P,,,,,,,,,,,R,,,,,F,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,D,"Rare sponge spicules, wood"
323,U1341,C,23H,CC,,,196.96,197.06,G,A,,,,,,,,,P,R,,P,,,,,R,,F,F,,,,P,,R,,,,,,P,,F,,,,,,,,,,R,,A,Rare sponge spicules
323,U1341,C,24H,CC,,,201.58,201.68,P,F,,,,,,,,,R,,,P,P,,,,R,,P,,,P,,,R,P,,,,,,,,,,,,,,P,,,,,,D,Yellow degraded planktonics
323,U1341,C,25H,CC,,,211.17,211.27,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,"Clumped spicules, wood"
323,U1341,C,26H,CC,,,220.82,220.92,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,"Clumped spicules, wood"
323,U1341,C,27H,CC,,,230.44,230.54,G,R,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,A,Clumped spicules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
