Expedition,Hole,Core,Type,Section,Depth top CSF-A (m),Depth bottom CSF-A (m),Preservation,Total radiolarians,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,,
323,U1343A,1,H,CC,5.38,5.48,M,C,C,,,,,,,,,C,,,,,F,,,,,,,,,,,,,F,,,F,,,,,F,F,,,
323,U1343A,2,H,CC,14.92,15.02,M,F,,,,,,F,,,,F,,,,,,,,,,F,,,,F,,,,F,,,,,,,,F,F,,,
323,U1343A,3,H,CC,24.60,24.73,G,F,F,,,,,F,,F,,C,,,,,,,,,,F,,,,C,, ,,,,,,,,,,F,F,,,
323,U1343A,4,H,CC,34.66,34.76,M,C,C,,,,F,C,,,,A,,,,,,,,,,F,,,,C,,,,F,,,,,,,,F,F,,,
323,U1343A,5,H,CC,43.91,44.01,M,F,,,,,,F,,,,C,,,,,,,,,,F,,,,,,,,F,,,F,,,,,,F,,,
323,U1343A,6,H,CC,53.92,54.02,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,F,F,,,
323,U1343A,7,H,CC,62.19,62.29,G,F,,,,,,,,,,C,,,,,,,,,,F,,,,F,,,,,,,F,,,,,F,F,,,
323,U1343A,8,H,4W,67.33,67.35,M,C,,,,,,C,,,,A,,,,,F,,,,,F,,,,F,,,,,,,F,,,,,F,F,,,
323,U1343A,8,H,CC,71.79,71.89,M,F,F,F,,,,F,,,,C,,,,,F,,,,,F,,,,F,,,,F,,,,,,,,,F,,,
323,U1343A,9,H,CC,81.90,82.00,M,C,F,,,,F,F,,,,C,,,,,,,,,,,,,,C,,,,,C,,F,,,,,F,C,,,
323,U1343A,10,H,6W,89.24,89.26,M,F,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,F,,F,,,,,,,,,
323,U1343A,10,H,CC,90.90,91.00,M,C,C,,,F,,F,,,,C,,,,,F,,,,,,,,,,,,,F,C,,F,,,,,,,,,
323,U1343A,11,H,CC,100.50,100.60,M,F,F,,,F,,F,,,,,,,,,,,,,,,,,,F,,,,F,C,,F,,,,,,F,,,
323,U1343A,12,H,7W,109.53,109.55,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,
323,U1343A,12,H,CC,110.42,110.52,M,F,F,,,F,,F,,,,C,,,,,F,,,,,,,,,F,,,,,F,,,,,,F,,,,,
323,U1343A,13,H,CC,119.32,119.42,M,F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,,,F,,,,F,,,,,
323,U1343A,14,H,CC,128.86,128.96,M,F,F,,,F,,F,,F,,F,,,,,F,,,,,F,,,,,,,,F,F,,F,,,,,,F,,,
323,U1343A,15,H,CC,139.06,139.16,M,C,F,,,F,,C,,,,A,,,,,C,,,,,F,,,,,,,,F,C,,F,F,,,,,F,,,
323,U1343A,16,H,CC,147.11,147.21,M,C,F,,,F,,C,,,,F,,,,,F,,,,,,,,,,,,,,C,,C,,,,F,,F,,,
323,U1343A,17,H,CC,157.29,157.39,M,C,C,,,F,,C,,F,,F,,,,,F,,,,,,,,,,,,,F,C,,,,,,F,,F,,,
323,U1343A,18,H,CC,166.12,166.22,M,F,F,,,,F,F,,,,F,,,,,F,,,,,,,,,,,,,F,F,,F,F,,,F,,F,,,
323,U1343A,19,H,CC,173.80,173.90,M,C,F,,,F,,F,,,,A,,,F,,C,,,,,,,,,,,,,F,C,,F,,,,,,F,,,
323,U1343A,20,H,CC,181.96,182.06,M,C,F,,,F,F,C,,F,,F,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,F,,,
323,U1343A,21,H,CC,191.50,191.60,M,F,F,,,F,F,,,,,F,,,,,F,,,,,,,,,,,,,F,F,,,,,,,,F,,,
323,U1343A,22,H,CC,201.66,201.76,M,C,F,,,,,F,,,,C,,,,,F,,,,,F,,,,,,,,F,F,,C,F,,,,,F,,,
323,U1343B,1,H,CC,6.72,6.85,M,C,C,,,,,C,,F,,C,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,,,
323,U1343B,2,H,CC,16.77,16.87,M,F,,,,,,F,,,,F,,,,,,,,,,,,,,F,,,,,,,F,,,,,,F,,,
323,U1343B,3,H,CC,24.98,25.08,M,C,F,,,,,F,,,,C,,,,,,,,,,,,,,F,,,,,,,F,,,,,F,F,,,
323,U1343B,4,H,CC,35.16,35.26,M,C,F,,,,F,C,,,,C,,,,,,,,,,F,,,,C,,,,,,,F,,,,,F,F,,,
323,U1343C,1,H,CC,7.14,7.24,M,F,F,,,,,F,,F,,C,,,,,,,,,,,,,,,,,,F,,,F,,,,,F,F,,,
323,U1343C,2,H,CC,16.57,16.67,M,F,F,,,,,F,,F,,C,,,,,,,,,,,,,,F,,,,F,,,,,,,,,F,,,
323,U1343C,3,H,CC,26.5,26.6,M,C,F,,,,,F,,F,,C,,,,,F,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,
323,U1343C,4,H,CC,36.3,36.4,M,C,F,,,,,F,,F,,C,,,,,F,,,,,,,,,C,,,,F,,,F,,,,,,F,,,
323,U1343C,5,H,CC,44.65,44.75,M,C,F,,,,,C,,F,,C,,,,,,,,,,F,,,,F,,,,,,,F,,,,,F,C,,,
323,U1343C,6,H,CC,55.41,55.51,M,C,F,,,,,F,,F,,C,,,,,,,,,,F,,,,F,,,,F,F,,,,,,,F,C,,,
323,U1343C,7,H,CC,63.81,63.91,G,F,,,F,,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,F,F,,,
323,U1343C,8,H,CC,70.58,70.68,M,C,C,,,,,,,,,C,,,,,,,,,,,,,,C,,,,F,,,,,,,,F,F,,,
323,U1343C,9,H,CC,78.25,78.35,M,F,,,,,,C,,,,F,,,,,,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,
323,U1343C,10,H,CC,87.58,87.68,M,C,F,,,,F,F,,,,C,,,,,,,,,,F,,,,F,,,,F,C,,F,,,,,C,C,,,
323,U1343C,11,H,CC,97.44,97.54,M,F,F,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,
323,U1343C,12,H,CC,106.58,106.68,M,F,F,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,C,,F,,,,,F,F,,,
323,U1343C,13,H,CC,116,116.1,M,F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,
323,U1343C,14,H,CC,124.55,124.65,M,C,F,,,F,,F,,F,,C,,,,,F,,,,,F,,,,,,,,F,F,F,F,F,,,,,F,,,
323,U1343C,15,H,CC,134.94,135.04,M,F,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,F,C,,F,,,,F,,,,,
323,U1343C,17,H,CC,153.3,153.4,M,F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,C,,C,F,,,,,F,,,
323,U1343C,18,H,CC,163.05,163.15,M,C,F,,,F,F,F,,,,F,,,,,F,,,,,,,,,,,,,F,C,,F,,,,,,,,,
323,U1343C,19,H,CC,171.89,171.99,M,F,F,,,F,,,,,,C,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,,,,
323,U1343C,20,H,CC,182.11,182.21,M,F,F,,,F,,F,,F,,,,,,,F,,,,,,,,,,,,,F,C,,F,,,,,,,,,
323,U1343C,21,H,CC,192.05,192.15,M,F,F,,,F,,F,,,,,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,F,,,
323,U1343C,22,H,CC,196.06,196.16,M,F,F,,,F,,F,,,,F,,,,,F,,,,,,,,,,,,,F,F,F,F,F,,,F,,F,,,
323,U1343C,23,H,CC,205.35,205.45,M,F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,F,,,
323,U1343C,24,H,CC,215.44,215.54,M,F,F,,,F,,F,,F,,C,,,,,F,,,,,F,,,,,,,,,F,,F,F,,,,,F,,,
323,U1343C,25,H,CC,224.67,224.77,P,F,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,,,F,,,,,
323,U1343C,26,H,CC,234.62,234.72,M,F,,,,,,F,,F,,C,,,,,F,,,,,,,,,,,,,,F,,F,,,,,,F,,,
323,U1343D,1,H,CC,8.43,8.53,G,F,F,,,,,F,,,,F,,,,,,,,,,,,,,,,,,F,,,F,F,,,,F,F,,,
323,U1343E,1,H,CC,8.12,8.22,M,C,F,F,,,,F,,F,,C,,,,,,,,,,F,,,,,,,,F,,,,,,,,F,F,,,
323,U1343E,2,H,CC,17.7,17.8,M,C,F,,,,,F,,,,C,,,,,F,,,,,F,,,,C,,,,F,,,F,,,,,F,C,,,
323,U1343E,3,H,CC,26.3,26.4,M,F,,F,,,,F,,,,C,,,,,,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,
323,U1343E,4,H,CC,37.07,37.17,M,F,F,,,,,F,,,,C,,,,,,,,,,,,,,F,,,,F,,F,F,,,,,F,F,,,
323,U1343E,5,H,CC,42.96,43.06,M,F,,,,,,C,,,,F,,,,,,,,,,F,,,,F,,,,,,,,,,,,F,F,,,
323,U1343E,6,H,CC,55.45,55.55,M,C,,,F,,,C,,F,,C,,,,,,,,,,C,,,,F,,,,F,F,,,F,,,,F,F,,,
323,U1343E,7,H,CC,63.9,64,M,C,F,,,,F,F,,,,C,,,,,,,,,,,,,,F,,,,F,F,,F,F,,,,F,F,,,
323,U1343E,8,H,CC,74.79,74.89,M,F,F,,,,,F,,F,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,F,F,,,
