Sample,top depth,bottom depth,Radiolarian zone/subzone,Abundance,Preservation,Mixing,Acrobotrys tritubus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Carpocanopsis cristata,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis penultima,Didymocyrtis tetratharamus,Lamaprocyrtis heteroporos,Lamaprocyrtis neoheteroporos,Lamaprocyrtis nigriniae,Lithopera neotera,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum
321-U1337B-1H-CC,7.37,7.41,RN 14,A,M,,,F,,,,,,R,,,,,,,,,,F,,,R,,,R,,,,,,C,,,,,R,F,
321-U1337B-2H-CC,20.26,20.3,RN 13,A,M,,,R,R,,,,,F,,,,,,,,,,C,,R,R,,,R,,,,,,C,,,,,R,F,R
321-U1337B-3H-CC,29.69,29.72,RN 12b,A,M,,,R,,,,,,R,,,,,,,,,,C,R,R,,,,R,,,R,,,C,,,,,R,,R
321-U1337B-4H-CC,39.39,39.44,RN 11b,A,M,,,R,,R,,,,,,,,,,,R,,,C,,,,,,R,,,R,,,F,,,R,,R,,R
321-U1337B-5H-CC,48.96,49.01,RN 11a,A,M,,,R,,R,,,,,,,,,,,R,,,C,,,,,,R,,R,R,,,F,,,C,,R,,R
321-U1337B-6H-CC,58.3,58.35,RN10,A,M,,,,,R,,,,,,,,,,,R,,,C,,,,,,R,,R,R,,,F,,,C,,,,R
321-U1337B-7H-CC,67.46,67.51,RN10,A,M,,,,,R,,,,,,,,,,,R,,,F,,,,,,R,R,R,R,,,,,,C,,,,R
321-U1337B-8H-CC,76.99,77.04,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,R,R,,,,,,C,,,,R
321-U1337B-9H-CC,86.95,87,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,R,,,,,,,C,,,,R
321-U1337B-10H-CC,96.17,96.22,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,,,R,R,,R,R,,,,C,,,,
321-U1337B-11H-CC,105.99,106.04,RN9,A,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,,,R,R,,,,C,,,,R
321-U1337B-12H-CC,115.52,115.57,RN9,C,M,,,,,R,,,,,,,,,,,R,,R,R,,,,,R,,R,,,,,,,,F,,,,
321-U1337B-13H-CC,125.06,125.11,RN8,C,M,,R,,,R,,R,,,,,,,,R,,,R,,,,,,R,,,R,,,R,,R,,R,,,,R
321-U1337B-14H-CC,134.36,134.41,RN8,A,M,,,,,,,R,,,,,,,,R,,,R,,,,,,R,,R,R,,,R,,C,,,,,,
321-U1337B-15H-CC,144.19,144.24,RN8,A,M,,R,,,R,,R,,,,,,,,R,,,R,,,,,,R,,R,,,,R,,C,,,,,,R
321-U1337B-16H-CC,153.32,153.37,RN7,A,M,,,,,R,,R,,,,,,R,,R,,,R,,,,,,,,F,R,,,R,,C,R,,,,,
321-U1337B-17H-CC,163.11,163.16,RN7,A,M,,,,,,R,R,,,,,,R,,R,,R,,,,,,,,,R,R,,,R,,C,,,,,,
321-U1337B-18H-CC,172.36,172.41,RN7,A,M,,,,,R,R,R,,,,,,R,,R,,R,,,,,,,,,R,R,,,R,,C,,,,,,
321-U1337B-19H-CC,181.92,181.97,RN6,C,M,,,,,R,R,,,,,,,,R,R,,R,,,,,,,,,,R,,,,,C,,,R,,,
321-U1337B-20H-CC,191.03,191.08,RN6,C,M,,,,,,R,R,,,,R,,,R,,,R,,,,,,,R,,R,,,,,,C,,,,,,
321-U1337B-21H-CC,198.25,198.3,RN6,R,G,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,R,,,R,,,
321-U1337B-22H-CC,209.95,210,RN6,R,G,,,,,,R,R,R,,,R,,,R,,,R,,,,,,,,,,,,,,,R,,,,,,
321-U1337B-23H-CC,216.22,216.27,RN6,C,G,,,,,,R,R,R,,,C,,,R,,,R,,,,,,,R,,R,R,,,,,C,,,R,,,
321-U1337B-24H-CC,226.33,226.38,RN6,A,G,,,,,,R,R,R,,,C,,,R,,,R,,,,,,R,,,R,R,,,,,C,,,R,,,
321-U1337B-25H-CC,234.28,234.33,RN6,A,G,,,,,R,R,R,R,,R,,R,,R,,,R,,,,,,R,,,R,R,,,,,C,,,R,,,
321-U1337B-26H-CC,243.28,243.33,RN6,C,G,,,,,R,R,,,,R,,R,,R,,,R,,,,,,R,,,R,,,,,,R,,,R,,,
321-U1337B-27H-CC,245.14,245.19,RN6,R,G,,,,,,R,,,,,,R,,R,,,R,,,,,,R,,,R,R,,,,,R,,,R,,,
