Sample,top depth,bottom depth,Radiolarian zone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis cingulata,Carpocanopsis cristata,Centrobotris petrushevskayae,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis bassanii,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris praeforcipata,Dorcadospyris scambos,Eucyrtidium diaphanes,Lamaprocyrtis heteroporos,Lamaprocyrtis neoheteroporos,Liriospyris parkerae,Liriospyris stauropora,Lithopera neotera,Lithopera renzae,Lophocyrtis leptetrum,Lophocyrtis pegetrum,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys armata,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Theocyrtis annosa
321-U1337A-1H-CC,0.14,0.14,RN16–RN17,A,G,,,R,,,,,,,,,,,C,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,
321-U1337A-2H-CC,15.44,15.44,RN13,C,G,,,F,R,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,R,F,,
321-U1337A-3H-CC,24.91,24.91,RN13,A,G,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,C,F,
321-U1337A-4H-CC,34.44,34.44,RN12,A,G,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,R,R,,,,,,,,,R,,,R,,,,F,,,,,,R,,F,
321-U1337A-5H-CC,43.8,43.8,RN11b,A,M,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,,,,,R,,,,,,,,,,R,,,R,,,,F,,,,C,,R,,F,
321-U1337A-6H-CC,53.45,53.45,RN11b,A,M,,,R,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,F,,,,R,,,,C,,R,,R,
321-U1337A-7H-CC,62.86,62.86,RN10,A,M,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,R,R,,F,,,,R,,,,C,,,,R,
321-U1337A-8H-CC,71.55,71.55,RN10,A,M,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,C,,,,R,
321-U1337A-9H-CC,81.94,81.94,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,F,R,,,,R,,,,,C,,,,R,
321-U1337A-10H-CC,91.53,91.53,RN9,C,M,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,R,,R,
321-U1337A-11H-CC,101,101,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,R,R,,R,R,R,,,,,C,,,,R,
321-U1337A-12H-CC,110.4,110.4,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,F,R,,R,R,,,,,,C,,R,,R,
321-U1337A-13H-CC,119.84,119.84,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,R,,,,,F,,R,,,,,,,,,,,,,,,,,R,,F,R,,R,R,,,,,R,C,,,,R,
321-U1337A-14H-CC,129.37,129.37,RN8,A,M,,,,,R,,R,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,F,R,,R,R,,,,C,R,C,,,,R,
321-U1337A-15H-CC,138.82,138.82,RN8,A,M,,,,,R,,R,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,R,,F,R,,,R,,,,C,R,,,,,,
