Expedition,Site,Hole,Core,Section,top interval (cm),bottom interval (cm),Depth top CSF-A (m),Depth bottom CSF-A (m),Bradleya sp.,Cytheropteron sp.,Henryhowella sp.
323,U1341,A,1H,1,0,0,0,0,,,
323,U1341,A,1H,CC,,,2.92,3.02,,,
323,U1341,A,2H,CC,,,12.54,12.64,,,
323,U1341,A,3H,CC,,,22.33,22.43,,,
323,U1341,A,4H,CC,,,31.67,31.77,,,
323,U1341,A,5H,CC,,,41.22,41.32,,,
323,U1341,A,6H,CC,,,50.85,50.95,,,
323,U1341,A,7H,CC,,,60.41,60.51,,,
323,U1341,A,8H,CC,,,69.31,69.41,,,
323,U1341,A,9H,CC,,,79.56,79.66,P,P,P
323,U1341,A,10H,CC,,,89.02,89.12,,,
323,U1341,A,11H,CC,,,98.41,98.51,,,
323,U1341,A,12H,CC,,,108.06,108.16,,,
323,U1341,A,13H,CC,,,117.6,117.7,,,
323,U1341,A,14H,CC,,,127,127.1,,,
323,U1341,A,15H,CC,,,136.16,136.26,,,
323,U1341,A,16H,CC,,,145.97,146.07,,,
323,U1341,A,17H,CC,,,155.53,155.63,,,
323,U1341,A,18H,CC,,,164.92,165.02,,,
323,U1341,A,19H,CC,,,174.39,174.49,,,
323,U1341,A,20H,CC,,,183.82,183.92,,,
323,U1341,A,21H,CC,,,193.25,193.35,,,
323,U1341,A,22H,CC,,,203.03,203.13,,,
323,U1341,A,23H,CC,,,212.53,212.63,,,
323,U1341,A,24H,CC,,,221.34,221.44,,,
323,U1341,A,25H,CC,,,231.33,231.43,,,
323,U1341,A,26H,CC,,,233.11,233.21,,,
323,U1341,A,27H,CC,,,241.4,241.5,,,
323,U1341,A,28H,CC,,,252.44,252.54,,,
323,U1341,A,29H,CC,,,262.14,262.24,,,
323,U1341,A,30H,CC,,,271.72,271.82,,,
323,U1341,A,31H,CC,,,281.2,281.3,,,
323,U1341,A,32H,CC,,,290.51,290.61,,,
323,U1341,A,33H,CC,,,300.09,300.19,,,
323,U1341,A,34H,CC,,,309.42,309.52,,,
323,U1341,A,35H,CC,,,318.92,319.02,,,R
323,U1341,A,36H,CC,,,328.09,328.19,,,
323,U1341,A,37H,CC,,,332.71,332.81,,,
323,U1341,A,38H,CC,,,342.16,342.26,,,
323,U1341,A,39H,CC,,,351.93,352.03,,,
323,U1341,A,40H,CC,,,356.68,356.78,,,
323,U1341,A,41H,CC,,,359.02,359.12,,,
,,,,,,,,,,,
,,,,,,,,,,,
