Expedition,Site,Hole,Core,Core Type,Section,Secton Half,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],Krithe sp.,Pseudocythere caudata
323,U1343,E,1,H,1,,0,0,0,0,,
323,U1343,E,1,H,CC,,3,13,8.12,8.22,,
323,U1343,E,2,H,CC,,0,10,17.7,17.8,,
323,U1343,E,3,H,CC,,10,20,26.3,26.4,,
323,U1343,E,4,H,CC,,23,33,37.07,37.17,,
323,U1343,E,5,H,CC,,17,27,42.96,43.06,,
323,U1343,E,6,H,CC,,23,33,55.45,55.55,,
323,U1343,E,7,H,CC,,45,55,63.9,64,P,P
323,U1343,E,8,H,CC,,25,35,74.79,74.89,,
323,U1343,E,9,H,CC,,49,59,84.05,84.15,,
323,U1343,E,10,H,CC,,25,35,90.98,91.08,,
323,U1343,E,11,H,CC,,24,34,101.67,101.77,,
323,U1343,E,12,H,CC,,39,49,106.59,106.69,,
323,U1343,E,14,H,CC,,5,15,115.95,116.05,,
323,U1343,E,15,H,CC,,45,55,123.35,123.45,,
323,U1343,E,16,H,CC,,31,41,129.46,129.56,,
323,U1343,E,17,H,CC,,30,40,138.34,138.44,,
323,U1343,E,18,H,CC,,0,10,148.21,148.31,,
323,U1343,E,19,H,CC,,24,34,155.87,155.97,,
323,U1343,E,20,H,CC,,24,34,164.89,164.99,,
323,U1343,E,21,H,CC,,0,10,175.07,175.17,,
323,U1343,E,22,H,CC,,29,39,183.76,183.86,,
323,U1343,E,23,H,CC,,49,59,193.31,193.41,,
323,U1343,E,24,H,CC,,32,42,197.47,197.57,,
323,U1343,E,25,H,CC,,19,29,207.99,208.09,,
323,U1343,E,26,H,CC,,34,44,217.04,217.14,,
323,U1343,E,27,H,CC,,5,15,226.01,226.11,,
323,U1343,E,28,H,CC,,45,55,234.72,234.82,,
323,U1343,E,29,H,CC,,30,40,245.49,245.59,,
323,U1343,E,30,H,CC,,25,35,254.21,254.31,,
323,U1343,E,31,H,CC,,16,26,263.75,263.85,,
323,U1343,E,32,H,CC,,16,26,272.49,272.59,,
323,U1343,E,33,H,CC,,79,89,282.2,282.3,,
323,U1343,E,34,H,CC,,50,60,291.18,291.28,,
323,U1343,E,35,H,CC,,22,32,301.39,301.49,,
323,U1343,E,36,H,CC,,46,56,311.1,311.2,,
323,U1343,E,37,H,CC,,77,87,320.19,320.29,,
323,U1343,E,38,H,CC,,23,33,329.74,329.84,,
323,U1343,E,39,H,CC,,25,35,338.41,338.51,,
323,U1343,E,40,H,CC,,26,36,346.74,346.84,,
323,U1343,E,41,H,CC,,33,43,354.32,354.42,,
323,U1343,E,42,X,CC,,24,34,359.57,359.67,,
323,U1343,E,43,X,CC,,31,41,367.32,367.42,,
323,U1343,E,44,X,CC,,38,48,376.59,376.69,,
323,U1343,E,45,X,CC,,30,40,388.26,388.36,,
323,U1343,E,46,X,CC,,13,23,398.57,398.67,,
323,U1343,E,47,X,CC,,27,37,405.99,406.09,,
323,U1343,E,48,X,CC,,23,33,412.33,412.43,,
323,U1343,E,49,X,CC,,24,34,418.44,418.54,,
323,U1343,E,50,X,CC,,22,32,428.5,428.6,,
323,U1343,E,51,X,CC,,14,24,435.85,435.95,,
323,U1343,E,52,X,CC,,7,12,446.16,446.21,,
323,U1343,E,53,X,CC,,11,21,455.88,455.98,,
323,U1343,E,54,X,CC,,34,44,463.39,463.49,,
323,U1343,E,55,X,CC,,32,42,475.6,475.7,,
323,U1343,E,56,X,CC,,78,88,482.57,482.67,,
323,U1343,E,57,X,CC,,30,40,493.97,494.07,,
323,U1343,E,58,X,CC,,29,39,502.88,502.98,,
323,U1343,E,59,X,CC,,24,34,512.52,512.62,,
323,U1343,E,60,X,CC,,24,34,521.9,522,,
323,U1343,E,61,X,CC,,59,69,532.41,532.51,,
323,U1343,E,62,X,CC,,48,58,541.78,541.88,,
323,U1343,E,63,X,CC,,35,45,550.54,550.64,,
323,U1343,E,64,X,CC,,30,40,561.05,561.15,,
323,U1343,E,65,X,CC,,36,46,568.77,568.87,,
323,U1343,E,66,X,CC,,20,30,581.04,581.14,,
323,U1343,E,67,X,CC,,23,33,588.5,588.6,,
323,U1343,E,68,X,CC,,56,66,599.26,599.36,,
323,U1343,E,69,X,CC,,42,52,606.84,606.94,,
323,U1343,E,70,X,CC,,29,39,617.9,618,,
323,U1343,E,71,X,CC,,31,41,628.16,628.26,,
323,U1343,E,72,X,CC,,17,27,634.44,634.54,,
323,U1343,E,73,X,CC,,45,55,643.79,643.89,,
323,U1343,E,74,X,CC,,35,45,657.41,657.51,,
323,U1343,E,75,X,CC,,54,64,667.09,667.19,,
323,U1343,E,76,X,CC,,32,42,674.96,675.06,,
323,U1343,E,77,X,CC,,11,21,686.37,686.47,,
323,U1343,E,78,X,CC,,17,27,695.2,695.3,,
323,U1343,E,79,X,CC,,19,29,705.72,705.82,,
323,U1343,E,80,X,CC,,14,24,713.8,713.9,,
323,U1343,E,81,X,CC,,36,46,724.96,725.06,,
323,U1343,E,82,X,CC,,23,33,734.41,734.51,,
323,U1343,E,82,X,6,W,0,100,732.5,733.5,,
323,U1343,E,83,X,CC,,30,40,743.9,744,,
