Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Crenalithus doronicoides,Coccolithus pelagicus,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1078,B,  1,H,CC,  21.00,      6.6100,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,F                        ,A                    ,F                        ,D                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1078,B,  2,H, 2, 140.00,      9.5000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,F                        ,A                    ,F                        ,D                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1078,B,  2,H, 5, 140.00,     14.0000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,C                        ,C                    ,C                        ,D                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1078,B,  2,H,CC,  22.00,     16.3500,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,C                    ,C                        ,A                ,-                       ,-                    ,-                     ,Nannos very abundant Top NN21a
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1078,B,  3,H,CC,  30.00,     26.0000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,C                    ,F                        ,A                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1078,B,  4,H,CC,  35.00,     35.6100,Giraudeau,Nannofossils                                 ,A              ,P                 ,-                      ,-                       ,-                   ,C                        ,A                    ,C                        ,C                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1078,B,  5,H,CC,  25.00,     45.2500,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,F                    ,C                        ,C                ,-                       ,R                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
