Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra cf. pseudoumbilica	Pseudoemiliania lacunosa	Helicosphaera carteri	Gephyrocapsa sp.	Coccolithus pelagicus	Helicosphaera sellii	Discolithina japonica	Calcidiscus macintyrei	Calcidiscus leptoporus	Syracosphaera pulchra	Comment



  SR	                 	                 	NN16              	NN18          	141	 859	B	  1	R	 2	  66.00	     54.1600	Spiegler 	Nannofossils                                 	R              	G                 	R                                  	                        	                     	F               	F                    	                    	                     	R                     	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  1	R	 3	  63.00	     55.6300	Spiegler 	Nannofossils                                 	R              	G                 	F                                  	                        	R                    	F               	F                    	                    	                     	R                     	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  1	R	CC	  10.00	     55.8500	Spiegler 	Nannofossils                                 	R              	G                 	R                                  	R                       	F                    	F               	F                    	                    	                     	R                     	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  2	R	 1	  38.00	     61.9800	Spiegler 	Nannofossils                                 	R              	G                 	R                                  	                        	R                    	R               	R                    	R                   	                     	                      	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  2	R	 2	  70.00	     63.8000	Spiegler 	Nannofossils                                 	T              	M                 	                                   	                        	                     	R               	R                    	                    	                     	                      	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  2	R	 4	  62.00	     66.7200	Spiegler 	Nannofossils                                 	R              	G                 	                                   	                        	R                    	R               	R                    	                    	                     	                      	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  2	R	CC	  16.00	     67.3900	Spiegler 	Nannofossils                                 	R              	G                 	R                                  	R                       	                     	R               	R                    	R                   	                     	R                     	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  3	R	 2	  66.00	     73.4600	Spiegler 	Nannofossils                                 	R              	G                 	                                   	                        	                     	R               	R                    	                    	                     	                      	                      	R                    	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  3	R	 4	  77.00	     75.2900	Spiegler 	Nannofossils                                 	T              	M                 	                                   	                        	                     	R               	R                    	                    	                     	                      	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

  SR	                 	                 	NN16              	NN18          	141	 859	B	  3	R	 6	  68.00	     77.9800	Spiegler 	Nannofossils                                 	R              	G                 	                                   	                        	                     	R               	R                    	                    	                     	R                     	                      	                     	from Leg 141 SR; Ch 14; Table 3; p 198-199

