Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pontocypris cf. richardsoni,Paracypris cf. redcarensis,Ogmoconcha owthorpensis,Ogmoconcha martini,Ogmoconcha bristolensis,Noricythere n.sp. aff. mosstleri,Kinkelinalla ? sp. 1,Kerocythere ? n. sp. 1,Judahella ? sp. 1,Judahella n. sp. 2,Judahella galli,Cytherelloidea ?  unicostata,Cytherella acuta,Bairdia n. sp. 219,Ostracode (n. gen. n. sp. 2),Ogmoconcha cf. reticulata,Luckevichinella sp. 1,Bairdia sp. 2,Paracypris sp. 1,Bairdia n. sp. 1,Bairdia sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 764,B,  6,R, 1,  88.00,     60.8800,Depeche  ,Ostracodes                                   ,               ,                  ,                           ,                          ,+                      ,                  ,+                      ,                                ,                    ,+                     ,                 ,                  ,               ,                            ,                ,                  ,                            ,                         ,                     ,             ,                ,                ,+            ,from ODP Leg 122 SR Chapter 26 Table 4 p 456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 764,B,  7,R, 1, 103.00,     66.0300,Depeche  ,Ostracodes                                   ,               ,                  ,                           ,                          ,                       ,                  ,                       ,                                ,                    ,                      ,                 ,                  ,               ,                            ,                ,                  ,                            ,                         ,                     ,             ,+               ,+               ,             ,from ODP Leg 122 SR Chapter 26 Table 4 p 456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 764,B,  8,R, 1,  52.00,     70.5200,Depeche  ,Ostracodes                                   ,               ,                  ,                           ,                          ,+                      ,                  ,                       ,                                ,                    ,                      ,                 ,                  ,               ,                            ,                ,                  ,+                           ,+                        ,+                    ,+            ,                ,                ,             ,from ODP Leg 122 SR Chapter 26 Table 4 p 456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 764,B, 31,R, 5, 144.00,    286.9400,Depeche  ,Ostracodes                                   ,               ,                  ,+                          ,+                         ,+                      ,+                 ,+                      ,+                               ,+                   ,+                     ,+                ,+                 ,+              ,+                           ,+               ,+                 ,                            ,                         ,                     ,             ,                ,                ,             ,from ODP Leg 122 SR Chapter 26 Table 4 p 456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
