Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tabulozoans/Bryozoans (unspecified taxon or taxa),Sphinctozoan (unspecified taxon or taxa)(sponge),Salzburgia (unspecified taxon or taxa)(sponge),Retiophyllia sp. (cnidarian),Peronidella (unspecified taxon or taxa)(sponge),Inozoans (unspecified taxon or taxa)(sponge),Hydrozoans (unspecified taxon or taxa)(cnidarian),Sestrostomella (unspecified taxon or taxa)(sponge),Spongiomorpha ramosa (cnidarian),Disjectopora (unspecified taxon or taxa)(sponge),Molengraaffia (unspecified taxon or taxa)(sponge),Calcisponges (unspecified taxon or taxa)(sponge),Astreomorpha crassisepta (cnidarian),Stromatomorpha rhaetica (cnidarian),Spongiomorphids (unspecified taxon or taxa)(cnidarian),Retiophyllia paraclathrata (cnidarian),Corals (other)  (cnidarian),Margarosmilia gr. charlyana (cnidarian),Astreomorpha confusa (cnidarian),Chondrocoenia schafhaeutli (cnidarian),Thamnasteroid corals  (cnidarian),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B,  9,R, 1,  20.00,     79.7000,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,Y                           ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 10,R, 1,   9.00,     89.0900,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,K                                                     ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 10,R, 1,  17.00,     89.1700,Sarti    ,Macrofossils                                 ,               ,                  ,                                                 ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,+                                   ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 764,B, 11,R, 1,  24.00,     98.7400,Sarti    ,Macrofossils                                 ,               ,                  ,+                                                ,                                                ,                                              ,                            ,                                               ,                                            ,                                                 ,                                                  ,                                ,                                                ,                                                 ,                                                ,                                    ,                                   ,                                                      ,                                      ,                           ,                                       ,                                ,                                      ,                                 ,from ODP Leg 122 SR Chapter 9 Table 1 p 190-191
