Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Emiliania huxleyi	Crenalithus doronicoides	Coccolithus pelagicus	Calcidiscus macintyrei	Comment



  IR	                 	Pleistocene      	                  	NN21B         	175	1078	C	  1	H	CC	  20.00	      6.6600	Giraudeau	Nannofossils                                 	A              	G                 	-                      	-                       	-                   	R                        	A                    	F                        	D                	-                       	-                    	-                     	Nannos very abundant

  IR	                 	Pleistocene      	                  	NN21B         	175	1078	C	  2	H	CC	  21.00	     16.4800	Giraudeau	Nannofossils                                 	A              	G                 	-                      	-                       	-                   	F                        	A                    	F                        	D                	-                       	-                    	-                     	Nannos very abundant

  IR	                 	Pleistocene      	                  	NN21A         	175	1078	C	  3	H	CC	  36.00	     26.2900	Giraudeau	Nannofossils                                 	A              	G                 	-                      	-                       	-                   	D                        	C                    	F                        	A                	-                       	-                    	-                     	Nannos very abundant Top NN21a

  IR	                 	Pleistocene      	                  	NN21A         	175	1078	C	 11	H	CC	  30.00	    102.3500	Giraudeau	Nannofossils                                 	A              	M                 	-                      	-                       	-                   	D                        	F                    	A                        	R                	-                       	-                    	-                     	Nannos very abundant

  IR	                 	Pleistocene      	                  	NN21A         	175	1078	C	 12	H	CC	  33.00	    110.0100	Giraudeau	Nannofossils                                 	A              	G                 	-                      	-                       	-                   	D                        	F                    	C                        	R                	-                       	-                    	-                     	Nannos very abundant

  IR	                 	Pleistocene      	                  	NN21A         	175	1078	C	 13	H	CC	  36.00	    121.6300	Giraudeau	Nannofossils                                 	A              	G                 	-                      	-                       	-                   	D                        	R                    	C                        	R                	-                       	-                    	-                     	Nannos very abundant

  IR	                 	Pleistocene      	                  	NN20          	175	1078	C	 14	H	CC	  24.00	    128.7900	Giraudeau	Nannofossils                                 	A              	G                 	-                      	-                       	-                   	C                        	R                    	D                        	-                	-                       	-                    	-                     	Nannos very abundant LO H. inversa

  IR	                 	Pleistocene      	                  	NN20          	175	1078	C	 15	X	CC	  20.00	    134.3600	Giraudeau	Nannofossils                                 	A              	G                 	-                      	-                       	-                   	cD                       	F                    	C                        	-                	-                       	R                    	-                     	Nannos very abundant Contamination from younger material (NN21a) ref. XCB coring

  IR	                 	                 	                  	NN20          	175	1078	C	 16	X	CC	 108.00	    140.3300	Giraudeau	Nannofossils                                 	A              	M                 	-                      	-                       	-                   	A                        	F                    	D                        	-                	-                       	-                    	-                     	Nannos very abundant

  IR	                 	Pleistocene      	                  	NN20          	175	1078	C	 18	X	CC	  27.00	    160.9400	Giraudeau	Nannofossils                                 	A              	M                 	-                      	-                       	-                   	C                        	R                    	D                        	-                	-                       	F                    	                      	       

