Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sp. A	Triquetrorhabdulus farnsworthii	Sphenolithus neoabies	Sphenolithus abies	Rhabdosphaera clavigera	Reticulofenestra pseudoumbilica	Reticulofenestra producta	Reticulofenestra perplexa	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra gelida	Pontosphaera spp.	Pontosphaera multipora	Neosphaera coccolithomorpha	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster brouweri	Discoaster blackstockae	Discoaster berggrenii	Coccolithus pelagicus	Calcidiscus leptoporus	Amaurolithus tricorniculatus	Amaurolithus delicatus	Amaurolithus amplificus	Reticulofenestra umbilica	Discoaster triradiatus	Discoaster barbadiensis	Ceratolithus atlanticus	Amaurolithus ninae	Coccolithus streckerii	Braarudosphaera bigelowii	Sphenolithus grandis	Pontosphaera discopora	Amaurolithus primus	Syracosphaera spp.	Schyphosphaera sp.	Pontosphaera japonica	Cyclicargolithus floridanus	Calciosolenia murrayi	Calcidiscus macintyrei	Helicosphaera euphratis	Ceratolithus spp.	Discoaster saipanensis	Cruciplacolithus neohelis	Chiasmolithus grandis	Helicosphaera intermedia	Cretarhabdus conicus	Discoaster challengeri	Ceratolithus armatus	Ceratolithus acutus	Umbilicosphaera sibogae var. foliosa	Placozygus sigmoides	Chiasmolithus solitus	Eiffellithus turriseiffelii	Ceratolithus rugosus	Watznaueria barnesae	Umbilicosphaera sibogae var. sibogae	Ceratolithus separatus	Pseudoemiliania cf. P. lacunosa	Helicosphaera sellii	Reticulofenestra bisecta	Discoaster asymmetricus	Pseudoemiliania lacunosa	Gephyrocapsa spp. (small)	Lithostromation perdurum	Discoaster tamalis	Campylosphaera dela	Tetralithoides quadrilaminata	Micula decussata	Ceratolithus cristatus	Reinhardtites anthophorus	Oolithotus fragilis	Markalius inversus	Umbellosphaera irregularis	Gephyrocapsa spp. medium	Gephyrocapsa caribbeanica	Gephyrocapsa spp. (large)	Reticulofenestra asanoi	Helicosphaera pavimentum	Eiffellithus eximius	Gephyrocapsa oceanica ss	Gephyrocapsa margerelii/muellerae	Helicosphaera inversa	Emiliania huxleyi	Umbellosphaera tenuis	Comment



  IR	Pleistocene      	                 	CN15              	              	164	 995	A	  1	H	 1	   0.00	      0.0000	Okada    	Nannofossils                                 	A              	G                 	                     	                               	                     	                  	R                      	                               	                         	                         	                         	                       	                       	                 	                      	R                          	C                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	F                    	C                     	                            	                      	                       	                         	                      	                       	                       	                  	                      	                         	                    	R                     	                   	F                 	R                 	                     	                           	F                    	                      	                       	                 	                      	                         	                     	                        	                    	                      	                    	                   	F                                   	                    	                     	                           	                    	                    	F                                   	                      	                               	                    	                        	                       	                        	                         	                        	                  	                   	                             	                	R                     	                         	R                  	                  	F                         	                        	                         	                         	                       	                        	                    	A                       	                                 	                     	D                	R                    	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data995A

  IR	Pleistocene      	                 	CN15              	              	164	 995	A	  1	H	CC	  16.00	      1.7100	Okada    	Nannofossils                                 	A              	G                 	                     	                               	                     	                  	R                      	                               	F                        	                         	                         	F                      	                       	R                	                      	                           	C                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	F                    	C                     	                            	                      	                       	                         	                      	                       	                       	                  	                      	                         	                    	R                     	                   	C                 	                  	R                    	                           	F                    	                      	                       	                 	                      	                         	                     	                        	                    	                      	                    	                   	F                                   	                    	                     	                           	                    	                    	F                                   	                      	                               	                    	                        	                       	                        	C                        	                        	                  	                   	                             	                	R                     	                         	R                  	                  	R                         	F                       	                         	                         	                       	                        	                    	A                       	                                 	                     	D                	                     	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data995A

  IR	Pleistocene      	                 	CN15              	              	164	 995	A	  2	H	 3	  75.00	      5.5500	Okada    	Nannofossils                                 	A              	G                 	                     	                               	                     	                  	F                      	                               	F                        	                         	                         	C                      	                       	                 	                      	R                          	C                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	R                    	F                     	                            	                      	                       	                         	                      	                       	                       	                  	                      	R                        	                    	R                     	                   	F                 	                  	R                    	                           	F                    	                      	                       	                 	                      	                         	                     	                        	                    	                      	                    	                   	                                    	                    	                     	                           	                    	                    	F                                   	                      	                               	                    	                        	                       	                        	A                        	                        	                  	                   	                             	                	R                     	                         	R                  	                  	R                         	C                       	                         	                         	                       	                        	                    	A                       	F                                	                     	C                	                     	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data995A

  IR	Pleistocene      	                 	CN14b             	              	164	 995	A	  2	H	CC	  41.00	     10.9600	Okada    	Nannofossils                                 	A              	G                 	                     	                               	                     	                  	R                      	                               	A                        	                         	                         	A                      	                       	                 	                      	R                          	F                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	F                    	F                     	                            	                      	                       	                         	                      	                       	                       	                  	                      	                         	                    	R                     	                   	F                 	                  	R                    	                           	R                    	                      	                       	                 	                      	                         	                     	                        	                    	                      	                    	                   	F                                   	rR                  	                     	                           	                    	                    	F                                   	                      	                               	                    	                        	                       	                        	A                        	                        	                  	                   	                             	                	R                     	                         	R                  	                  	R                         	A                       	                         	                         	                       	R                       	                    	F                       	A                                	R                    	                 	                     	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data995A
