Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Glomospira irregularis,Glomospira charoides,Praecystammina globigeriniformis,Hormosina/Hyperammina spp. (fragments),Paratrochamminoides (indeterminant fragments),Agglutinated spp. (indeterminate),Paratrochamminoides dubius,Haplophragmoides sp.,Recurvoides sp.,Hormosina crassa,Paratrochamminoides corpulentus,Hyperammina elongata,Hormosina ovulum ovulum,Haplophragmoides multicamerus,Haplophragmoides ex gr. perexplicatus-constictus,Hormosina ovulum gigantea,Hormosina ovuloides,Trochamminoides septatus,Rhizammina/Dendrophrya excelsa group,Recurvoides sp. 1 (small brownish),Plectorecurvoides rotundus,Paratrochamminoides semipellucidus,Paratrochamminoides intricatus,Haplophragmoides spp. (fragments),Haplophragmoides concavus,Glomospira gordialis,Adercotryma sp.,Trochammina sp. aff. T. globigeriniformis,Pseudobolivina munda,Hyperammina dilatata,Haplophragmoides fraudulentus,Bolivinopsis parvissimus,Turritellela shoneana,Psammosphaera sp.,Aschemocella/Dendrophrya latissima (fragments),Haplophragmoides krasheninnikovi,Lituotuba lituiformis,Haplophragmoides decussatus,Glomospira serpens,Trochammina sp. 1 (small brownish),Kalamopsis (?) (indeterminant fragments),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 801,A,  4,R, 1,  20.00,     30.2000,Wightman ,Benthic Foraminifers                         ,               ,                  ,                      ,                    ,                                ,14                                    ,7                                            ,22                               ,                          ,                    ,               ,                ,                               ,                    ,                       ,                             ,                                                ,                         ,                   ,                        ,12                                  ,2                                 ,                          ,                                  ,                              ,                                 ,                         ,                    ,               ,                                         ,                    ,                    ,                             ,                        ,                     ,                 ,10                                            ,                                ,                     ,                           ,                  ,                                  ,                                        ,Total agglutinated forams = 67; from ODP Leg 129 Chapter 13 Table 4 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 801,A,  4,R, 1, 120.00,     31.2000,Wightman ,Benthic Foraminifers                         ,               ,                  ,                      ,                    ,                                ,17                                    ,                                             ,                                 ,                          ,                    ,               ,1               ,                               ,                    ,                       ,                             ,                                                ,                         ,                   ,                        ,6                                   ,                                  ,                          ,                                  ,                              ,                                 ,                         ,                    ,               ,                                         ,                    ,                    ,                             ,                        ,                     ,                 ,                                              ,                                ,                     ,                           ,                  ,                                  ,                                        ,Total agglutinated forams = 24; from ODP Leg 129 Chapter 13 Table 4 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 801,A,  4,R, 2,   5.00,     31.5500,Wightman ,Benthic Foraminifers                         ,               ,                  ,                      ,                    ,                                ,22                                    ,4                                            ,                                 ,                          ,1                   ,               ,                ,1                              ,                    ,                       ,                             ,                                                ,                         ,                   ,                        ,2                                   ,                                  ,                          ,                                  ,                              ,                                 ,                         ,                    ,               ,                                         ,                    ,                    ,                             ,                        ,                     ,                 ,                                              ,                                ,                     ,                           ,                  ,                                  ,                                        ,Total agglutinated forams = 30; from ODP Leg 129 Chapter 13 Table 4 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 801,A,  4,R, 2,  32.00,     31.8200,Wightman ,Benthic Foraminifers                         ,               ,                  ,                      ,                    ,                                ,4                                     ,                                             ,                                 ,                          ,                    ,               ,                ,                               ,                    ,                       ,                             ,                                                ,                         ,                   ,                        ,2                                   ,                                  ,                          ,                                  ,                              ,                                 ,                         ,                    ,               ,                                         ,                    ,                    ,                             ,                        ,                     ,                 ,                                              ,                                ,1                    ,                           ,                  ,                                  ,                                        ,Total agglutinated forams = 6; from ODP Leg 129 Chapter 13 Table 4 p 253
