Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis spp.,Stephanopyxis dimorpha,Proboscia curvirostris,Neodenticula seminae,Coscinodiscus marginatus,Thalassionema nitzschioides,Proboscia barboi,Neodenticula kamtschatica,Fragilariopsis reinholdii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  1,H,CC,  28.00,      9.5600,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,                      ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  2,H,CC,  25.00,     16.3900,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,                      ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  3,H,CC,  21.00,     27.6300,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,                      ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  4,H,CC,  51.00,     38.7100,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,                      ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  5,H,CC,  21.00,     46.6600,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,T                     ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  6,H,CC,  45.00,     55.5800,Watanabe ,Diatoms                                      ,C              ,M                 ,R                 ,C                     ,R                     ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  7,H,CC,  67.00,     66.3300,Watanabe ,Diatoms                                      ,F              ,M                 ,R                 ,C                     ,T                     ,R                   ,                        ,                           ,                ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  8,H,CC,  19.00,     76.1500,Watanabe ,Diatoms                                      ,F              ,P                 ,R                 ,F                     ,R                     ,                    ,R                       ,                           ,                ,                         ,T                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1245,B,  9,H,CC,  37.00,     84.7900,Watanabe ,Diatoms                                      ,R              ,P                 ,R                 ,F                     ,                      ,                    ,R                       ,                           ,T               ,T                        ,+                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
