Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus speculum  pentagonus,Dictyocha perlaevis perlaevis,Dictyocha perlaevis delicata,Dictyocha messanensis stapedia,Comment
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 688,C,  1,R, 1, 114.00,    351.4400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R                            ,R                               ,F                            ,F                           ,F                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,
