Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tranolithus phacelosus,Tranolithus gabalus,Thoracosphaera sp.,Stradneria crenulata,Reinhardtites levis,Reinhardtites anthophorus,Prediscosphaera stoveri,Prediscosphaera honjoi,Prediscosphaera cretacea,Placozygus fibuliformis,Monomarginatus pectinatus,Micula decussata,Microrhabdulus decoratus,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus gorkae,Corollithion signum,Chiastozygus sp.,Chiastozygus amphipons,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Biscutum castrorum,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Prediscosphaera spinosa,Cribrosphaerella ehrenbergii,Biscutum coronum,Tranolithus exiguus,Zygodiscus xenotus,Broinsonia enormis,Vekshinella parma,Phanulithus obscurus,Lucianorhabdus cayeuxii,Cretarhabdus conicus,Staurolithus sp.,Repagalum parvidentatum,Prediscosphaera bukryi,Glaukolithus diplogrammus,Glaukolithus compactus,Chiastozygus garrisonii,Thoracosphaera operculata,Reinhardtites sp. aff. Reinhardtites anthophorus,Prediscosphaera arkhangelskyi,Placozygus sigmoides,Scampanella cornuta,Rhagodiscus angustus,Quadrum trifidum,Misceomarginatus pleniporus,Lithraphidites carniolensis,Braarudosphaera bigelowii,Aspidolithus parcus constrictus,Quadrum sissinghii,Eiffellithus eximius,Broinsonia furtiva,Prediscosphaera grandis,Chiastozygus litterarius,Markalius inversus,Cretarhabdus loriei,Rhagodiscus splendens,Rhagodiscus sp.,Cretarhabdus angustiforatus,Biscutum notaculum,Phanulithus ovalis,Micula murus,Manivitella pemmatoidea,Nephrolithus corystus,Lapideacassis mariae,Prediscosphaera intercisa,Ceratolithoides aculeus,Cribrosphaerella daniae,Lithraphidites quadratus,Monomarginatus quaternarius,Lucianorhabdus arcuatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 758,A, 32,X, 6,  10.00,    303.2000,Resiwati ,Nannofossils                                 ,A              ,G                 ,                       ,C                   ,                      ,                   ,                  ,F                   ,                   ,                         ,R                      ,                      ,C                       ,                       ,                         ,A               ,A                       ,F                     ,F                  ,C                          ,                   ,                   ,C               ,                      ,               ,                   ,F                ,                  ,F                          ,A                           ,F                        ,F                      ,A                           ,                ,                   ,C                 ,                  ,                 ,                    ,                       ,C                   ,                ,                       ,                      ,                         ,R                     ,                       ,                         ,                                                ,                             ,                    ,                   ,R                   ,                ,                           ,C                          ,                         ,                               ,                  ,                    ,C                 ,F                      ,                        ,R                 ,                   ,R                    ,R              ,C                          ,                  ,                  ,            ,                       ,?                    ,                    ,                         ,C                      ,R                      ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 758,A, 32,X,CC,  44.00,    304.9700,Resiwati ,Nannofossils                                 ,A              ,G                 ,                       ,A                   ,                      ,                   ,R                 ,                    ,C                  ,                         ,                       ,                      ,A                       ,                       ,R                        ,A               ,C                       ,A                     ,F                  ,R                          ,                   ,                   ,R               ,                      ,R              ,R                  ,                 ,                  ,A                          ,A                           ,F                        ,F                      ,A                           ,                ,                   ,                  ,F                 ,                 ,                    ,R                      ,A                   ,                ,F                      ,                      ,                         ,A                     ,                       ,F                        ,F                                               ,R                            ,F                   ,                   ,                    ,                ,                           ,A                          ,                         ,F                              ,                  ,                    ,C                 ,C                      ,                        ,F                 ,R                  ,                     ,C              ,F                          ,                  ,                  ,            ,R                      ,R                    ,R                   ,                         ,F                      ,F                      ,R                       ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 758,A, 33,X, 1,  47.00,    305.7700,Resiwati ,Nannofossils                                 ,A              ,G                 ,R                      ,A                   ,                      ,                   ,R                 ,A                   ,C                  ,                         ,R                      ,                      ,A                       ,                       ,R                        ,A               ,A                       ,C                     ,                   ,C                          ,                   ,                   ,F               ,                      ,R              ,R                  ,                 ,                  ,A                          ,A                           ,A                        ,C                      ,A                           ,                ,                   ,                  ,R                 ,                 ,                    ,                       ,C                   ,                ,F                      ,                      ,                         ,R                     ,                       ,                         ,F                                               ,C                            ,C                   ,                   ,                    ,                ,                           ,C                          ,                         ,R                              ,                  ,                    ,C                 ,C                      ,                        ,R                 ,                   ,                     ,C              ,F                          ,                  ,                  ,            ,F                      ,R                    ,                    ,F                        ,F                      ,                       ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 758,A, 33,X, 2,  47.00,    307.2700,Resiwati ,Nannofossils                                 ,A              ,G                 ,F                      ,C                   ,R                     ,                   ,                  ,A                   ,C                  ,                         ,                       ,                      ,C                       ,                       ,F                        ,A               ,C                       ,A                     ,R                  ,C                          ,R                  ,                   ,F               ,                      ,               ,R                  ,F                ,                  ,A                          ,R                           ,C                        ,                       ,C                           ,                ,                   ,C                 ,                  ,                 ,                    ,R                      ,C                   ,                ,R                      ,                      ,                         ,F                     ,                       ,                         ,C                                               ,F                            ,R                   ,                   ,R                   ,                ,                           ,C                          ,                         ,R                              ,                  ,                    ,C                 ,                       ,                        ,R                 ,F                  ,                     ,R              ,F                          ,                  ,                  ,            ,                       ,C                    ,                    ,                         ,F                      ,                       ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 758,A, 33,X, 3,  47.00,    308.7700,Resiwati ,Nannofossils                                 ,A              ,M                 ,                       ,C                   ,R                     ,                   ,                  ,A                   ,                   ,                         ,                       ,                      ,C                       ,                       ,R                        ,A               ,A                       ,C                     ,F                  ,C                          ,                   ,                   ,                ,                      ,C              ,                   ,F                ,                  ,A                          ,                            ,A                        ,                       ,A                           ,                ,                   ,                  ,R                 ,                 ,F                   ,                       ,C                   ,                ,                       ,                      ,                         ,                      ,                       ,                         ,F                                               ,F                            ,R                   ,                   ,R                   ,                ,R                          ,C                          ,R                        ,                               ,                  ,                    ,F                 ,C                      ,C                       ,                  ,R                  ,                     ,               ,                           ,R                 ,                  ,            ,R                      ,R                    ,R                   ,                         ,F                      ,R                      ,                        ,                           ,                       ,from ODP Leg 121 SR Chapter 5 Table 5 p 159-161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
