Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Menardella limbata	Globigerinoides obliquus	Menardella multicamerata	Menardella miocenica	Hirsutella hirsuta	Globoquadrina venezuelana	Globigerinoides extremus	Dentoglobigerina altispira	Menardella exilis	Menardella pertenuis	Globigerinoides fistulosus	Globigerina falconensis	Globoconella inflata	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Globigerina bulloides	Neogloboquadrina pachyderma	Globoturborotalita rubescens	Globorotalia tumida	Globoturborotalita woodi	Menardella menardii (sinistral)	Menardella menardii (dextral)	Globigerinella calida	Truncorotalia crassaformis hessi	Globorotalia tumida flexuosa	Globigerina bermudezi	Hastigerina pelagica	Comment



  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  1	H	CC	  24.00	      9.6700	Chaisson 	Planktonic Foraminifers                      	C              	M                 	                          	                         	                  	                        	                        	                    	+                 	                         	                        	                          	                 	                    	                          	R                      	A                   	                            	F                                    	F                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	pyrite

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  2	H	 6	  70.00	     17.7000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                        	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	R                   	+                           	+                                    	+                                    	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	very bad preservation

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  2	H	CC	  17.00	     19.3400	Chaisson 	Planktonic Foraminifers                      	C              	M                 	-                         	-                        	                  	                        	                        	                    	-                 	                         	                        	                          	                 	                    	                          	-                      	+                   	+                           	+                                    	-                                    	-                    	-                          	-                           	-                  	                        	-                              	-                            	-                    	                                	                            	-                    	-                   		rads

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  3	H	 1	  67.00	     19.6700	Chaisson 	Planktonic Foraminifers                      	C              	M                 	                          	                         	                  	                        	                        	                    	F                 	                         	                        	                          	                 	                    	                          	                       	A                   	                            	F                                    	                                     	                     	                           	                            	F                  	                        	                               	                             	                     	                                	R                           	                     	                    	Uvigerina present

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  3	H	 2	  70.00	     21.2000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	2                                    	                                     	                     	                           	                            	                   	                        	                               	                             	                     	                                	                            	                     	                    	too much dissolution	

  IR	                 	Pleistocene      	                  	N22           	172	1061	A	  3	H	 3	  70.00	     22.7000	Chaisson 	Planktonic Foraminifers                      	A              	VG                	+                         	                         	                  	                        	                        	                    	                  	                         	                        	                          	                 	                    	                          	                       	                    	                            	A                                    	R                                    	                     	                           	                            	+                  	                        	                               	                             	                     	                                	F                           	                     	                    	       

