Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster druggii,Discoaster deflandrei,Coccolithus pelagicus,Helicosphaera euphratis,Cyclicargolithus floridanus,Coronocyclus nitescens,Sphenolithus moriformis,Sphenolithus disbelemnos,Reticulofenestra haqii,Calcidiscus leptoporus,Hughesius tasmaniae,Hayella challengeri,Coccolithus miopelagicus,Reticulofenestra minuta,Sphenolithus spp.,Sphenolithus heteromorphus,Sphenolithus grandis,Sphenolithus delphix,Helicosphaera mediterranea,Helicosphaera ampliaperta,Umbilicosphaera rotula,Helicosphaera scissura,Helicosphaera perch-nielseniae,Discoaster spp.,Discoaster musicus,Triquetrorhabdulus milowii,Syracosphaera spp.,Cryptococcolithus mediaperforatus,Umbilicosphaera jafari,Reticulofenestra pseudoumbilica(5-7microns),Pontosphaera multipora,Discoaster exilis,Discoaster petaliformis,Calcidiscus premacintyrei,Reticulofenestra pseudoumbilica (>7microns),Helicosphaera intermedia,Sphenolithus dissimilis,Helicosphaera carteri,Helicosphaera stalis,Florisphaera profunda,Pontosphaera japonica,Discoaster challengeri,Helicosphaera walbersdorfensis,Helicosphaera orientalis,Umbilicosphaera rotaria,Discoaster bollii,Helicosphaera granulata,Braarudosphaera bigelowii,Discoaster kugleri,Triquetrorhabdulus rugosus,Sphenolithus ciperoensis,Sphenolithus abies,Reticulofenestra spp.,Discoaster prepentaradiatus,Discoaster pansus,Discoaster calcaris,Discoaster brouweri,Discoaster braarudii,Ceratolithus atlanticus,Calcidiscus tropicus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster bergenii,Calcidiscus macintyrei,Gephyrocapsa spp. (small),Discoaster surculus,Discoaster neorectus,Discoaster variabilis,Amaurolithus primus,Amaurolithus delicatus,Discoaster triradiatus,Reticulofenestra minutula,Pseudoemiliania ovata,Scapholithus fossilis,Pseudoemiliania lacunosa,Discoaster asymmetricus,Amaurolithus tricorniculatus,Coccolithus pelagicus (with bar),Helicosphaera sellii,Ceratolithus cristatus,Umbilicosphaera sibogae var. sibogae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  1,R,CC,  22.00,    308.6500,Boeckel  ,Nannofossils                                 ,C              ,G                 ,                  ,                     ,C                    ,                       ,                           ,                      ,                       ,                        ,                      ,                      ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,C                 ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,F                  ,                    ,                       ,                    ,                       ,                        ,                   ,C                     ,                         ,                   ,                    ,                     ,                   ,                      ,                      ,A                        ,C                    ,                     ,C                       ,                       ,                            ,                                ,                    ,                      ,C                                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN18              ,NN18          ,190,1177,A,  2,R,CC,  24.00,    313.8500,nannos   ,Nannofossils                                 ,F              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,C                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,C                  ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,A                        ,                   ,                    ,                     ,R                  ,                      ,                      ,A                        ,C                    ,                     ,C                       ,                       ,                            ,                                ,                    ,                      ,C                                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  3,R,CC,  27.00,    324.8600,Boeckel  ,Nannofossils                                 ,R              ,M                 ,                  ,                     ,                     ,                       ,                           ,                      ,                       ,                        ,                      ,C                     ,                   ,                   ,                        ,A                      ,                 ,                          ,                    ,                    ,                          ,                         ,                      ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,                      ,                                           ,                      ,                 ,                       ,                         ,                                           ,                        ,                       ,                     ,                    ,A                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,                  ,                     ,                           ,                 ,                   ,F                  ,                    ,                       ,                    ,                       ,                        ,                   ,                      ,A                        ,                   ,                    ,                     ,                   ,                      ,                      ,A                        ,                     ,                     ,C                       ,                       ,                            ,                                ,                    ,                      ,C                                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1177,A,  4,R, 3,  68.00,    332.1800,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                  ,                     ,                     ,                       ,                           ,                      ,C                      ,                        ,                      ,                      ,                   ,                   ,                        ,D                      ,                 ,                          ,                    ,                    ,                          ,                         ,R                     ,                      ,                              ,               ,                  ,                          ,                  ,                                 ,R                     ,C                                          ,R                     ,                 ,                       ,                         ,R                                          ,                        ,                       ,R                    ,                    ,C                    ,                     ,                      ,                              ,                        ,                       ,                 ,                       ,                         ,                  ,                          ,                        ,C                 ,                     ,                           ,                 ,                   ,R                  ,                    ,                       ,                    ,                       ,                        ,                   ,R                     ,C                        ,R                  ,                    ,F                    ,                   ,                      ,                      ,A                        ,                     ,                     ,                        ,F                      ,                            ,F                               ,                    ,                      ,                                    ,       
