Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina praeturritilina,Subbotina linaperta,Subbotina hagni,Subbotina eocaena,Pseudohastigerina micra,Morozovella spinulosa,Morozovella lehneri,Hantkenina alabamensis,Globigerinatheka subconglobata,Globigerinatheka mexicana,Chiloguembelina cubensis,Catapsydrax dissimilis,Acarinina bullbrooki,Turborotalia possagnoensis,Globigerinatheka index,Acarinina collactea,Truncorotaloides rohri,Turborotalia cocoaensis,Porticulasphaera semiinvoluta,Subbotina venezuelana,Globigerinoides trilobus,Globigerinoides mitra,Dentoglobigerina altispira altispira,Globorotalia truncatulinoides,Globorotalia inflata,Globoquadrina dehiscens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,              ,171,1052,B,  1,X,CC,   0.00,      0.0000,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,                           ,                         ,                   ,               ,                 ,F                      ,                     ,                   ,R                     ,                              ,                         ,F                       ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,                             ,                     ,R                       ,                     ,R                                   ,R                            ,R                   ,R                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,B,  2,H, 1,  60.00,      5.6000,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,F                    ,F                          ,                         ,                   ,               ,                 ,                       ,                     ,                   ,                      ,                              ,                         ,                        ,                      ,                    ,                          ,                      ,                   ,                      ,F                      ,                             ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,              ,171,1052,B,  2,H,CC,  14.00,     14.8400,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,R                    ,F                          ,                         ,F                  ,               ,                 ,R                      ,                     ,                   ,                      ,                              ,                         ,R                       ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,F                            ,R                    ,P                       ,P                    ,P                                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,B,  3,H,CC,  19.00,     24.3700,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,F                          ,                         ,                   ,               ,                 ,                       ,                     ,                   ,R                     ,                              ,                         ,                        ,F                     ,                    ,                          ,                      ,                   ,                      ,                       ,F                            ,                     ,                        ,                     ,                                    ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
