Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Spongoplegma variabile,Spongoplegma churchii,Spongoplegma antarcticum,Lychnocanoma grande,Haliommetta miocenica,Eucyrtidium cienkowskii,Eucyrtidium biconicum,Dictyophimus splendens,Desmospyris spongiosa,Cycladophora spongothorax,Carpocanistrum ob,Botryostrobus aquilonaris,Anthocyrtidium ehrenbergi,Acrosphaera murrayana,Triceraspyris antarctica,Theocorythium vetulum,Stylacontarium acquilonium,Sphaeropyle robusta,Ommatartus sp D,Cycladophora pliocenica,Theocorythium trachelium trachelium,Stichocorys spp. group,Stichocorys delmontensis,Phormostichoartus fistula,Didymocyrtis penultima,Diartus hughesi,Cycladophora humerus,Stylatractus neptunus,Lithelius nautiloides,Druppatractus irregularis,Cyrtocapsella japonica,Thecosphaera japonica,Saturnalis circularis,Lamprocyrtis heteroporos,Eucyrtidium teuscheri group,Sphaeropyle langii,Cyrtocapsella tetrapera,Botryostrobus bramlettei pretumidulus,Botryostrobus auritus/australis,Actinomma popofskii,Eucyrtidium teuscheri orthoporus,Lamprocyrtis neoheteroporos,Botryostrobus bramlettei seriatus,Lipmanella deflandrei,Pseudocubus vema,Axoprunum angelinum,Antarctissa denticulata,Spongoplegma medianum,Eucyrtidium calvertense,Antarctissa strelkovi,Cycladophora davisiana,Saccospyris antarctica,Pterocanium charybdeum trilobum,Antarctissa sp. G,Didymocyrtis tetrathalamus tetrathalamus,Amphirhopalum praeypsilon,Stylatractus universus,Sphaeropyle antarctica,Botryostrobus bramlettei tumidulus,Sphaeropyle boreale,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  1,H,CC,  13.00,      4.7500,rads     ,Radiolarians                                 ,C              ,G                 ,T                    ,                      ,                     ,R                       ,                   ,                     ,R                      ,R                    ,                      ,                     ,                         ,                 ,                         ,                         ,                     ,                        ,F                    ,F                         ,                   ,               ,R                      ,                                   ,                      ,                        ,                         ,                      ,               ,                    ,                     ,                     ,                         ,                      ,                     ,                     ,                        ,                           ,                  ,                       ,                                     ,                               ,                   ,                                ,                           ,                                 ,                     ,                ,                   ,                       ,                     ,                       ,                     ,                      ,                      ,                               ,R                ,                                        ,                         ,R                     ,                      ,T                                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  2,H,CC,   9.00,     14.6500,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                     ,A                       ,                   ,                     ,R                      ,                     ,                      ,                     ,                         ,                 ,                         ,                         ,                     ,                        ,T                    ,R                         ,                   ,               ,                       ,                                   ,                      ,                        ,                         ,                      ,               ,R                   ,                     ,R                    ,                         ,                      ,                     ,T                    ,                        ,T                          ,                  ,                       ,T                                    ,                               ,                   ,                                ,R                          ,F                                ,                     ,                ,                   ,R                      ,                     ,                       ,F                    ,R                     ,R                     ,T                              ,T                ,T                                       ,                         ,T                     ,                      ,                                  ,R                  ,2-4 relatively warm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  3,H,CC,  13.00,     24.0700,rads     ,Radiolarians                                 ,C              ,G                 ,T                    ,                      ,                     ,C                       ,                   ,R                    ,F                      ,R                    ,                      ,T                    ,R                        ,                 ,T                        ,                         ,                     ,                        ,R                    ,                          ,                   ,               ,R                      ,                                   ,                      ,T                       ,                         ,                      ,               ,                    ,C                    ,R                    ,R                        ,                      ,                     ,                     ,                        ,T                          ,                  ,                       ,T                                    ,                               ,T                  ,                                ,                           ,                                 ,                     ,                ,R                  ,F                      ,                     ,                       ,F                    ,R                     ,                      ,R                              ,                 ,R                                       ,T                        ,F                     ,R                     ,F                                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  4,H,CC,  10.00,     33.5900,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                     ,R                       ,                   ,R                    ,T                      ,                     ,                      ,                     ,                         ,T                ,                         ,                         ,                     ,                        ,R                    ,                          ,                   ,               ,                       ,F                                  ,                      ,                        ,                         ,                      ,               ,                    ,R                    ,T                    ,                         ,                      ,                     ,                     ,R                       ,T                          ,R                 ,                       ,R                                    ,T                              ,                   ,                                ,                           ,T                                ,                     ,                ,R                  ,                       ,F                    ,                       ,                     ,R                     ,R                     ,F                              ,                 ,R                                       ,T                        ,                      ,                      ,                                  ,                   ,       
