Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae var. sibogae,Umbilicosphaera sibogae var. foliosa,Syracosphaera spp.,Rhabdosphaera clavigera,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Helicosphaera carteri,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Gephyrocapsa oceanica ss,Gephyrocapsa caribbeanica,Florisphaera profunda,Ceratolithus cristatus,Calcidiscus leptoporus,Reticulofenestra producta,Coccolithus pelagicus,Calciosolenia murrayi,Cyclicargolithus floridanus,Braarudosphaera bigelowii,Neosphaera coccolithomorpha,Helicosphaera pavimentum,Reticulofenestra perplexa,Helicosphaera inversa,Umbilicosphaera hulburtiana,Gephyrocapsa margerelii/muellerae,Umbellosphaera tenuis,Umbellosphaera irregularis,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CN15              ,              ,164, 996,A,  1,H, 1,   0.00,      0.0000,Okada    ,Nannofossils                                 ,F              ,G                 ,F                                   ,F                                   ,C                 ,                       ,                         ,A                      ,                       ,                        ,                      ,                     ,                      ,C                    ,A                       ,A                        ,A                       ,                         ,A                    ,                      ,F                     ,C                        ,F                    ,                     ,                           ,                         ,                           ,                        ,                         ,                     ,                           ,                                 ,                     ,                          ,A                ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CN15              ,              ,164, 996,A,  1,H,CC,   0.00,      3.8600,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,F                 ,                       ,                         ,A                      ,                       ,                        ,                      ,                     ,R                     ,C                    ,A                       ,A                        ,A                       ,                         ,A                    ,R                     ,F                     ,C                        ,F                    ,R                    ,                           ,                         ,R                          ,                        ,                         ,R                    ,                           ,                                 ,R                    ,R                         ,F                ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CN14b             ,              ,164, 996,A,  2,H,CC,  19.00,      9.1800,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,F                 ,                       ,                         ,A                      ,                       ,                        ,                      ,                     ,                      ,F                    ,A                       ,A                        ,A                       ,A                        ,A                    ,                      ,F                     ,A                        ,R                    ,                     ,                           ,                         ,                           ,                        ,                         ,R                    ,R                          ,F                                ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CN14b             ,              ,164, 996,A,  3,X,CC,  17.00,     10.4300,Okada    ,Nannofossils                                 ,A              ,G                 ,F                                   ,F                                   ,F                 ,R                      ,                         ,A                      ,                       ,                        ,                      ,R                    ,R                     ,F                    ,A                       ,A                        ,A                       ,C                        ,A                    ,                      ,F                     ,C                        ,R                    ,F                    ,                           ,                         ,                           ,                        ,                         ,R                    ,                           ,                                 ,                     ,                          ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996A
