Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Lenticulina sp. A	Glomospira irregularis	Dentalina-Marginulina group	Vaginulina manubrium	Trochilina (?) spp.	Spirillina polygyrata	Saracenaria spp.	Ophthalmidium oxfordianum	Nodosaria raphanistriformis	Neobulimina atlantica	Lagena ex gr. hauteriviana	Glomospira variabilis	Glomospira charoides	Epistomina uhligi	Epistomina spp.	Vaginulina cf. jurassica	Paleogaudryina magharensis	Nodobacularia bulbifera	Lenticulina muensteri	Lenticulina quenstedti	Ophthalmidium oxfordianum	Marginulinopsis phragmites	Lingulina franconica	Lagena ex gr. sulcata	Eoguttulina aff. liassica	Bolivina aff. liasica	Lagena ex gr. ovata	Planularia sp. A	Dentalina debilis	Frondicularia spp.	Comment



  SR	Tithonian        	                 	S. polygyrata     	              	149	 901	A	  3	R	 1	  10.00	    191.4000	Collins  	Benthic Foraminifers                         	               	                  	1                	                      	                           	1                   	                   	5                    	                	                         	                           	                     	                          	1                    	                    	                 	1              	                        	                          	                       	                     	                      	                         	                          	                    	1                    	                         	                     	                   	                	                 	                  	1 Dentalina seorsa (fragments). from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	S. polygyrata     	              	149	 901	A	  3	R	 1	  20.00	    191.5000	Collins  	Benthic Foraminifers                         	               	                  	3                	                      	3                          	                    	13                 	44                   	9               	2                        	2                          	                     	                          	1                    	                    	                 	3              	1                       	                          	16                     	                     	1                     	7                        	                          	                    	                     	                         	                     	                   	                	                 	2                 	1 Dentalina seorsa (fragments). 6 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	S. polygyrata     	              	149	 901	A	  3	R	 1	  40.00	    191.7000	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	5                          	1                   	3                  	28                   	5               	3                        	                           	                     	                          	4                    	                    	                 	1              	1                       	                          	9                      	                     	                      	2                        	                          	                    	                     	1                        	                     	                   	                	                 	                  	18 Ostracoda. from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	S. polygyrata     	              	149	 901	A	  3	R	 1	  60.00	    191.9000	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	1                          	1                   	1                  	5                    	                	                         	                           	                     	                          	1                    	                    	                 	1              	                        	                          	                       	                     	1                     	                         	                          	                    	                     	                         	                     	                   	                	                 	                  	from 149 SR. Chapter 7. Table 1. page 195.

  SR	Tithonian        	                 	S. polygyrata     	              	149	 901	A	  3	R	 1	  75.00	    192.0500	Collins  	Benthic Foraminifers                         	               	                  	                 	                      	                           	                    	1                  	10                   	1               	                         	                           	                     	1                         	                     	                    	                 	               	                        	                          	1                      	                     	                      	                         	2                         	                    	                     	                         	                     	                   	                	                 	                  	8 planktonic forams. from 149 SR. Chapter 7. Table 1. page 195.

