Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus fissus	Zeugrhabdotus erectus	Zeugrhabdotus embergeri	Zeugrhabdotus choffatii	Watznaueria ovata	Watznaueria manivitae	Watznaueria fossacincta	Watznaueria barnesae	Tetrapodorhabdus coptensis	Stephanolithion bigotii bigotii	Rotelapillus radians	Rotelapillus pleoseptatus	Retecapsa neocomiana	Pseudoconus enigma	Polypodorhabdus madingleyensis	Polypodorhabdus escaigii	Palaeopontosphaera sp. 2	Palaeopontosphaera erismata	Palaeopontosphaera elliptica	Palaeopontosphaera dubia	Octopodorhabdus oculisminutis	Miravetesina favula	Microstaurus quadratus	Lotharingius sigillatus	Hexapodorhabdus cuvillieri	Grantarhabdus meddii	Grantarhabdus bukryi (offset bar)	Ethmorhabdus rimosus	Ethmorhabdus hauterivianus	Ethmorhabdus gallicus	Ellipsagelosphaera spp. (>13 microns)	Ellipsagelosphaera reinhardtii	Ellipsagelosphaera communis	Ellipsagelosphaera britannica	Discorhabdus tubus	Discorhabdus patulus	Diazomatolithus galicianus	Cyclagelosphaera wiedmannii	Cyclagelosphaera margerelii	Crepidolithus parvulus	Conusphaera sinespina	Conusphaera mexicana minor (elliptical)	Conusphaera mexicana minor (circular)	Conusphaera mexicana minor	Conusphaera mexicana mexicana	Biscutum rotatorium	Axopodorhabdus cylindratus	Ansulasphaera covingtonii	Zeugrhabdotus noeliae	Zeugrhabdotus erectus (thick bar)	Watznaueria tubulata	Vagalapilla stradneri	Vagalapilla sp. 1	Vagalapilla quadriarculla	Triscutum cf. T. expansum	Tranolithus incus	Thoracosphaera sp. 1	Stradnerlithus sexiramatus	Stradnerlithus comptus	Stradnerlithus asymmetricus	Sollasites horticus	Proculithus charlottei	Microstaurus chiastius	Markalius ellipticus	Ethmorhabdus sp. 1	Eiffellithus primus	Diazomatolithus lehmanii	Diadorhombus scutulatus	Cyclagelosphaera lacuna	Cretarhabdus conicus	Axopodorhabdus depravatus	Stephanolithion atmetros	Grantarhabdus bukryi	Duplexipodorhabdus plethotretus	Calcivascularis sp. 1	Calyculus sp. (large)	Retecapsa schizobrachiata	Clepsilithus meniscus	Axopodorhabdus sp. (small)	Vagalapilla sp. 3	Umbria granulosa ssp. minor	Thurmannolithion clatratum	Percivalia arata	Faviconus multicolumnatus	Ethmorhabdus anglicus	Anfractus harrisonii	Vagalapilla parellela	Tubirhabdus patulus	Truncatoscaphus senarius	Sollasites concentricus	Rhombolithion rhombicum	Rhagodiscus pseudoangustus	Pickelhaube furtiva	Perissocyclus noeliae	Palaeopontosphaera dorsetensis	Octopodorhabdus praevisus	Octopodorhabdus decussatus	Nodosella cf. N. silvaradion	Cyclagelosphaera deflandrei (morphotype B)	Cyclagelosphaera deflandrei (morphotype A)	Conusphaera mexicana minor (spine)	Chiastozygus leptostaurus	Braarudosphaera regularis	Axopodorhabdus rahla	Perissocyclus tayloriae	Manivitella pemmatoidea	Cruciellipsis cuvillieri	Rotelapillus laffittei	Rhagodiscus asper	Perissocyclus fletcheri	Comment



  SR	Tithonian        	                 	                  	              	149	 901	A	  3	R	 1	   1.00	    191.3100	de Kaenel	Nannofossils                                 	A              	X                 	C                   	F                    	R                      	                       	R                	R                    	F                      	F                   	                          	F                              	R                   	+                        	+                   	                  	+                             	R                       	+                       	                           	                            	F                       	                             	R                  	R                     	                       	R                         	                    	                                 	+                   	R                         	R                    	+                                    	R                             	F                          	F                            	+                 	R                   	F                         	+                          	F                          	R                     	R                    	R                                      	F                                    	F                         	R                            	F                  	R                         	F                        	R                    	R                                	+                   	+                    	R                	                         	+                        	                 	F                   	                          	                      	+                          	                   	+                     	                      	R                   	                  	                   	R                       	                       	                       	R                   	                         	                        	                    	                               	                     	                     	                         	                     	                          	                 	+                          	                          	                	+                        	                     	                    	                     	                   	                        	                       	                       	                          	R                  	R                    	                              	                         	+                         	                            	                                          	R                                         	+                                 	                         	                         	                    	                       	                       	+                       	+                     	+                	R                      	from 149 SR. Chapter 2. Table 2. pages 30-31.

  SR	Tithonian        	                 	                  	              	149	 901	A	  3	R	 1	   2.00	    191.3200	de Kaenel	Nannofossils                                 	A              	X                 	C                   	F                    	R                      	R                      	R                	+                    	F                      	C                   	R                         	F                              	R                   	R                        	+                   	                  	R                             	R                       	R                       	+                          	R                           	F                       	                             	R                  	F                     	                       	R                         	                    	+                                	                    	R                         	R                    	                                     	R                             	                           	F                            	F                 	R                   	F                         	R                          	C                          	F                     	R                    	F                                      	R                                    	F                         	F                            	F                  	F                         	C                        	R                    	R                                	                    	+                    	R                	+                        	+                        	+                	                    	+                         	                      	R                          	                   	                      	+                     	R                   	R                 	                   	R                       	                       	R                      	+                   	                         	                        	                    	+                              	                     	+                    	+                        	                     	R                         	                 	                           	R                         	+               	                         	+                    	                    	                     	+                  	                        	+                      	                       	R                         	F                  	R                    	R                             	                         	                          	                            	                                          	                                          	R                                 	+                        	                         	                    	+                      	+                      	+                       	                      	                 	                       	from 149 SR. Chapter 2. Table 2. pages 30-31.

  SR	Tithonian        	                 	                  	              	149	 901	A	  3	R	 1	   7.00	    191.3700	de Kaenel	Nannofossils                                 	C              	M                 	R                   	R                    	+                      	                       	                 	                     	C                      	F                   	                          	                               	                    	                         	                    	                  	                              	+                       	                        	                           	                            	                        	                             	                   	                      	                       	                          	                    	                                 	                    	                          	                     	                                     	                              	F                          	F                            	                  	                    	                          	                           	F                          	                      	                     	                                       	                                     	                          	                             	+                  	                          	                         	                     	                                 	                    	                     	                 	                         	                         	                 	                    	                          	                      	                           	                   	                      	                      	                    	                  	                   	                        	                       	                       	                    	                         	                        	+                   	                               	                     	                     	                         	                     	                          	                 	                           	                          	                	                         	                     	                    	                     	                   	                        	                       	                       	                          	                   	                     	                              	                         	                          	                            	                                          	                                          	                                  	                         	                         	                    	                       	                       	                        	                      	                 	                       	from 149 SR. Chapter 2. Table 2. pages 30-31.

  SR	Tithonian        	                 	                  	              	149	 901	A	  3	R	 1	  33.00	    191.6300	de Kaenel	Nannofossils                                 	A              	M                 	F                   	R                    	                       	                       	                 	                     	                       	R                   	                          	+                              	                    	+                        	                    	                  	                              	R                       	                        	                           	                            	F                       	                             	                   	                      	                       	                          	                    	                                 	                    	                          	                     	                                     	                              	R                          	F                            	F                 	                    	                          	                           	F                          	                      	                     	                                       	+                                    	F                         	                             	F                  	+                         	F                        	                     	R                                	                    	                     	                 	                         	                         	+                	+                   	                          	                      	                           	                   	R                     	                      	R                   	                  	                   	R                       	                       	                       	                    	                         	                        	                    	+                              	                     	+                    	                         	                     	                          	                 	                           	                          	                	                         	                     	                    	                     	                   	                        	                       	                       	+                         	+                  	R                    	                              	                         	                          	                            	                                          	                                          	                                  	                         	                         	                    	                       	                       	                        	                      	                 	                       	from 149 SR. Chapter 2. Table 2. pages 30-31.
