Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus verensis	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Reticulofenestra gelida	Discoaster pentaradiatus	Coccolithus pelagicus	Calcidiscus leptoporus	Sphenolithus moriformis	Discoaster variabilis	Discoaster intercalaris	Discoaster berggrenii	Calcidiscus macintyrei	Discoaster quinqueramus	Discoaster brouweri	Pontosphaera multipora	Helicosphaera kamptneri	Amaurolithus tricorniculatus	Discoaster bollii	Ceratolithus rugosus	Discoaster asymmetricus	Rhabdosphaera procera	Helicosphaera sellii	Discoaster tamalis	Discoaster surculus	Pseudoemiliania lacunosa	Discoaster triradiatus	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa parallela	Gephyrocapsa ericsonii	Reticulofenestra asanoi	Emiliania huxleyi	Helicosphaera inversa	Ceratolithus telesmus	Comment



  IR	                 	                 	                  	              	186	1150	A	  1	H	 1	  10.00	      0.1000	Li       	Nannofossils                                 	               	                  	                     	                                	                         	                       	                      	                       	                        	                     	                      	                       	                     	                       	                     	                      	                       	                   	                      	                       	                            	                 	                    	                       	                     	                    	                  	                   	                        	                      	                     	                         	                      	                      	                       	F                	                     	                     	       

  IR	                 	                 	                  	              	186	1150	A	  1	H	 1	  30.00	      0.3000	Li       	Nannofossils                                 	               	                  	                     	                                	                         	                       	                      	                       	                        	                     	C                     	                       	                     	                       	                     	                      	                       	r                  	                      	                       	                            	                 	                    	                       	                     	                    	                  	                   	                        	                      	C                    	C                        	                      	                      	                       	C                	F                    	R                    	       

  IR	                 	                 	                  	              	186	1150	A	  1	H	 1	  60.00	      0.6000	Li       	Nannofossils                                 	               	                  	                     	                                	                         	                       	                      	                       	                        	F                    	                      	                       	                     	                       	                     	                      	                       	r                  	                      	                       	                            	                 	                    	                       	                     	                    	                  	                   	                        	                      	C                    	                         	C                     	                      	                       	A                	                     	R                    	       

  IR	                 	                 	                  	              	186	1150	A	  1	H	 1	  90.00	      0.9000	Li       	Nannofossils                                 	               	                  	                     	                                	                         	                       	                      	                       	                        	                     	                      	                       	                     	                       	                     	                      	                       	                   	                      	                       	                            	                 	                    	                       	                     	                    	                  	                   	                        	                      	                     	                         	                      	                      	                       	                 	F                    	                     	       

  IR	                 	                 	                  	              	186	1150	A	  1	H	 1	 120.00	      1.2000	Li       	Nannofossils                                 	               	                  	                     	                                	                         	                       	                      	                       	                        	                     	                      	                       	                     	                       	                     	                      	                       	                   	                      	                       	                            	                 	                    	                       	                     	                    	                  	                   	                        	                      	                     	                         	                      	                      	                       	                 	F                    	                     	       

  IR	                 	                 	                  	              	186	1150	A	  1	H	 4	   0.00	      4.5000	Li       	Nannofossils                                 	               	                  	                     	                                	                         	                       	                      	                       	                        	                     	                      	                       	                     	                       	                     	                      	                       	                   	                      	                       	                            	                 	                    	                       	                     	                    	                  	                   	                        	                      	                     	                         	                      	                      	                       	F                	                     	                     	       

