Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiphora pelagica,Thalassiphora delicata,Thalassiphora cf. T. pansa,Tectatodinium pellitum,Spiniferites ramosus,Spiniferites membranaceus,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Pentadinium laticinctum,Operculodinium centrocarpum,Nematosphaeropsis labyrinthea,Incertae sedis sp.1,Impagidinium? pallidum,Impagidinium velorum,Impagidinium aspinatum,Hystrichokolpoma rigaudiae,Hystrichokolpoma cinctum,Homotryblium floripes,Distatodinium paradoxum,Dapsilidinium pseudocolligerum,Dapsilidinium pastielsii,Cyclopsiella granosa,Chiropteridium mespilanum,Cannosphaeropsis cf. C. utinensis,Caligodinium pychnum,Apteodinium spiridoides,Apteodinium australiense,Tuberculodinium vancampoae,Palaeocystodinium golzowense,Operculodinium janduchenei,Impagidinium patulum,Dapsilidinium sp. ,Batiacasphaera sphaerica,Apteodinium sp. A,Spiniferites rubinus,Polysphaeridium congregatum,Nematosphaeropsis major,Micrhystridium sp.,Impagidinium aliferum,Homotryblium vallum,Homotryblium tenuispinosum,Bitectatodinium spp.,Amiculosphaera umbracula,Spiniferites spp.,Lingulodinium machaerophorum,Hystrichosphaeropsis obscura,Operculodinium? eirikianum,Operculodinium israelianum/crassum,Hystrichokolpoma denticulatum,Habibacysta tectata,Filisphaera filifera,Bitectatodinium tepikiense,Achomosphaera andalousiensis,Selenopemphix nephroides,Cymatiosphaera invaginata,Sumatradinium hispidum,Spiniferites mirabilis,Spiniferites elongatus,Operculodinium psilatum,Nematosphaeropsis oblonga,Multispinula minuta,Invertocysta lacrymosa,Impagidinium strialatum,Impagidinium bacatum,Impagidinium aculeatum,Lejeunecysta communis,Impagidinium sp. F ,Impagidinium sphaericum,Impagidinium japonicum,Galeacysta etrusca,Achomosphaera ramulifera,Melitasphaeridium choanophorum,Selenopemphix brevispinosa,Stelladinium stellatum,Spiniferites bentorii,Multispinula quanta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  1,H, 1,  10.00,      0.1000,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,                    ,                         ,                                ,                       ,                       ,F                          ,F                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,R                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,C                ,                            ,                            ,                          ,R                                 ,                             ,                   ,                    ,A                         ,R                           ,                        ,                         ,                      ,F                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,1.36 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  1,H, 2,  65.00,      2.1500,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,C                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,F                ,                            ,                            ,                          ,R                                 ,                             ,                   ,                    ,A                         ,R                           ,                        ,                         ,                      ,R                     ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,F                     ,                     ,                   ,R                      ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.42 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  1,H, 3,  98.00,      3.9800,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,R                     ,                    ,                         ,                                ,                       ,                       ,                           ,R                            ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,F                   ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,                    ,                        ,C                ,                            ,                            ,                          ,R                                 ,                             ,                   ,                    ,A                         ,F                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,1.16 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,Zone V            ,              ,149, 898,A,  1,H, 4,   9.00,      4.5900,McCarthy ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                      ,                          ,                      ,                    ,                         ,                                ,                       ,                       ,F                          ,                             ,                   ,                      ,                    ,                      ,                          ,                        ,                     ,                       ,                              ,                        ,                    ,                         ,                                 ,                    ,                       ,                        ,                          ,                            ,                          ,                    ,                  ,                        ,                 ,                    ,                           ,                       ,                  ,                     ,                   ,                          ,A                   ,                        ,                 ,                            ,                            ,                          ,F                                 ,                             ,                   ,                    ,C                         ,F                           ,                        ,                         ,                      ,                      ,                      ,                       ,                         ,                   ,                      ,                       ,                    ,                      ,                     ,                   ,                       ,                      ,                  ,                        ,                              ,                          ,                      ,                     ,                   ,0.3 Dinocyst concentration/ml (×1000). from 149 SR. Chapter 10. Table 1. pages 244-249.
