Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Dictyomitra sp	Spongodiscus cruciferus	Cyclampterium(?) milowi	Calocyclas aff. australis	Spongatractus balbis	Amphisphaera goruna	Theocorys robusta	Spongatractus pachystylus	Lithomitrissa conica	Eusyringium lagena	Pterocodon (?) ampla	Theocampe vanderhoofi	Corythospyris jubata	Phormocyrtis aff. striata striata	Lychnocanoma amphitrite	Eucyrtidium cheni	Theocorys saginata	Corythospyris aff. jubata	Eusyringium fistuligerum	Eucyrtidium antiquum	Lychnocanoma bellum	Heliodiscus tunicatus	Eucyrtidium spinosum	Sethocytris cavipodis	Lithomelissa sphaerocephalis	Lamprocyclas matakohe	Axoprunum irregularis	Lychnocanoma conica	Cenosphaera coronataformis	Cenosphaera coronata	Cyrtocapsella tetrapera	Cyrtocapsella japonica	Lychnocanoma nipponica nipponica	Eucyrtidium cienkowskii	Ommatartus sp D	Eucyrtidium biconicum	Stichocorys peregrina	Stichocorys delmontensis	Ommatartus sp C	Spongoplegma churchii	Didymocyrtis laticonus	Stylatractus universus	Lychnocanoma grande	Cannartus sp. C	Dictyophimus splendens	Spongoplegma medianum	Stylacontarium acquilonium	Spongoplegma antarcticum	Didymocyrtis penultima	Didymocyrtis antepenultima	Diartus hughesi	Axoprunum angelinum	Lamprocyrtis heteroporos	Didymocyrtis tetrathalamus tetrathalamus	Comment



  IR	                 	                 	                  	              	189	1172	A	  1	H	CC	  10.00	      6.2400	rads     	Radiolarians                                 	F              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	R                         	                        	                      	                          	               	                   	                        	                                        	1/2 LO S. universus

  IR	                 	                 	                  	              	189	1172	A	  2	H	CC	   9.00	     16.1500	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	T                    	                     	                        	               	                     	                      	R                     	                   	               	                      	T                    	F                         	R                       	                      	                          	               	                   	T                       	R                                       	Lacking Antarctissa and Cycladophora

  IR	                 	                 	                  	              	189	1172	A	  3	H	CC	  15.00	     25.5400	rads     	Radiolarians                                 	F              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	                     	                     	                        	               	                     	                      	                      	                   	               	                      	                     	C                         	                        	                      	                          	               	                   	                        	                                        	       

  IR	                 	                 	                  	              	189	1172	A	  4	H	CC	  12.00	     35.1100	rads     	Radiolarians                                 	C              	M                 	              	                       	                       	                         	                    	                   	                 	                         	                    	                  	                    	                     	                    	                                 	                       	                 	                  	                         	                        	                    	                   	                     	                    	                     	                            	                     	                     	                   	                          	                    	                       	                      	                                	                       	               	R                    	                     	                        	               	                     	                      	                      	                   	               	                      	                     	R                         	                        	                      	                          	               	T                  	                        	                                        	       
