Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina linaperta	Globoquadrina venezuelana	Subbotina patagonica	Globigerinatheka index	Subbotina angiporoides	Catapsydrax dissimilis	Globorotaloides suteri	Paragloborotalia pseudocontinuosa	Paragloborotalia nana	Globigerina officinalis	Catapsydrax unicavus	Globorotalia (Fohsella) cf. pseudokugleri	Globigerina praebulloides	Turborotalia euapertura	Tenuitella gemma	Globoquadrina dehiscens	Globigerinita glutinata	Globigerina quinqueloba	Dentoglobigerina praedehiscens	Catapsydrax stainforthi	Tenuitellinata angustiumbilicata	Tenuitella minutissima	Paragloborotalia continuosa	Paragloborotalia bella	Globoturborotalita woodi	Globoturborotalita connecta	Globorotalia zealandica	Globorotalia praescitula	Globorotalia panda	Praeorbulina curva	Globorotalia praemenardii	Globorotalia miozea	Globigerina bulloides	Paragloborotalia nympha	Globoturborotalita decoraperta	Globoturborotalita brazieri	Globigerinoides trilobus	Globorotalia scitula	Globorotalia peripheroronda	Paragloborotalia mayeri	Orbulina suturalis	Orbulina universa	Globorotalia miotumida	Globorotalia conoidea	Globigerinita uvula	Globigerinoides parawoodi	Globorotalia conica	Globigerinella praesiphonifera	Globorotalia explicationis	Globigerinoides quadrilobatus	Pulleniatina primalis	Pulleniatina obliquiloculata	Neogloboquadrina humerosa	Neogloboquadrina pachyderma (sinistral)	Globorotalia limbata	Globigerinella obesa	Globoturborotalita apertura	Globorotalia conomiozea	Globorotalia sphericomiozea	Neogloboquadrina pachyderma	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia crassaformis	Globigerina falconensis	Globorotalia crassaconica	Globorotalia crassula	Globorotalia crassacarina	Globigerinoides obliquus	Globigerinella aequilateralis	Globorotalia triangula	Globorotalia inflata	Globigerina umbilicata	Globorotalia truncatulinoides	Globigerinita parkerae	Comment



  IR	                 	                 	                  	SN14          	189	1172	A	  1	H	CC	  10.00	      6.2400	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	+                   	                           	                       	                           	                           	                           	                         	                    	+                        	+                      	                         	+                    	                         	                        	+                            	+                     	+                   	                      	+                            	+                     	       

  IR	                 	                 	                  	SN13          	189	1172	A	  2	H	CC	   9.00	     16.1500	forams   	Planktonic Foraminifers                      	A              	VG                	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	+                   	                           	                       	                           	+                          	                           	                         	                    	+                        	+                      	+                        	+                    	+                        	                        	+                            	                      	+                   	                      	                             	                      	       

  IR	                 	                 	                  	SN13          	189	1172	A	  3	H	CC	  15.00	     25.5400	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	+                      	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	                           	                       	                           	+                          	+                          	+                        	                    	+                        	+                      	                         	+                    	                         	                        	+                            	+                     	+                   	+                     	                             	                      	       

  IR	                 	                 	                  	SN13          	189	1172	A	  4	H	CC	  12.00	     35.1100	forams   	Planktonic Foraminifers                      	A              	G                 	                   	                         	                    	                      	                      	                      	                      	                                 	                     	                       	                    	                                         	                         	                       	                	                       	+                      	                       	                              	                       	                                	                      	                           	                      	                        	                           	                       	                        	                  	                  	                         	                   	+                    	                       	                              	                           	                        	+                   	                           	                       	                  	+                	                      	                     	                   	                         	                   	                              	                          	                             	                     	                            	                         	+                                      	                    	                    	                           	                       	                           	                           	+                          	+                        	                    	+                        	+                      	+                        	                     	                         	                        	                             	                      	+                   	                      	                             	                      	       
