Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris turris,Pyxilla reticulata,Paralia sulcata,Hemiaulus sp.,Hemiaulus caracteristicus,Actinocyclus ingens,Simonseniella barboi,Actinoptychus senarius,Coscinodiscus marginatus,Nitzschia weaveri,Thalassiothrix longissima,Thalassionema nitzschioides,Denticulopsis dimorpha,Azpeitia endoi,Thalassionema nitzschioides  var. parva,Hemidiscus ovalis,Diploneis sp.,Denticulopsis meridionalis,Denticulopsis hustedtii,Craspedodiscus sp.,Thalassiosira insigna,Hyalodiscus sp.,Azpeitia tabularis,Thalassiosira oestrupii,Thalassiosira lentiginosa,Nitzschia barronii,Chaetoceros spp. (resting spores),Thalassiosira kolbei,Eucampia antarctica,Actinocyclus curvatulus,Xanthiopyxis ovalis,Rhizosolenia styliformis,Rhaphoneis surirelloides,Nitzschia ritscherii,Thalassiosira fasciculata,Nitzschia panduriformis,Nitzschia kerguelenis,Cestodiscus reticulatus,Actinoptychus splendens,Thalassiosira elliptipora,Cymbella sp.,Rhizosolenia hebetata f. hiemalis,Actinocyclus oculatus,Actinocyclus actinochilus,Cyclotella striata,Coscinodiscus radiatus,Coscinodiscus asteromphalus,Thalassiosira gracilis,Cocconeis sp.,Chaetoceros sp.,Aulacosira granulata,Nitzschia separanda,Hemidiscus karstenii,Hemidiscus karstenii f.1,Comment
  IR,                 ,                 ,                  ,              ,181,1122,C, 56,X,CC,  37.00,    507.7800,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,R              ,             ,                         ,F                  ,                    ,                      ,R                       ,                 ,F                        ,T                          ,T                     ,T             ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 57,X,CC,  21.00,    517.1400,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,               ,T            ,                         ,                   ,                    ,                      ,                        ,T                ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 59,X,CC,   7.00,    531.2700,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,T              ,             ,                         ,                   ,                    ,                      ,T                       ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 62,X,CC,   0.00,    563.3100,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,R                 ,R              ,T            ,                         ,                   ,T                   ,T                     ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 63,X,CC,  17.00,    571.2700,diatoms  ,Diatoms                                      ,               ,                  ,F                          ,                  ,R              ,T            ,T                        ,R                  ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 65,X,CC,  13.00,    590.6300,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,F                 ,R              ,             ,                         ,                   ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
