Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris turris,Pyxilla reticulata,Paralia sulcata,Hemiaulus sp.,Hemiaulus caracteristicus,Actinocyclus ingens,Simonseniella barboi,Actinoptychus senarius,Coscinodiscus marginatus,Nitzschia weaveri,Thalassiothrix longissima,Thalassionema nitzschioides,Denticulopsis dimorpha,Azpeitia endoi,Thalassionema nitzschioides  var. parva,Hemidiscus ovalis,Diploneis sp.,Denticulopsis meridionalis,Denticulopsis hustedtii,Craspedodiscus sp.,Thalassiosira insigna,Hyalodiscus sp.,Azpeitia tabularis,Thalassiosira oestrupii,Thalassiosira lentiginosa,Nitzschia barronii,Chaetoceros spp. (resting spores),Thalassiosira kolbei,Eucampia antarctica,Actinocyclus curvatulus,Xanthiopyxis ovalis,Rhizosolenia styliformis,Rhaphoneis surirelloides,Nitzschia ritscherii,Thalassiosira fasciculata,Nitzschia panduriformis,Nitzschia kerguelenis,Cestodiscus reticulatus,Actinoptychus splendens,Thalassiosira elliptipora,Cymbella sp.,Rhizosolenia hebetata f. hiemalis,Actinocyclus oculatus,Actinocyclus actinochilus,Cyclotella striata,Coscinodiscus radiatus,Coscinodiscus asteromphalus,Thalassiosira gracilis,Cocconeis sp.,Chaetoceros sp.,Aulacosira granulata,Nitzschia separanda,Hemidiscus karstenii,Hemidiscus karstenii f.1,Comment
  IR,                 ,                 ,                  ,              ,181,1122,C, 20,X,CC,   9.00,    161.2100,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,R                  ,                    ,T                     ,                        ,                 ,R                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,R                        ,T                 ,                                 ,                    ,                   ,                       ,F                  ,                        ,                        ,R                   ,                         ,                       ,R                    ,                       ,                       ,                         ,T           ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,R            ,T              ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 21,X,CC,   0.00,    167.9900,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,T                    ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 23,X,CC,   0.00,    187.2800,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,                    ,                      ,                        ,                 ,T                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,T              ,                  ,                       ,R                        ,                  ,                                 ,                    ,T                  ,                       ,T                  ,                        ,T                       ,                    ,                         ,T                      ,F                    ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,T                   ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 30,X,CC,  12.00,    259.1300,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,R                  ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,R                        ,                  ,F                                ,                    ,T                  ,                       ,R                  ,                        ,F                       ,F                   ,                         ,R                      ,F                    ,                       ,                       ,                         ,T           ,                                 ,                     ,T                        ,                  ,                      ,                           ,T                     ,T            ,T              ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 31,X,CC,  16.00,    266.3400,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,R              ,             ,                         ,F                  ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,T            ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,T                                ,                    ,T                  ,                       ,R                  ,                        ,                        ,                    ,                         ,                       ,R                    ,                       ,                       ,R                        ,            ,                                 ,                     ,R                        ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 32,X,CC,  16.00,    273.7500,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,T                  ,                    ,                      ,                        ,                 ,F                        ,T                          ,                      ,              ,T                                      ,                 ,             ,                          ,                       ,                  ,                     ,               ,T                 ,                       ,                         ,                  ,T                                ,                    ,                   ,                       ,R                  ,                        ,F                       ,                    ,T                        ,T                      ,                     ,                       ,T                      ,                         ,            ,                                 ,                     ,T                        ,                  ,T                     ,T                          ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 33,X,CC,   8.00,    287.9800,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,               ,             ,                         ,R                  ,                    ,                      ,                        ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,T                 ,                       ,R                        ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,F                   ,                         ,R                      ,R                    ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,R                 ,R                     ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 34,X,CC,   0.00,    297.7400,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,               ,T            ,                         ,F                  ,T                   ,                      ,R                       ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,R                 ,                       ,R                        ,                  ,                                 ,                    ,                   ,R                      ,R                  ,                        ,F                       ,F                   ,                         ,R                      ,R                    ,                       ,T                      ,T                        ,            ,                                 ,R                    ,T                        ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 35,X,CC,  24.00,    307.8400,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,R              ,             ,                         ,C                  ,                    ,                      ,T                       ,                 ,F                        ,R                          ,                      ,              ,T                                      ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,F                        ,R                 ,T                                ,                    ,                   ,R                      ,R                  ,                        ,                        ,R                   ,                         ,R                      ,                     ,                       ,T                      ,                         ,            ,R                                ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 36,X,CC,  20.00,    318.2200,diatoms  ,Diatoms                                      ,               ,                  ,R                          ,                  ,R              ,             ,                         ,C                  ,                    ,                      ,                        ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,R              ,R                 ,                       ,F                        ,                  ,                                 ,                    ,                   ,                       ,R                  ,                        ,                        ,F                   ,                         ,R                      ,                     ,                       ,                       ,F                        ,T           ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 37,X,CC,   7.00,    328.2100,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,T                   ,                      ,R                       ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,T              ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,R                      ,T                  ,                        ,T                       ,                    ,R                        ,R                      ,R                    ,T                      ,R                      ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 38,X,CC,   0.00,    333.2800,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,R              ,             ,                         ,C                  ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,T                 ,                       ,R                        ,R                 ,                                 ,                    ,                   ,                       ,T                  ,                        ,                        ,R                   ,R                        ,T                      ,T                    ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 39,X,CC,  11.00,    343.6600,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,F                  ,                    ,                      ,                        ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,R                        ,R                 ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 40,X,CC,  16.00,    351.3600,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,T              ,             ,                         ,C                  ,                    ,                      ,T                       ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,T              ,                  ,                       ,                         ,F                 ,                                 ,                    ,                   ,                       ,T                  ,                        ,                        ,                    ,R                        ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 41,X,CC,   7.00,    359.8800,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,T              ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 43,X,CC,  24.00,    377.4400,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,R              ,             ,                         ,C                  ,                    ,                      ,T                       ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,T                      ,R                        ,F                 ,                                 ,                    ,T                  ,                       ,R                  ,T                       ,R                       ,F                   ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 44,X,CC,  21.00,    392.5400,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,R                  ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,T                                ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,                     ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
