Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus verensis	Sphenolithus abies	Reticulofenestra "small"	Pontosphaera discopora	Helicosphaera carteri	Discoaster variabilis	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilicus	Discoaster surculus	Discoaster "six-rayed"	Helicosphaera sellii	Coccolithus miopelagicus	Ceratolithus telesmus	Pseudoemiliania lacunosa	Comment



  IR	                 	Pleistocene      	NN21              	NN19          	170	1041	A	  2	H	CC	   0.00	     14.0300	Muza     	Nannofossils                                 	F              	P                 	                     	rR                	C                       	                      	F                    	                     	                   	                      	F                     	                          	                                	                   	                      	R                   	rR                      	                     	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	  3	X	CC	  47.00	     21.1200	Muza     	Nannofossils                                 	F              	P                 	                     	                  	                        	                      	R                    	                     	F                  	                      	F                     	                          	                                	                   	                      	R                   	                        	R                    	F                       	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	  4	X	CC	  46.00	     24.9200	Muza     	Nannofossils                                 	C              	M                 	                     	                  	                        	F                     	R                    	                     	F                  	                      	F                     	                          	                                	                   	                      	R                   	                        	                     	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	  5	X	CC	  40.00	     34.2100	Muza     	Nannofossils                                 	C              	M                 	                     	                  	C                       	                      	F                    	                     	F                  	                      	R                     	                          	                                	                   	                      	F                   	                        	                     	R                       	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	  6	X	CC	  36.00	     41.2300	Muza     	Nannofossils                                 	A              	M                 	                     	                  	C                       	R                     	R                    	                     	F                  	                      	F                     	                          	                                	                   	                      	F                   	                        	                     	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	  7	X	CC	  31.00	     50.7000	Muza     	Nannofossils                                 	C              	M                 	                     	                  	C                       	                      	F                    	                     	F                  	                      	F                     	                          	                                	                   	                      	                    	                        	                     	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	  8	X	CC	  31.00	     60.4600	Muza     	Nannofossils                                 	F              	P                 	                     	                  	                        	                      	F                    	                     	F                  	                      	F                     	                          	                                	                   	                      	                    	rF                      	R                    	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	 10	X	CC	  41.00	     76.2300	Muza     	Nannofossils                                 	A              	M                 	                     	                  	A                       	R                     	F                    	                     	F                  	R                     	F                     	                          	                                	                   	                      	R                   	                        	                     	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	 11	X	CC	  36.00	     84.9900	Muza     	Nannofossils                                 	F              	P                 	                     	                  	F                       	                      	                     	                     	R                  	                      	                      	                          	                                	                   	                      	                    	                        	                     	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	 12	X	CC	   0.00	     96.1900	Muza     	Nannofossils                                 	F              	P                 	                     	                  	F                       	                      	                     	                     	R                  	                      	                      	                          	                                	                   	                      	                    	                        	                     	                        	       

  IR	                 	Late Pliocene    	NN18              	NN17          	170	1041	A	 13	X	CC	  16.00	    100.7800	Muza     	Nannofossils                                 	F              	M                 	                     	                  	F                       	R                     	                     	                     	F                  	R                     	                      	                          	                                	                   	R                     	                    	                        	                     	                        	       

  IR	                 	Late Pliocene    	                  	NN16          	170	1041	A	 14	X	CC	   0.00	    112.1800	Muza     	Nannofossils                                 	A              	M                 	                     	                  	A                       	F                     	C                    	                     	R                  	F                     	                      	                          	                                	R                  	                      	                    	                        	                     	                        	       

  IR	                 	Late Pliocene    	                  	NN16          	170	1041	A	 15	X	CC	  40.00	    125.0900	Muza     	Nannofossils                                 	R              	P                 	                     	                  	R                       	                      	                     	                     	                   	                      	                      	                          	                                	                   	                      	                    	                        	                     	                        	       

  IR	                 	Early Pliocene   	                  	NN15          	170	1041	A	 17	X	CC	  23.00	    137.4800	Muza     	Nannofossils                                 	F              	M                 	                     	R                 	F                       	R                     	F                    	                     	R                  	                      	F                     	rR                        	F                               	                   	                      	                    	                        	                     	                        	       

  IR	                 	Early Pliocene   	                  	NN15          	170	1041	A	 18	X	CC	  14.00	    151.4800	Muza     	Nannofossils                                 	F              	M                 	R                    	R                 	F                       	R                     	R                    	R                    	R                  	R                     	R                     	                          	                                	                   	                      	                    	                        	                     	                        	       

