Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dextral)	Globorotalia inflata	Globigerina bulloides	Sphaeroidinellopsis seminulina	Globorotalia puncticulata	Globigerinoides ruber	Orbulina universa	Globorotalia tosaensis	Globorotalia crassaformis	Globigerina falconensis	Globorotalia truncatulinoides	Globorotalia crassula	Globigerina quinqueloba	Globorotalia scitula	Globigerinoides trilobus	Zeaglobigerina rubescens	Orbulina suturalis	Globorotalia ungulata	Globigerinella obesa	Globigerinita glutinata	Globigerinella siphonifera	Globigerinoides tenellus	Comment



  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  1	H	CC	   8.00	      7.2600	Li       	Planktonic Foraminifers                      	C              	VG                	F                                    	A                   	F                    	                              	                         	A                    	P                	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	F                      	P                         	P                       	shell hash with bryozoans, gastropods, ben forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  2	H	CC	   0.00	     17.0700	Li       	Planktonic Foraminifers                      	C              	VG                	F                                    	A                   	F                    	                              	                         	A                    	P                	                      	                         	F                      	P                            	                     	                       	                    	                        	P                       	                  	                     	                    	                       	P                         	P                       	shell hash with bryozoans, gastropods, ben forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  3	H	CC	   0.00	     25.9500	Li       	Planktonic Foraminifers                      	C              	VG                	F                                    	A                   	F                    	                              	                         	A                    	P                	                      	                         	                       	P                            	                     	                       	                    	                        	P                       	                  	                     	                    	                       	P                         	                        	shell hash with bryozoans, gastropods, ben forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  4	H	CC	  15.00	     36.2800	Li       	Planktonic Foraminifers                      	C              	VG                	F                                    	A                   	F                    	                              	                         	A                    	P                	                      	                         	F                      	P                            	                     	                       	                    	P                       	                        	                  	                     	                    	P                      	P                         	P                       	shell hash with bryozoans, gastropods, ben forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  5	H	CC	   0.00	     45.2800	Li       	Planktonic Foraminifers                      	C              	M                 	F                                    	A                   	F                    	                              	                         	A                    	                 	                      	                         	F                      	P                            	                     	                       	                    	                        	                        	                  	                     	                    	F                      	                          	                        	big bryozoans, gastropods, ben forams

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  6	H	CC	   0.00	     55.0500	Li       	Planktonic Foraminifers                      	C              	M                 	F                                    	A                   	F                    	                              	                         	A                    	P                	                      	                         	                       	R                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	big bryozoans, gastropods, ben forams, frosted

  IR	                 	Quaternary       	                  	Pt1b          	182	1129	C	  7	H	CC	   0.00	     62.4300	Li       	Planktonic Foraminifers                      	C              	M                 	F                                    	A                   	                     	                              	                         	A                    	P                	                      	                         	                       	P                            	                     	                       	                    	                        	                        	                  	                     	                    	                       	                          	                        	big bryozoans, gastropods, ben forams, frosted

