Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globanomalina ovalis,Globanomalina australiformis,Pseudohastigerina wilcoxensis,Subbotina linaperta,Acarinina primitiva,Acarinina wilcoxensis,Subbotina patagonica,Acarinina pentacamerata,Acarinina bullbrooki,Morozovella spinulosa,Globanomalina planoconica,Muricoglobigerina senni,Acarinina spinuloinflata,Acarinina collactea,Subbotina frontosa,Pseudohastigerina micra,Morozovella lehneri,Globorotalia pseudoscitula,Globanomalina chapmani,Truncorotaloides rohri,Subbotina angiporoides,Catapsydrax unicavus,Globorotaloides suteri,Globigerina officinalis,Turborotalia euapertura,Tenuitellinata angustiumbilicata,Tenuitella munda,Tenuitella gemma,Globigerinita glutinata,Globigerina praebulloides,Globigerina eamesi,Dentoglobigerina praedehiscens,Catapsydrax dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP13          ,189,1171,D,  1,R,CC,  15.00,    250.2700,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                            ,                             ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,+                     ,+                   ,+                     ,+                      ,+                      ,+                               ,+               ,+               ,+                      ,+                        ,+                 ,                              ,+                     ,Questionable Chiloguembelina sp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SP13          ,189,1171,D,  2,R,CC,  17.00,    260.6800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                            ,                             ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,                      ,+                   ,+                     ,+                      ,+                      ,+                               ,+               ,+               ,+                      ,+                        ,+                 ,+                             ,+                     ,Questionable Chiloguembelina sp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP10              ,SP13          ,189,1171,D,  4,R,CC,  15.00,    280.5900,forams   ,Planktonic Foraminifers                      ,T              ,G                 ,                    ,                            ,                             ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,+                     ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,SP10              ,SP13          ,189,1171,D,  7,R,CC,  15.00,    302.3000,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                    ,                            ,                             ,                   ,                   ,                     ,                    ,                       ,                    ,                     ,                         ,                       ,                        ,                   ,                  ,                       ,                   ,                          ,                      ,                      ,+                     ,                    ,                      ,                       ,                       ,                                ,                ,                ,                       ,                         ,                  ,                              ,                      ,       
