Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius callosus,Reticulofenestra spp.,Prinsius bisulcus,Toweius pertusus,Coccolithus pelagicus,Sphenolithus moriformis,Chiasmolithus spp.,Chiasmolithus solitus,Transversopontis pulcheroides,Sphenolithus spiniger,Discoaster kuepperi,Zygrhablithus bijugatus,Sphenolithus primus,Pontosphaera spp.,Transversopontis rectipons,Sphenolithus spp.,Reticulofenestra dictyoda,Neococcolithes dubius,Ericsonia formosa,Chiasmolithus nitidus,Transversopontis pulcher,Sphenolithus radians,Chiasmolithus consuetus,Chiasmolithus medius,Discoaster lodoensis,Discoaster distinctus,Chiasmolithus expansus,Reticulofenestra samodurovii,Ellipsolithus lajollaensis,Reticulofenestra umbilica,Reticulofenestra reticulata,Reticulofenestra pseudoumbilica,Chiasmolithus altus,Dictyococcites bisectus,Reticulofenestra oamaruensis,Isthmolithus recurvus,Cyclicargolithus floridanus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  1,R,CC,  15.00,    250.2700,nannos   ,Nannofossils                                 ,A              ,M                 ,                ,                     ,                 ,                ,                     ,                       ,                  ,                     ,                             ,                     ,                   ,                       ,                   ,                 ,                          ,                 ,                         ,                     ,                 ,                     ,                        ,                    ,                       ,                    ,                    ,                     ,                      ,                            ,                          ,                         ,                           ,                               ,                   ,C                      ,                            ,                     ,A                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  2,R,CC,  17.00,    260.6800,nannos   ,Nannofossils                                 ,A              ,M                 ,                ,                     ,                 ,                ,                     ,                       ,                  ,                     ,                             ,                     ,                   ,                       ,                   ,                 ,                          ,                 ,                         ,                     ,                 ,                     ,                        ,                    ,                       ,                    ,                    ,                     ,                      ,                            ,                          ,                         ,                           ,                               ,                   ,C                      ,                            ,                     ,C                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  3,R,CC,  14.00,    271.3400,nannos   ,Nannofossils                                 ,C              ,G                 ,                ,                     ,                 ,                ,                     ,                       ,                  ,                     ,                             ,                     ,                   ,                       ,                   ,                 ,                          ,                 ,                         ,                     ,                 ,                     ,                        ,                    ,                       ,                    ,                    ,                     ,                      ,                            ,                          ,R                        ,                           ,                               ,F                  ,F                      ,F                           ,F                    ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  4,R,CC,  15.00,    280.5900,nannos   ,Nannofossils                                 ,A              ,G                 ,                ,                     ,                 ,                ,                     ,                       ,                  ,                     ,                             ,                     ,                   ,                       ,                   ,                 ,                          ,                 ,                         ,                     ,                 ,                     ,                        ,                    ,                       ,                    ,                    ,                     ,                      ,                            ,                          ,C                        ,                           ,                               ,F                  ,C                      ,F                           ,F                    ,                           ,       
