Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix globulosa	Whiteinella baltica	Hedbergella delrioensis	Archaeoglobigerina bosquensis	Whiteinella inornata	Whiteinella archaeocretacea	Pseudotextularia elegans	Globotruncanita stuarti	Gansserina gansseri	Contusotruncana fornicata	Contusotruncana contusa	Archaeoglobigerina cretacea	Abathomphalus mayaroensis	Rugoglobigerina rugosa	Rugoglobigerina scotti	Rugoglobigerina rotundata	Pseudoguembelina excolata	Globotruncana aegyptiaca	Globigerinelloides prairiehillensis	Praemurica taurica	Praemurica inconstans	Parasubbotina pseudobulloides	Subbotina triloculinoides	Praemurica pseudoinconstans	Globanomalina compressa	Subbotina patagonica	Parasubbotina varianta	Morozovella allisonensis	Acarinina soldadoensis	Acarinina sibaiyaensis	Acarinina africana	Morozovella subbotinae	Morozovella aequa	Chiloguembelina wilcoxensis	Acarinina coalingensis	Morozovella velascoensis	Igorina broedermanni	Acarinina wilcoxensis	Acarinina quetra	Morozovella marginodentata	Morozovella gracilis	Subbotina triangularis	Morozovella lensiformis	Morozovella formosa	Morozovella aragonensis	Comment



  IR	                 	                 	                  	              	207	1259	C	  1	R	CC	  13.00	    312.8600	forams   	Planktonic Foraminifers                      	C              	P                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	P                     	                      	                  	                      	                 	                           	                      	                        	P                   	                     	P               	                          	                    	                      	                       	P                  	P                      	       

  IR	                 	                 	                  	              	207	1259	C	  2	R	CC	   9.00	    326.4800	forams   	Planktonic Foraminifers                      	A              	P                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	P                     	                      	                  	P                     	                 	                           	P                     	                        	                    	                     	P               	                          	P                   	P                     	P                      	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  3	R	CC	  15.00	    334.0800	forams   	Planktonic Foraminifers                      	A              	P                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	P                   	                      	                        	P                     	                      	                  	P                     	                 	P                          	                      	                        	                    	                     	P               	P                         	P                   	                      	                       	                   	                       	       

  IR	                 	                 	                  	              	207	1259	C	  4	R	CC	   0.00	    343.5300	forams   	Planktonic Foraminifers                      	C              	P                 	                     	                   	                       	                             	                    	                           	                        	                       	                   	                         	                       	                           	                         	                      	                      	                         	                         	                        	                                   	                  	                     	                             	                         	                           	                       	                    	                      	                        	P                     	                      	                  	P                     	P                	                           	P                     	                        	                    	                     	P               	                          	                    	                      	                       	                   	                       	       

