Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites ramosus	Pyxidinopsis waipawaensis	Phthanoperidinium spp.	Operculodinium sp. A	Enneadocysta partridgei	Deflandrea phosphoritica group	Thalassiphora pelagica	Selenopemphix nephroides	Lejeunecysta spp.	Cerebrocysta bartonensis	Operculodinium centrocarpum	Impagidinium dispertitum	Batiacasphaera compta	Vozzhennikovia spp.	Turbiosphaera filosa	Spinidinium macmurdoense	Octodinium askiniae	Impagidinium victorianum	Impagidinium sp.	Elytrocysta spp.	Alterbidinium spp.	Alterbidinium distinctum	Spinidinium luciae	Operculodinium sp. B	Impagidinium sp. a	Enneadocysta pectiniformis	Corrudinium sp.	Areosphaeridium diktyoplokus	Systematophora placacantha	Spiniferites pseudofurcatus	Schematophora speciosa	Operculodinium janduchenei	Impagidinium aculeatum	Hystrichostrogylon spp.	Hemiplacophora semilunifera	Gelatia inflata	Corrudinium sp. A	Aireiana verrucosa	Achomosphaera alcicornu	Stoveracysta kakanuiensis	Brigantedinium? sp.	Impagidinium paradoxum	Spiniferites mirabilis	Multispinula quanta	Impagidinium patulum	Brigantedinium spp.	Comment



  IR	                 	                 	                  	              	189	1172	A	  1	H	CC	  10.00	      6.2400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	G                 	                    	                         	                      	                    	                       	                              	                      	1                       	                 	                        	                           	                        	                     	                   	                    	                        	                   	                        	                	                	                  	                        	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	1                     	                       	                           	               	                 	                  	                       	                         	                   	                      	5                     	1                  	1                   	5                  	       

  IR	                 	                 	                  	              	189	1172	A	  4	H	CC	  12.00	     35.1100	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	G                 	                    	                         	                      	                    	                       	                              	                      	                        	                 	                        	                           	                        	                     	                   	                    	                        	                   	                        	                	                	                  	                        	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	                         	                   	1                     	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 39	X	 3	 122.00	    358.8200	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	M                 	                    	                         	5                     	1                   	1                      	11                            	                      	                        	                 	                        	1                          	                        	                     	4                  	1                   	1                       	2                  	                        	1               	2               	                  	                        	                  	                    	                  	                          	               	                            	                          	                           	                      	                          	                      	                       	                           	               	                 	                  	                       	2                        	125                	                      	                      	                   	                    	                   	       

  IR	                 	                 	                  	              	189	1172	A	 39	X	 5	  22.00	    360.8200	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	1                   	                         	5                     	                    	1                      	200                           	                      	2                       	1                	                        	1                          	                        	                     	12                 	                    	                        	2                  	1                       	1               	                	4                 	2                       	                  	                    	                  	                          	1              	                            	1                         	1                          	1                     	1                         	1                     	1                      	1                          	1              	1                	1                 	1                      	                         	                   	                      	                      	                   	                    	                   	       

