Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Elphidium saginatum	Cibicidoides spp.	Pleurostomella spp.	Globobulimina spp.	Dentalina spp.	Bathysiphon spp.	Ostracoda spp.	Melonis barleeanus	Globocassidulina subglobosa	Uvigerina peregrina	Unilocular species	Pullenia spp.	Gyroidinoides spp.	Eggerella bradyi	Stilostomella spp.	Nodosaria spp.	Unidentified benthic forams	Ceratobulimina spp.	Oridorsalis umbonatus	Hanzawaia mantaensis	Fontbotia wuellerstorfi	Cibicidoides mundulus	Rectuvigerina spp.	Osangularia culter	Laticarinina pauperata	Ehrenbergina spp.	Hopkinsina mioindex	Uvigerina hispida	Sigmoilopsis schlumbergeri	Pullenia bulloides	Chilostomella oolina	Comment



  IR	                 	                 	                  	              	189	1172	A	  1	H	CC	  10.00	      6.2400	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	R                 	                           	R                  	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	R                	R                         	                  	R                   	       

  IR	                 	                 	                  	              	189	1172	A	  3	H	CC	  15.00	     25.5400	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	R                 	                           	R                  	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	                      	                 	                   	R                	R                         	                  	R                   	       

  IR	                 	                 	                  	              	189	1172	A	  5	H	CC	   0.00	     44.5000	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	              	T                 	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	R                      	R                    	                  	                  	                      	                 	                   	R                	R                         	                  	T                   	       

  IR	                 	                 	                  	              	189	1172	A	  7	H	CC	  27.00	     63.7900	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	                  	R                          	                   	                  	R            	                  	                	                  	              	                           	                   	                     	                    	T                      	R                    	                  	                  	                      	                 	                   	F                	R                         	                  	T                   	       

  IR	                 	                 	                  	              	189	1172	A	  9	H	CC	   0.00	     82.5200	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	                  	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	T                      	                     	                  	                  	R                     	                 	                   	                 	R                         	                  	                    	       

  IR	                 	                 	                  	              	189	1172	A	 11	H	CC	   7.00	    101.3400	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	R             	                  	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	R                      	                     	                  	                  	R                     	                 	                   	                 	R                         	R                 	                    	       

  IR	                 	                 	                  	              	189	1172	A	 13	H	CC	  26.00	    120.7600	benthics 	Benthic Foraminifers                         	               	                  	                   	                 	                   	                  	              	                	              	R                 	                           	                   	                  	             	                  	                	                  	              	                           	                   	                     	                    	                       	                     	                  	                  	R                     	                 	T                  	R                	                          	                  	                    	tiny sample, serious fragmentation, B/P: 1/50

