leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,01,OGA,000,,,150,,,"marl and calcareous mud, w/ volcanic ash(spots at 4-8 cm)","yellowish brown alternating with very pale brown, w/ black spots at 6-10, 58-60 cm)",10yr 5/6 alternating with 10yr 7/4,"minor bioturbation; burrows(circular, planar, & horizontal); horizontal layering",slightly disturbed,"black spots: pyrite & mn-oxide micronodule(6-10, 58-60 cm)","volcanic has (spots at 4-8 cm); pyrite & mn (6-10, 58-60 cm)","forams(5-48, 56-62, 67-86, 93-100, 127-134, 146-150 cm); nannos","pyrite and mn-oxide micronodule(6-10, 58-60 cm)respectively",,,H,15.53817,-58.85150,0000.00,0,150,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,02,BCK,000,,,006,,,"marl and calcareous mud, w/ volcanic ash(3 cm)",very dark gray and gray patches of diffuse contours,5yr 3/1,minor bioturbation(?),slightly disturbed,,volcanic ash(3 cm),forams; nannos,,,,H,15.53817,-58.85150,0001.50,150,156,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,02,BCK,006,,,150,,,marl and calcareous mud,light yellowish brown to gray/light gray to light yellowish brown to yellowish brown,10yr 6/4 to 10yr 6/0 to 10yr 6/4 to 10yr 5/6,,slightly disturbed(6-60 cm),,,forams; nannos,local whiter traces could represent bioturbation,,,H,15.53817,-58.85150,0001.50,156,300,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,03,BER,000,,,062,,,marl and calcareous mud,yellowish brown(0-30cm);light olive brown(30-45cm)to light yellowish brown & brownish yellow,10yr 5/4(0-30 cm);2.5y 5/4(30-45 cm);10yr 6/5(45-62 cm),minor bioturbation,,,,,,,,H,15.53817,-58.85150,0003.00,300,362,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,03,BER,062,,,145,,,"marl and calcareous mud(62-84 cm); matrix supported conglomerate, w/ mudstone matrix and claystone pebbles(84-145 cm)",light yellowish brown(62-84 cm); light olive brown(84-145 cm),10yr 6/4(62-84 cm); 2.5y 5/4(84-145 cm),minor bioturbation(62-84 cm),,,,,,,,H,15.53817,-58.85150,0003.00,362,445,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,03,BER,145,,,150,,,interstitial water sample,,,,,,,,,,,H,15.53817,-58.85150,0003.00,445,450,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,04,BER,000,,,138,,,"matrix supported conglomerate, w/ mudstone matrix and claystone pebbles",light olive brown,2.5y 5/4,,,,,,,,,H,15.53817,-58.85150,0004.50,450,588,,,,,
110,674,A,001,Hydraulic (Advanced) Piston Core,CC,BER,000,,,020,,,"matrix supported conglomerate, w/ mudstone matrix and claystone pebbles",grayish brown to light olive brown,2.5y 5/3,,,,,,,,,H,15.53817,-58.85150,0005.88,588,608,,,,,
110,674,A,002,Hydraulic (Advanced) Piston Core,01,BER,000,,,150,,,calcareous clay and mud(0-137 cm); conglomerate and breccia of claystone(137-150 cm),yellowish brown(0-137 cm); light olive brown(137-150 cm),10yr 5/4(0-137 cm); 2.5y 5/4(137-150 cm),minor bioturbation(0-137 cm); mn-stained burrows,slightly disturbed(0-95 cm),mn-oxide staining (93-105 cm),mn-oxide staining (93-105 cm),scattered sand-sized forams,,,,H,15.53817,-58.85150,0006.10,609,759,,,,,
110,674,A,002,Hydraulic (Advanced) Piston Core,02,BCK,000,,,098,,,"conglomerate and breccia of claystone, w/ devitrified altered volcanic ash(0-75 cm); calcareous clay or mud(75-98 cm)","yellowish brown, w/ brownish yellow devitrified ash(0-75cm);yellowish brown(0-75cm);light yellowish brown(75-98cm)","10yr 5/4, w/ 10yr 6/8 and 10yr 6/4 pebbles(0-75 cm); 10yr 6/4(75-98 cm)",fining upward sequence(25-75 cm),drilling breccia(5-85 cm); slightly disturbed(85-98 cm),"soft compact ""pebbles"" of clay",volcanic devitrified altered ash & ashy fragments(0-75 cm),,minor pebbles(dark ashy fragments 1 cm); pebbles(devitrified altered ash 1mm to 5 cm),,,H,15.53817,-58.85150,0007.60,759,857,,,,,
110,674,A,002,Hydraulic (Advanced) Piston Core,02,BCK,098,,,150,,,calcareous claystone to claystone(98-112 cm); conglomerate and breccia of claystone(112-150 cm),"light yellowish brown to greenish gray(98-112cm);light yellowish brown matrix & ""ochre-greenish"" pebbles(112-150cm)",10yr 6/4 to 5gy 5/1(98-112 cm);4y 4/3? to 10yr 6/4(112-150cm),,slightly disturbed,,,,,,,H,15.53817,-58.85150,0007.60,857,909,,,,,
110,674,A,002,Hydraulic (Advanced) Piston Core,03,BER,000,,,150,,,conglomerate and breccia of claystone; void(40-150 cm),"olive(0-12 cm); w/""greenish"" and ""brownish"" clasts greenish gray(12-40 cm)",5y 5/3(0-12 cm); 5g 5/1(12-40 cm),,,,,,cm sized clasts,,,H,15.53817,-58.85150,0009.10,910,1060,,,,,
110,674,A,002,Hydraulic (Advanced) Piston Core,04,BER,000,,,150,,,"conglomerate and breccia of claystone, w/ a few clasts of volcanic ash",greenish gray with some brownish-olive and dark gray clasts,5gy 5/1,,slightly disturbed,,volcanic ash,,,,,H,15.53817,-58.85150,0009.50,950,1100,,,,,
110,674,A,002,Hydraulic (Advanced) Piston Core,05,OGA,000,,,150,,,"conglomerate and breccia of claystone, w/ volcanic ash(white hard rock vitric ash)at ~58-60 cm","olive gray to gray(0-26 cm); gray(26-51 cm); olive gray(51-150 cm); olive,gray,green,white,black and brown pebbles",5y 5/2 to 5y 5/1(0-26 cm);5y 5/1(26-51 cm);5y 5/2(51-150 cm),horizontal bedding,"slightly disturbed(0-30, 100-150 cm)",mn-oxide-rich black pebbles; glauconite rock(~61-62 cm),volcanic vitric ash (~58-60 cm); glauconite rock(~61-62 cm),,small angular pebbles,indurated pebbles,,H,15.53817,-58.85150,0011.00,1100,1250,,,,,
