Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Uvigerina mediterranea	Uvigerina hispida	Stilostomella consobrina	Stilostomella adolphina	Sigmoilina tenuis	Pullenia quinqueloba	Pullenia bulloides	Pseudoeponides sp.	Melonis parkerae	Lagena striata	Globocassidulina subglobosa	Globobulimina sp.	Fursenkoina schreibersiana	Fissurina kerguelenensis	Fissurina cf. F. orbignyana	Eponides tenera	Cibicidoides mundulus	Cassidulina laevigata	Bulimina marginata	Bolivina cf. subspinescens	Bolivina cf. striatula	Lagena sp.	Lagena laevis	Gyroidinoides neosoldanii	Fontbotia wuellerstorfi	Fissurina cf. submarginata	Eponides spp.	Dentalina vertebralis	Cibicides refulgens	Cancris sp.	Bulimina rostrata	Bulimina aculeata	Amphicoryna hirsuta	Pyrgo murrhina	Nodosaria vertebralis	Dentalina guttifera	Dentalina communis	Quinqueloculina venusta	Pyrgo depressa	Heterolepa sp.	Fissurina marginata	Dentalina sp.	Dentalina intorta	Lagena hispidula	Hoeglundina elegans	Fissurina lacunata	Epistominella exigua	Bolivina sp.	Nonion sp.	Fursenkoina complanata	Frondicularia sp.	Eponides repandus	Dentalina subsoluta	Nodosaria subsoluta	Melonis pompilioides	Stomatorbina concentrica	Martinottiella communis	Fursenkoina sp.	Lenticulina gibba	Lagena sulcata	Gyroidina umbonata	Bulimina exilis	Polymorphinid taxa	Lagena gracilis	Uvigerina ampullacea	Oolina williamsoni	Cassidulinoides parkerianus	Bulimina clava	Pyrgo serrata	Bolivina pseudoplicata	Sigmoilopsis schlumbergeri	Oolina melo	Comment



  SR	Pleistocene      	                 	CN14a             	              	159	 959	A	  1	H	 1	  40.00	      0.4000	Levy     	Benthic Foraminifers                         	               	                  	14                 	                      	7                	                        	                       	3                	                    	                  	                  	                	              	3                          	                 	                          	                        	1                          	               	                     	64                   	1                 	                          	                      	          	             	                         	3                      	                          	             	                     	                   	           	9                	6                	                   	2             	                     	                   	                  	                       	              	5             	                   	             	                 	                	3                  	                  	                    	            	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	7             	                  	               	                  	               	2                   	                  	                           	              	1            	                      	2                         	1          	Total count = 56; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN14a             	              	159	 959	A	  1	H	 2	  40.00	      1.9000	Levy     	Benthic Foraminifers                         	               	                  	21                 	                      	8                	                        	                       	3                	3                   	7                 	                  	14              	              	4                          	                 	3                         	                        	                           	               	1                    	33                   	1                 	                          	                      	          	             	                         	4                      	                          	             	                     	                   	3          	3                	42               	                   	2             	                     	                   	                  	                       	              	              	                   	             	                 	                	2                  	                  	                    	            	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	1             	                  	               	1                 	               	1                   	                  	1                          	              	1            	2                     	                          	           	Total count = 21; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN14a             	              	159	 959	A	  1	H	 3	  40.00	      3.4000	Levy     	Benthic Foraminifers                         	               	                  	28                 	                      	14               	                        	                       	2                	2                   	2                 	                  	17              	              	                           	                 	                          	1                       	                           	               	4                    	2                    	12                	                          	1                     	1         	             	                         	4                      	                          	3            	                     	                   	           	7                	30               	                   	10            	                     	                   	                  	                       	1             	2             	1                  	             	                 	                	                   	                  	                    	            	          	                      	                 	                 	                   	                   	                    	                        	                       	               	                 	              	                  	               	3                 	               	8                   	1                 	3                          	2             	             	                      	                          	           	Total count = 106; From Leg 159SR Ch 44 Table 1

  SR	Pleistocene      	                 	CN14a             	              	159	 959	A	  1	H	 4	  40.00	      4.9000	Levy     	Benthic Foraminifers                         	               	                  	23                 	                      	                 	                        	                       	1                	                    	1                 	                  	15              	              	7                          	                 	                          	                        	                           	22             	                     	17                   	18                	                          	                      	          	             	                         	2                      	                          	             	                     	                   	           	1                	2                	                   	2             	                     	                   	                  	                       	              	              	                   	             	                 	                	                   	                  	                    	            	          	1                     	                 	1                	                   	                   	                    	                        	                       	               	                 	              	1                 	5              	1                 	1              	                    	                  	                           	              	             	                      	                          	           	Total count = 85; From Leg 159SR Ch 44 Table 1
