Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tetrapyle octacantha,Stylochlamidium asteriscus,Spongaster tetras,Lamprocyclas maritalis maritalis,Hymeniastrum euclidis,Heliodiscus asteriscus,Eucyrtidium calvertense,Druppatractus acquilonius,Didymocyrtis tetrathalamus,Carpocanistrum (unspecified taxon or taxa),Axoprunum angelinum,Amphirhopalum ypsilon,Eucyrtidium hexagonatum,Eucyrtidium acuminatum,Spongodiscus (unspecified taxon or taxa),Lithocampe (unspecified taxon or taxa),Euchitonia furcata,Botryostrobus auritus/australis,Anthocyrtidium ophirense,Androcyclas gamphonycha,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H,CC,  28.00,      9.6800,Aitchison,Radiolarians                                 ,C              ,G                 ,                    ,F                         ,                 ,R                               ,R                    ,R                     ,R                      ,                         ,R                         ,R                                         ,                   ,                     ,R                      ,                      ,F                                       ,R                                     ,R                 ,R                              ,R                       ,R                      ,from ODP Leg 126 SR Chapter 21 Table 7 p 327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H,CC,  26.00,     28.8300,Aitchison,Radiolarians                                 ,R              ,M                 ,                    ,                          ,R                ,                                ,                     ,                      ,                       ,                         ,                          ,                                          ,                   ,R                    ,                       ,                      ,                                        ,                                      ,                  ,                               ,                        ,                       ,from ODP Leg 126 SR Chapter 21 Table 7 p 327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H,CC,  27.00,     38.1700,Aitchison,Radiolarians                                 ,F              ,G                 ,                    ,R                         ,F                ,                                ,                     ,                      ,                       ,                         ,                          ,R                                         ,                   ,                     ,R                      ,R                     ,                                        ,                                      ,                  ,                               ,                        ,                       ,from ODP Leg 126 SR Chapter 21 Table 7 p 327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  5,H,CC,  18.00,     46.5000,Aitchison,Radiolarians                                 ,F              ,G                 ,R                   ,                          ,                 ,R                               ,                     ,R                     ,                       ,R                        ,                          ,F                                         ,                   ,                     ,                       ,                      ,                                        ,                                      ,                  ,                               ,                        ,                       ,from ODP Leg 126 SR Chapter 21 Table 7 p 327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  9,H,CC,  27.00,     80.1000,Aitchison,Radiolarians                                 ,C              ,G                 ,R                   ,R                         ,F                ,R                               ,R                    ,R                     ,R                      ,R                        ,R                         ,F                                         ,R                  ,F                    ,                       ,                      ,                                        ,                                      ,                  ,                               ,                        ,                       ,from ODP Leg 126 SR Chapter 21 Table 7 p 327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
