Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix miocenica	Thalassiothrix longissima	Thalassiosira vulnifica	Thalassiosira torokina	Thalassiosira sp. cf. T.vulnifica	Thalassiosira lentiginosa var. ovalis	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira insigna	Thalassiosira elliptipora	Thalassionema nitzschioides  var. parva	Thalassionema nitzschioides	Stephanopyxis turris	Simonseniella praebarboi	Simonseniella barboi	Rouxia spp.	Rocella vigilans (large)	Rocella gelida	Rhizosolenia styliformis	Pyxilla fragments	Nitzschia weaveri	Nitzschia sp. 19	Nitzschia reinholdii	Nitzschia pusilla	Nitzschia praeinterfrigidaria	Nitzschia marina	Nitzschia kerguelenis	Nitzschia interfrigidaria	Nitzschia efferans	Nitzschia denticuloides	Nitzschia angulata	Neobrunia mirabilis	Lithodesmium sp.	Lisitzinia ornata	Hemidiscus karstenii f.1	Hemidiscus karstenii	Hemidiscus cuneiformis	Eucampia antarctica	Denticulopsis sp. (copulae)	Denticulopsis lauta	Denticulopsis hustedtii	Denticulopsis dimorpha	Craspedodiscus coscinodiscus	Coscinodiscus rhombicus	Coscinodiscus marginatus	Coscinodiscus endoi	Charcotia actinochilus	Actinocyclus ingens	Actinocyclus ingens var. planus	Coscinodiscus insignis	Comment



  SR	                 	                 	                  	              	114	 699	A	  1	H	 1	  25.00	      0.2500	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	.2%                 	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	                               	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T. lentiginosa    	              	114	 699	A	  1	H	 1	  40.00	      0.4000	Ciesielski	Diatoms                                      	               	E                 	-                       	C                        	-                      	-                     	-                                	-                                    	A                        	-                   	-                    	-                        	-                                      	-                          	-                   	-                       	-                   	-          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	D                    	-                        	-                 	-                      	-                 	-                  	-               	-                	-                       	D                   	-                     	A                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	S                     	-                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 1	 124.00	      1.2400	Fenner   	Diatoms                                      	               	                  	                        	                         	                       	                      	                                 	                                     	                         	                    	                     	                         	                                       	                           	                    	                        	                    	           	                        	              	                        	                 	                 	                	                    	                 	                             	                	                     	                         	                  	                       	                  	                   	                	                 	                        	.3%                 	                      	                   	                           	                   	                       	                      	                            	                       	                        	                   	                      	                   	                               	                      	from ODP Leg 114 SR Chapter 5 Appendix p 110-118

  SR	                 	                 	T. lentiginosa    	              	114	 699	A	  1	H	 2	 140.00	      2.9000	Ciesielski	Diatoms                                      	               	G                 	-                       	C                        	-                      	-                     	-                                	-                                    	A                        	-                   	-                    	-                        	-                                      	-                          	-                   	-                       	-                   	-          	-                       	-             	-                       	-                	-                	-               	-                   	-                	-                            	-               	D                    	-                        	-                 	-                      	-                 	-                  	-               	-                	-                       	R                   	-                     	C                  	-                          	-                  	-                      	-                     	-                           	-                      	-                       	-                  	F                     	-                  	                               	                      	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757
