Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus ciperoensis	Reticulofenestra bisecta	Reticulofenestra abisecta	Discolithina enormis	Cyclicargolithus floridanus	Coccolithus sp.	Coccolithus pelagicus	Zygrhablithus bijugatus	Helicosphaera intermedia	Triquetrorhabdulus carinatus	Sphenolithus belemnos	Helicosphaera parallela	Helicosphaera kamptneri	Discoaster deflandrei	Reticulofenestra sp.	Coronocyclus nitescens	Sphenolithus heteromorphus	Discoaster variabilis	Discoaster bellus	Cyclococcolithus leptoporus	Discoaster adamanteus	Comment



  SR	Middle Miocene   	                 	NN5               	              	101	 626	D	  1	R	CC	   9.00	    180.7700	Watkins  	Nannofossils                                 	               	M                 	R                      	                        	                        	                         	                    	R                          	R              	R                    	                       	                        	                            	                     	                       	R                      	R                    	                    	                      	R                         	                     	                 	R                          	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Middle Miocene   	                 	NN5               	              	101	 626	D	  3	R	CC	   9.00	    199.1400	Watkins  	Nannofossils                                 	               	M                 	F                      	                        	                        	                         	                    	C                          	C              	F                    	                       	                        	                            	                     	                       	R                      	R                    	                    	R                     	C                         	R                    	                 	                           	R                    	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Middle Miocene   	                 	NN5               	              	101	 626	D	  4	R	CC	   8.00	    208.3100	Watkins  	Nannofossils                                 	               	M                 	R                      	                        	                        	                         	                    	C                          	C              	R                    	                       	                        	                            	                     	                       	R                      	R                    	                    	R                     	F                         	R                    	R                	R                          	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Early Miocene    	                 	NN3               	              	101	 626	D	 10	R	 1	   0.00	            	Watkins  	Nannofossils                                 	               	M                 	R                      	                        	R                       	                         	                    	R                          	R              	R                    	                       	                        	                            	R                    	                       	R                      	                     	                    	                      	R                         	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Early Miocene    	                 	NN3               	              	101	 626	D	 11	R	 1	  50.00	            	Watkins  	Nannofossils                                 	               	M                 	F                      	                        	                        	                         	                    	R                          	               	R                    	                       	                        	                            	R                    	                       	                       	                     	                    	R                     	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

  SR	Early Miocene    	                 	NN3               	              	101	 626	D	 11	R	CC	  10.00	    275.7000	Watkins  	Nannofossils                                 	               	M                 	F                      	                        	R                       	                         	                    	F                          	R              	R                    	                       	                        	                            	R                    	                       	                       	                     	R                   	R                     	                          	                     	                 	                           	                     	from Watkins and Verbeek; ODP 101 SR Chapter 3 Table 1 p 68-69

