Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Archaias angulatus	Lepidocyclina sp.	Miogysina sp.	Lepidocyclina dartoni	Heterostegina antillea	Nummulites ponomensis	Miogysina staufferi	Miogysina gunteri	Lepidocyclina miraflorensis	Lepidocyclina canellei	Broeckina discoidea	Amphistegina lessoniI	Gypsina cf. vesicularis	Nummulites cojimarensis	Miogysina antillea	Lepidocyclina yurnagunensis	Dictyoconus floridanus	Comment



  SR	                 	                 	                  	              	101	 626	D	  1	R	 1	  50.00	    179.9000	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	             	                     	                      	                     	                   	                 	                           	                      	                   	r                    	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	  1	R	CC	   9.00	    180.7700	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	             	                     	                      	                     	                   	                 	                           	                      	                   	r                    	                       	                       	                  	                           	r                     	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	  3	R	CC	   9.00	    199.1400	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	             	                     	                      	                     	                   	                 	                           	                      	                   	r                    	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 11	R	 1	  50.00	            	Raymo    	Benthic Foraminifers                         	               	                  	r                 	                 	             	                     	                      	                     	r                  	                 	r                          	r                     	                   	r                    	r                      	r                      	                  	r                          	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 11	R	CC	  10.00	    275.7000	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	             	                     	                      	                     	r                  	                 	                           	r                     	                   	                     	                       	r                      	r                 	r                          	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 13	R	 1	  50.00	    293.7000	Raymo    	Benthic Foraminifers                         	               	                  	                  	r                	             	                     	                      	                     	                   	                 	                           	                      	                   	                     	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 13	R	CC	  12.00	    294.6200	Raymo    	Benthic Foraminifers                         	               	                  	                  	r                	r            	                     	                      	                     	                   	                 	                           	                      	                   	r                    	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 14	R	 1	  50.00	    303.4000	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	             	                     	                      	                     	                   	                 	                           	                      	                   	                     	r                      	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 14	R	CC	  15.00	    304.0200	Raymo    	Benthic Foraminifers                         	               	                  	                  	r                	r            	                     	                      	                     	                   	                 	                           	                      	                   	                     	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 19	R	CC	  29.00	    351.2900	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	             	                     	r                     	                     	                   	r                	                           	r                     	                   	                     	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 20	R	CC	  38.00	    361.2300	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	             	                     	r                     	r                    	r                  	r                	r                          	r                     	r                  	r                    	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 21	R	CC	   8.00	    371.3000	Raymo    	Benthic Foraminifers                         	               	                  	                  	r                	             	                     	r                     	                     	                   	                 	                           	                      	                   	                     	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 23	R	CC	   5.00	    390.6300	Raymo    	Benthic Foraminifers                         	               	                  	                  	                 	r            	r                    	r                     	                     	                   	                 	                           	                      	                   	                     	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	D	 27	R	CC	  16.00	    428.1800	Raymo    	Benthic Foraminifers                         	               	                  	                  	r                	             	                     	                      	                     	                   	                 	                           	                      	                   	                     	                       	                       	                  	                           	                      	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

