Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster calculosus,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Discoaster deflandrei,Cyclicargolithus floridanus,Discoaster tristellifer,Sphenolithus moriformis,Coccolithus pelagicus,Coronocyclus nitescens,Coccolithus miopelagicus,Helicosphaera obliqua,Helicosphaera intermedia,Helicosphaera carteri,Discoaster variabilis,Reticulofenestra minutula,Sphenolithus distentus,Reticulofenestra minuta,Helicosphaera granulata,Helicosphaera ampliaperta,Discoaster exilis,Pontosphaera pachymorpha,Discoaster bollii,Calcidiscus leptoporus,Catinaster coalitus,Scyphosphaera pulcherrima,Discoaster adamanteus,Discolithina sp.,Discoaster druggii,Discoaster kugleri,Discoaster sp. cf. Discoaster bellus,Discoaster brouweri,Discoaster bellus,Sphenolithus predistentus,Discoaster hamatus,Discoaster quinqueramus,Discoaster prepentaradiatus,Discoaster surculus,Discoaster berggrenii,Amaurolithus primus,Discoaster neohamatus,Amaurolithus delicatus,Discoaster pentaradiatus,Ceratolithus cristatus,Discoaster asymmetricus (grainy),Pseudoemiliania lacunosa,Calcidiscus tropicus,Gephyrocapsa spp. (small),Gephyrocapsa oceanica s.l.,Umbilicosphaera sibogae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,116, 718,C,  2,X,CC,  24.00,     19.0400,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,T                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,T                       ,                    ,R                        ,T                         ,T                      ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,116, 718,C,  3,X, 2,  59.00,     30.3900,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,R                    ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,R                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,R                        ,F                         ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,116, 718,C,  3,X,CC,  30.00,     33.1000,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,                           ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,                      ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,T                       ,                    ,T                        ,F                         ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,116, 718,C,  4,X, 1,  55.00,     38.3500,Gartner  ,Nannofossils                                 ,               ,                  ,                     ,                          ,                  ,                               ,                     ,T                          ,                       ,                       ,                     ,                      ,                        ,                     ,                        ,                     ,                     ,                         ,                      ,                       ,                       ,                         ,                 ,                        ,                 ,T                     ,                   ,                         ,                     ,                ,                  ,                  ,                                    ,                   ,                 ,                         ,                  ,                       ,                           ,                   ,                     ,                   ,                     ,                      ,                        ,                      ,                                ,                        ,                    ,                         ,F                         ,                       ,from ODP Leg 116 SR Chapter 15 Figure 7 p 176-181
