Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Acritarchs (undifferentiated)	Shublikodinium spp.	Prasinophyceen (unspecified taxon or taxa)	Dinoflagellate cysts indet.	Suessia sp.	Suessia swabiana	Suessia listeri	Dapcodinium cf. priscum	Rhaetogonyaulax sp.	Comment



  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  6	R	 2	  26.00	    284.7600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                            	                   	                                          	+                          	+          	                	               	                       	+                  	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  7	R	 2	  74.00	    294.7400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                            	                   	R                                         	F                          	F          	R               	R              	R                      	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  8	R	 1	  42.00	    302.4200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                            	                   	                                          	R                          	           	                	               	R                      	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  8	R	 3	 113.00	    306.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	A                            	                   	                                          	F                          	R          	                	               	F                      	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  9	R	 1	  74.00	    312.2400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	A                            	F                  	R                                         	C                          	C          	R               	               	F                      	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  9	R	 4	  10.00	    316.1000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                            	                   	                                          	                           	           	                	               	                       	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 10	R	 1	  76.00	    321.7600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                            	                   	                                          	                           	           	                	               	                       	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 10	R	 2	  76.00	    323.2600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	C                            	                   	                                          	                           	           	                	               	                       	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 11	R	 1	 115.00	    331.6500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	A                            	                   	                                          	F                          	R          	                	               	R                      	                   	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

