Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa spp. (small),Gephyrocapsa muellerae,Gephyrocapsa caribbeanica,Emiliania huxleyi,Coccolithus pelagicus,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Syracosphaera spp.(small),Braarudosphaera bigelowii,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  1,H, 1,  18.00,      0.1800,Su       ,Nannofossils                                 ,F              ,M-G               ,R                        ,F                     ,                         ,A                ,R                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  2,H, 1,  27.00,      4.2700,Su       ,Nannofossils                                 ,F              ,M-G               ,F                        ,D                     ,                         ,F                ,R                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  2,H, 2,  23.00,      5.7300,Su       ,Nannofossils                                 ,C              ,G                 ,F                        ,A                     ,                         ,A                ,R                    ,                        ,F                    ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1030,B,  2,H, 3,  34.00,      7.3400,Su       ,Nannofossils                                 ,B              ,M-G               ,                         ,C                     ,F                        ,A                ,R                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  2,H, 5,  60.00,     10.6000,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,C                     ,                         ,D                ,R                    ,                        ,                     ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  2,H, 7,  28.00,     13.2800,Su       ,Nannofossils                                 ,A              ,M-G               ,F                        ,D                     ,F                        ,F                ,                     ,                        ,F                    ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1030,B,  3,H, 1,  52.00,     14.0200,Su       ,Nannofossils                                 ,C              ,M-G               ,F                        ,A                     ,F                        ,C                ,R                    ,                        ,F                    ,                         ,                         ,                      ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
