Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinovantedinium capitatum,Tectatodinium sp. III,Tectatodinium sp. II,Tectatodinium sp. I,Tectatodinium sp.,Tectatodinium simplex,Tectatodinium pellitum,Systematophora placacantha,Stelladinium reidii,Spiniferites spp.,"Spiniferites sp. ""TS""",Spiniferites scabratus,Spiniferites rubinus,Spiniferites pachyderma,Spiniferites elongatus,Spiniferites bentorii,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Platycystidia sp. 1,Peridinium faeroense,Pentadinium laticinctum,Pediastrum sp.,Palaeostomocystis spp.,Operculodinium wallii,Operculodinium sp.,Operculodinium sp.,Operculodinium longispinigerum,Operculodinium israelianum,Operculodinium echigoense,Operculodinium crassum,Operculodinium centrocarpum,Nematosphaeropsis oblonga,Nematosphaeropsis lemniscata,Nematosphaeropsis labyrinthea,Multispinula minuta,Melitasphaeridium choanophorum,Lingulodinium machaerophorum,Labyrinthodinium truncatum,Impletosphaeridium spp.,Impagidinium spp.,Impagidinium sphaericum,Impagidinium pallidum,Impagidinium multiplexum,Impagidinium aquaeductum,Hystrichosphaeropsis pontiana,Hystrichokolpoma sp.,Hystrichokolpoma rigaudiae,Filisphaera filifera,Dinocyst sp. 1,Dapsilidinium pastielsii,Cymatiosphaera sp. 1,Cyclopsiella elliptica,Corrudinium harlandii,Brigantedinium sp. group B,Brigantedinium sp. group A,Brigantedinium simplex,Bitectatodinium tepikiense,Batiacasphaera sphaerica,Batiacasphaera sp. II,Ataxiodinium choanum,Amiculosphaera umbracula,Achomosphaera sp. A,Achomosphaera ramulifera,Achomosphaera andalousiensis,?Pyxidiella sp. 1,?Labyrinthodinium sp. 1,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  1,H,CC,  12.00,      4.6200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,C                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,A                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  2,H, 1,   5.00,      4.8500,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,R                     ,-                   ,-                      ,R                     ,-                    ,-                       ,-                               ,-                      ,-                  ,R                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,-                            ,R                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,R                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  2,H, 2,  41.00,      6.7100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,C                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,C                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,PM1 (Mudie1989)   ,              ,104, 642,B,  2,H, 3,  41.00,      8.2100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,R                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,R                  ,R                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,R                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,C                            ,-                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
