Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Orbulina universa,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globorotalia plesiotumida,Globorotalia margaritae,Globorotalia cibaoensis,Globoconella conomiozea,Globoconella conoidea,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina falconensis,Globigerina bulloides,Pulleniatina obliquiloculata,Globorotalia pliozea,Globorotalia mons,Globigerinoides extremus,Globorotalia crassula,Globigerinella obesa,Sphaeroidinellopsis seminulina,Globorotalia puncticulata,Globorotalia menardii,Globorotalia crassaformis,Globigerinoides conglobatus,Neogloboquadrina pachyderma (sinistral),Globorotalia tumida,Globigerinoides obliquus,Globigerinella siphonifera,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia sp. cf. tosaensis,Globorotalia inflata,Neogloboquadrina dutertrei,Globigerinoides tenellus,Zeaglobigerina rubescens,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1130,B,  1,H,CC,  21.00,      3.9000,Li       ,Planktonic Foraminifers                      ,F              ,VG                ,                    ,                        ,                          ,                 ,P                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,P                    ,                             ,                       ,P                      ,F                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,P                            ,                      ,                              ,F                   ,                          ,                        ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1130,B,  2,H,CC,  16.00,     12.7200,Li       ,Planktonic Foraminifers                      ,F              ,VG                ,                    ,                        ,                          ,P                ,P                                    ,P                   ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,P                    ,                             ,P                      ,P                      ,P                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,P                            ,                      ,                              ,F                   ,                          ,                        ,                        ,P                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1130,B,  3,H,CC,   7.00,     13.5700,Li       ,Planktonic Foraminifers                      ,F              ,VG                ,                    ,                        ,                          ,                 ,P                                    ,                    ,                         ,                       ,                       ,                       ,                     ,                        ,                          ,F                    ,                             ,                       ,F                      ,P                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,                          ,F                            ,                      ,                              ,F                   ,                          ,                        ,                        ,P                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1130,B,  4,H,CC,  20.00,     32.9200,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                          ,F                ,P                                    ,                    ,                         ,                       ,                       ,                       ,                     ,P                       ,                          ,F                    ,                             ,                       ,F                      ,F                      ,P                    ,                            ,                    ,                 ,                        ,                     ,                    ,                              ,                         ,                     ,                         ,                           ,                                       ,                   ,                        ,P                         ,F                            ,                      ,                              ,F                   ,P                         ,                        ,                        ,P                   ,       
