Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys peregrina,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocorythium trachelium trachelium,Theocalyptra davisiana,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium angulare,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 852,D,  2,H,CC,  24.00,     21.5600,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                     ,R                ,R                     ,                         ,                          ,                   ,                         ,                       ,R                    ,-                                  ,R                     ,R                          ,R                       ,-                      ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,D,  4,H,CC,  25.00,     40.5400,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,C                    ,R                ,R                     ,R                        ,-                         ,R                  ,-                        ,R                      ,R                    ,                                   ,                      ,                           ,                        ,                       ,Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
