Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
172,1062,E,Initial Reports          ,      46.590,    0.460000,T Pseudoemiliania lacunosa
,,,,,,
172,1062,E,Initial Reports          ,      82.630,    1.000000,Reent. medium sized Gephyrocapsa spp.
,,,,,,
172,1062,E,Initial Reports          ,      93.760,    1.240000,T large Gephyrocapsa spp.
,,,,,,
172,1062,E,Initial Reports          ,      99.200,    1.580000,B large Gephyrocapsa spp.
,,,,,,
172,1062,E,Initial Reports          ,     101.050,    1.690000,B medium sized Gephyrocapsa spp.
,,,,,,
172,1062,E,Initial Reports          ,     107.070,    1.950000,T Discoaster brouweri
,,,,,,
172,1062,E,Initial Reports          ,     124.440,    2.520000,T Discoaster pentaradiatus
,,,,,,
172,1062,E,Initial Reports          ,     158.500,    2.830000,T Discoaster tamalis
,,,,,,
