Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Tectatodinium pellitum	Sumatradinium hispidum	Spiniferites ramosus	Spiniferites pachyderma	Spiniferites hyperacanthus	Spiniferites bulloideus	Selenopemphix nephroides	Quinquecuspis concreta	Polysphaeridium zoharyi	Operculodinium longispinigerum	Operculodinium janduchenei	Operculodinium israelianum	Operculodinium echigoense	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Multispinula quanta	Melitasphaeridium choanophorum	Lingulodinium machaerophorum	Impagidinium strialatum	Impagidinium sphaericum	Impagidinium sp. cf. I. paradoxum	Impagidinium patulum	Impagidinium paradoxum	Impagidinium aculeatum	Hystrichokolpoma rigaudiae	Dapsilidinium pastielsii	Cyst type A	Blysmatodinium argoi	Batiacasphaera spp.	Achomosphaera sp.	Comment



  SR	Pleistocene      	                 	                  	              	133	 823	B	 13	X	 3	  58.00	    116.3800	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	1.7%                      	.0%                   	.0%                   	2.0%                	.0%                    	8.6%                      	36.2%                  	.0%                     	.0%                   	.0%                    	5.2%                          	.0%                       	12.1%                     	3.5%                     	8.6%                       	.0%                         	.0%                	.0%                           	.0%                         	.0%                    	.0%                    	.0%                              	.0%                 	5.2%                  	3.5%                  	.0%                       	.0%                     	1.7%       	.0%                 	.0%                	10.4%            	Total count = 58 ; from ODP 133 SR Chapter 8 Table 2 p 100

  SR	Pleistocene      	                 	                  	              	133	 823	B	 15	X	 3	  60.00	    135.7000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	4.5%                      	.0%                   	.0%                   	1.8%                	.0%                    	2.7%                      	49.5%                  	.9%                     	.0%                   	.0%                    	3.6%                          	.0%                       	6.3%                      	3.6%                     	8.1%                       	.0%                         	.0%                	.0%                           	.0%                         	2.7%                   	2.7%                   	.0%                              	.9%                 	1.8%                  	2.7%                  	.0%                       	.0%                     	1.8%       	.0%                 	.0%                	2.7%             	Total count = 111 ; from ODP 133 SR Chapter 8 Table 2 p 100

  SR	Pleistocene      	                 	                  	              	133	 823	B	 16	X	 3	  60.00	    145.3000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	.0%                       	.0%                   	.0%                   	.0%                 	.0%                    	.0%                       	.0%                    	.0%                     	.0%                   	.0%                    	.0%                           	.0%                       	1.0%                      	.0%                      	1.0%                       	.0%                         	.0%                	.0%                           	.0%                         	.0%                    	.0%                    	.0%                              	.0%                 	.0%                   	.0%                   	.0%                       	.0%                     	.0%        	.0%                 	.0%                	.0%              	Total count = 2; from ODP 133 SR Chapter 8 Table 2 p 100

  SR	Late Pliocene    	                 	                  	              	133	 823	B	 22	X	 4	  60.00	    204.9000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	3.4%                      	.0%                   	.0%                   	.0%                 	.0%                    	6.9%                      	10.3%                  	.0%                     	.0%                   	6.9%                   	10.3%                         	.0%                       	.0%                       	.0%                      	3.4%                       	.0%                         	.0%                	.0%                           	.0%                         	10.3%                  	.0%                    	.0%                              	13.8%               	17.2%                 	13.8%                 	1.0%                      	.0%                     	.0%        	.0%                 	.0%                	.0%              	Total count = 29; from ODP 133 SR Chapter 8 Table 2 p 100
