Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Gephyrocapsa oceanica	Thoracosphaera heimii	Reticulofenestra minutula	Helicosphaera carteri	Gephyrocapsa omega	Emiliania huxleyi	Calcidiscus leptoporus	Syracosphaera histrica	Ceratolithus cristatus	Comment
																										
																										
IR				NN21	180	1112	A	1	R	CC	9.00	2.1300	Siesser	Nannofossils	A	G	A	R	A	F	R	C	R	R	R	
																										
IR			NN20	NN21	180	1112	A	2	R	CC	0.00	10.5000	Siesser	Nannofossils	A	G	C	R	C	F	R	R	R			
																										
IR					180	1112	A	8	R	CC	32.00	68.7200	Takahashi	Nannofossils	T		R									one specimen in one transect
																										
