Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia spp.,Melonis barleeanus,Globocassidulina subglobosa,Uvigerina senticosa,Tosaia hanzawai,Sphaeroidina bulloides,Pullenia bulloides,Epistominella exigua,Uvigerina hispidocostata,Pyrgo murrhina,Oridorsalis umbonatus,Melonis pompilioides,Gyroidinoides spp.,Cibicidoides wuellerstorfi,Martinottiella hosoyaensis,Fissurina spp.,Cibicidoides spp.,Pleurostomella spp.,Globobulimina affinis,Chilostomella sp.,Bolivina pusilla,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,A,  3,H, 4,   0.00,     18.0000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F            ,C                 ,R                          ,A                  ,F              ,F                     ,C                 ,F                   ,C                       ,F             ,A                    ,C                   ,                  ,F                         ,F                         ,C             ,F                ,                   ,F                    ,F                ,R               ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,A,  4,H,CC,  14.00,     32.5400,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F            ,R                 ,                           ,F                  ,R              ,C                     ,F                 ,                    ,                        ,R             ,A                    ,F                   ,                  ,                          ,R                         ,F             ,C                ,R                  ,                     ,                 ,                ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,A,  5,H,CC,  23.00,     42.2400,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C            ,                  ,                           ,F                  ,R              ,C                     ,C                 ,C                   ,F                       ,R             ,R                    ,C                   ,                  ,C                         ,                          ,F             ,F                ,                   ,                     ,                 ,                ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,A,  7,H, 3, 140.00,     56.0000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R            ,F                 ,                           ,                   ,C              ,F                     ,A                 ,C                   ,                        ,C             ,F                    ,A                   ,                  ,C                         ,R                         ,F             ,F                ,                   ,                     ,                 ,                ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,A,  9,H,CC,   5.00,     78.6600,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R            ,F                 ,                           ,                   ,               ,                      ,A                 ,A                   ,R                       ,C             ,R                    ,C                   ,R                 ,R                         ,                          ,              ,                 ,                   ,                     ,                 ,                ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,A, 10,H, 2, 102.00,     81.9300,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C            ,C                 ,                           ,R                  ,R              ,F                     ,C                 ,C                   ,                        ,              ,                     ,                    ,                  ,                          ,                          ,              ,                 ,                   ,                     ,                 ,                ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 793,A, 11,H,CC,  14.00,     98.8600,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R            ,A                 ,R                          ,                   ,               ,                      ,                  ,                    ,                        ,              ,                     ,                    ,                  ,                          ,                          ,              ,                 ,                   ,                     ,                 ,                ,from ODP Leg 126 SR Chapter 19 Figure7 p 297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
