,path,path
type,lithology,taxa
expedition,,
1,8.0,20.0
10,14.0,18.0
11,13.0,21.0
12,11.0,5.0
13,27.0,46.0
14,13.0,44.0
15,13.0,28.0
16,12.0,39.0
17,10.0,30.0
18,14.0,41.0
19,15.0,55.0
2,10.0,16.0
20,9.0,10.0
21,13.0,31.0
22,10.0,33.0
23,13.0,16.0
24,10.0,30.0
25,12.0,8.0
26,12.0,18.0
27,5.0,13.0
28,16.0,47.0
29,15.0,56.0
3,16.0,16.0
30,9.0,15.0
31,16.0,44.0
32,11.0,14.0
33,7.0,8.0
34,5.0,14.0
35,4.0,19.0
36,9.0,15.0
37,9.0,21.0
38,17.0,24.0
39,10.0,29.0
4,11.0,26.0
40,6.0,21.0
41,7.0,18.0
42,14.0,39.0
43,6.0,5.0
44,13.0,11.0
45,3.0,6.0
46,2.0,
47A,6.0,11.0
47B,6.0,11.0
48,10.0,17.0
49,6.0,19.0
5,13.0,11.0
50,5.0,8.0
51,4.0,7.0
52,2.0,3.0
53,1.0,1.0
54,15.0,39.0
55,10.0,28.0
56,6.0,16.0
57,10.0,41.0
58,9.0,16.0
59,7.0,23.0
6,29.0,48.0
60,16.0,52.0
61,2.0,6.0
62,5.0,8.0
63,10.0,32.0
64,13.0,26.0
65,13.0,8.0
66,14.0,22.0
67,13.0,30.0
68,8.0,10.0
69,4.0,1.0
7,13.0,33.0
70,16.0,
71,6.0,32.0
72,9.0,8.0
73,13.0,24.0
74,11.0,18.0
75,6.0,7.0
76,4.0,5.0
77,8.0,3.0
78A,5.0,9.0
78B,5.0,9.0
79,8.0,2.0
8,14.0,31.0
80,7.0,9.0
81,8.0,25.0
82,10.0,6.0
83,1.0,
84,10.0,38.0
85,17.0,31.0
86,11.0,17.0
87A,14.0,39.0
87B,14.0,39.0
88,2.0,
89,6.0,6.0
9,16.0,47.0
90,18.0,53.0
91,5.0,
92,14.0,17.0
93,6.0,20.0
94,22.0,69.0
95,5.0,12.0
96,20.0,20.0
