Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina dutertrei,Hastigerinopsis riedeli,Globorotalia obesa,Globorotalia inflata,Globigerinita glutinata,Globigerina rubescens,Globigerina quinqueloba,Globigerina megastoma,Globigerina falconensis,Globigerina calida,Globigerina bulloides,Globorotalia cultrata menardii,Globigerinoides tenellus,Globigerinita iota,Globigerina decoraperta,Globorotalia crassaformis crassaformis,Globigerinita uvula,Neogloboquadrina blowi,Globorotaloides hexagona,Globorotalia scitula,Globigerinoides obliquus obliquus,Turborotalita humilis,Orbulina universa,Globorotalia pumilio,Globorotalia bermudezi,Globigerinoides elongatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B,  3,H,CC,  49.00,     23.3900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                          ,F                      ,C                 ,                    ,                       ,                     ,A                      ,                     ,                       ,                  ,C                    ,                              ,                        ,C                 ,                       ,T                                     ,C                  ,                      ,T                       ,                    ,                                 ,                     ,                 ,C                   ,T                     ,T                        ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B,  4,H,CC,   8.00,     33.5800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                          ,                       ,C                 ,                    ,F                      ,                     ,C                      ,                     ,                       ,                  ,C                    ,                              ,                        ,F                 ,                       ,                                      ,                   ,                      ,                        ,                    ,                                 ,                     ,T                ,C                   ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B,  8,H,CC,   0.00,     65.2000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                          ,A                        ,                          ,                       ,A                 ,                    ,T                      ,                     ,C                      ,                     ,T                      ,                  ,C                    ,                              ,                        ,                  ,                       ,T                                     ,                   ,                      ,                        ,                    ,                                 ,T                    ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 687,B,  9,H,CC,   7.00,     81.1300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                          ,                       ,A                 ,T                   ,C                      ,                     ,                       ,                     ,C                      ,T                 ,C                    ,                              ,T                       ,T                 ,                       ,C                                     ,                   ,                      ,                        ,T                   ,T                                ,                     ,                 ,                    ,                      ,                         ,from ODP Leg 112 SR Chapter 15 Table 9 p 254
