Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Stichocorys delmontensis	Stylodictya validispina	Stylochlamidium  venustum	Stylatractus universus	Stauroxiphos communis	Rhizosphaera antarctica	Lychnocanoma nipponica nipponica	Lamprocyclas hannai	Lamprocyclas hadros	Eucyrtidium teuscheri group	Dictyophimus splendens	Anthocyrtidium pliocenica	Rhopalastrum profunda group	Pseudocubus warreni	Eucyrtidium acuminatum	Clathrocyclas bicornis	Botryostrobus praetumidulus	Siphocampe modeloensis	Theocorys redondoensis	Spongotrochus glacialis	Pterocanium auritum	Lamprocyrtis heteroporos	Eucyrtidium calvertense	Phormostichoartus crustula	Phormostichoartus fistula	Stylacontarium acquilonium	Lamprocyclas junonis	Gondwanaria dogieli	Lamprocyrtis daniellae	Lychnocanoma nipponica sakaii	Lamprocyrtis neoheteroporos	Eucyrtidium erythromystax	Actinomma popofskii	Sphaeropyle robusta	Phormostichoartus intermedium	Dictyophimus crisiae	Acrosphaera murrayana	Pterocanium korotnevi	Cycladophora davisiana davisiana	Botryostrobus tumidulus	Sphaeropyle langii	Ceratospyris hyperborea	Botryostrobus aquilonaris	Pterocorys zancleus	Eucyrtidium matuyamai	Pterocorys clausus	Cycladophora bicincta	Lithostrobus hexagonalis	Lamprocyrtis nigriniae	Comment



  IR	Quaternary       	                 	B. aquilonaris    	              	167	1016	A	  1	H	CC	  13.00	      7.4900	Caulet   	Radiolarians                                 	C              	G                 	                     	                        	R                      	R                        	                      	                     	F                      	                                	                   	                   	                           	                      	                         	                           	                   	                      	                      	                           	                      	                      	                       	R                  	                        	R                      	T                         	                         	                          	F                   	R                  	                      	                             	                           	                         	                   	                   	                             	R                   	R                    	                     	                                	R                      	F                 	                       	R                        	F                  	                     	F                 	R                    	                        	C                     	from IR. Ch 10. Tables 8 and 9.

  IR	Quaternary       	                 	B. aquilonaris    	              	167	1016	A	  2	H	CC	  29.00	     17.4900	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	R                      	                         	                      	                     	C                      	                                	                   	                   	                           	                      	                         	R                          	R                  	                      	                      	                           	                      	                      	R                      	R                  	                        	R                      	R                         	                         	R                         	C                   	R                  	                      	R                            	                           	                         	F                  	                   	                             	R                   	R                    	F                    	A                               	                       	C                 	                       	C                        	                   	                     	C                 	C                    	                        	A                     	from IR. Ch 10. Tables 8 and 9.

  IR	Quaternary       	                 	S. universus      	              	167	1016	A	  3	H	CC	  22.00	     26.9900	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	                       	F                        	F                     	                     	F                      	                                	                   	                   	T                          	                      	                         	R                          	                   	                      	                      	                           	                      	                      	R                      	R                  	                        	R                      	                          	                         	C                         	                    	T                  	                      	F                            	R                          	                         	                   	                   	                             	                    	R                    	R                    	A                               	F                      	C                 	T                      	F                        	                   	                     	A                 	C                    	T                       	A                     	from IR. Ch 10. Tables 8 and 9.

  IR	Quaternary       	                 	S. universus      	              	167	1016	A	  4	H	CC	  42.00	     36.6400	Caulet   	Radiolarians                                 	A              	G                 	                     	                        	F                      	                         	R                     	                     	                       	                                	                   	                   	T                          	                      	                         	R                          	                   	T                     	R                     	                           	                      	                      	                       	R                  	                        	                       	R                         	                         	F                         	                    	                   	                      	F                            	A                          	                         	F                  	                   	                             	R                   	                     	                     	A                               	C                      	C                 	                       	C                        	R                  	                     	                  	A                    	T                       	A                     	from IR. Ch 10. Tables 8 and 9.
