Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera goruna,Stylosphaera coronata coronata,Spongurus quadratus,Phormocyrtis striata exquisita,Lamptonium pennatum,Entapium regulare,Clathrocycloma parcum,Buryella tetradica,Buryella pentadica,Bekoma campechensis,Astrosphaerin sp. F,Astrosphaerin sp. E,Amphisphaera minor,Stylotrochus alveatus,Dorcadospyris sp. cf. D. platycantha,Periphaena decora,Pterocodon (?) ampla,Lychnocanoma sp. B,Lithomitra docilis,Cromyomma riedeli,Bathropyramis woodringi,Bekoma divaricata,Bekoma bidartensis,Theocorys phyzella,Bekoma sp. aff. B. campechensis,Pterocodon (?) anteclinata,Podocyrtis papalis,Xiphosphaera circularis,Lithocyclia ocellus,Thyrsocyrtis tarsipes,Theocotylissa alpha,Theocotyle nigriniae,Buryella clinata,Theocotylissa auctor,Spongatractus balbis,Calocyclas hispida,Podocyrtis turgida,Phormocyrtis striata striata,Lamptonium fabaeforme fabaeforme,Calocycloma castum,Thyrsocyrtis rhizodon,Thyrsocyrtis hirsuta,Spongatractus pachystylus,Podocyrtis acalles,Lamptonium sanfilippoae,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Thyrsocyrtis tensa,Theocotylissa ficus,Podocyrtis sinuosa,Theocotyle cryptocephala,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Theocotyle venezuelensis,Podocyrtis dorus,Podocyrtis diamesa,Eusyringium lagena,Theocotyle conica,Lychnocanoma bellum,Eusyringium fistuligerum,Podocyrtis fasciolata,Podocyrtis tensa,Podocyrtis phyxis,Podocyrtis  ampla,Podocyrtis trachodes,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1050,A,1,X,CC,20.00,6.8600,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,R                 ,                       ,C                  ,                     ,                   ,                    ,                ,                    ,                    ,C                 ,                  ,C                           ,                                ,                  ,C                    ,                    ,                         ,                  ,                       ,                                  ,                                 ,                  ,                   ,C                 ,                        ,A1,F                      ,R                       ,                ,                  ,                  ,                 ,                   ,F                       ,                     ,                ,                 ,                 ,F                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1050,A,2,H,CC,24.00,20.1800,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,                    ,                ,                    ,                    ,C                 ,                  ,C                           ,                                ,                  ,C                    ,                    ,F                        ,                  ,                       ,                                  ,                                 ,                  ,                   ,C                 ,                        ,A                      ,F                      ,R                       ,                ,                  ,                  ,                 ,                   ,F                       ,                     ,                ,                 ,F                ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,3,H,CC,23.00,29.6100,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,R                      ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,A                  ,                     ,                   ,                    ,                ,                    ,                    ,F                 ,                  ,C                           ,                                ,                  ,F                    ,F                   ,R                        ,                  ,                       ,                                  ,                                 ,                  ,                   ,C                 ,                        ,C                      ,F                      ,                        ,                ,                  ,F                 ,                 ,F                  ,F                       ,                     ,                ,                 ,                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1050,A,4,H,CC,34.00,38.7200,Blome    ,Radiolarians                                 ,C              ,VG                ,                   ,                              ,                   ,                              ,                   ,                 ,                     ,                  ,                  ,                   ,                   ,                   ,                  ,                     ,                                    ,C                ,                    ,                  ,                  ,                 ,                       ,                 ,                  ,                  ,                               ,                          ,C                 ,                       ,C                  ,                     ,                   ,                    ,                ,                    ,                    ,F                 ,                  ,C                           ,                                ,                  ,F                    ,F                   ,R                        ,                  ,                       ,                                  ,                                 ,                  ,                   ,C                 ,                        ,A                      ,R                      ,F                       ,                ,                  ,F                 ,                 ,F                  ,F                       ,                     ,F               ,F                ,                 ,                    ,       
