Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Vaginulina spp.,Uvigerina spinulosa,Trifarina sp.,Stilostomella modesta,Stilostomella lepidula,Stilostomella cf. antillea,Saracenaria spp.,Pullenia quinqueloba,Pullenia bulloides,Pleurostomella alternans,Planulina spp.,Planulina costata,Orthomorphina spp.,Oridorsalis umbonatus,Nonion havanensis,Nodosaria spp.,Nodosarella spp.,Martinottiella scabra,Marginulina spp.,Lenticulina spp.,Lagena spp.,Karreriella spp.,Heronallenina spp.,Hanzawaia ammophila,Gyroidina soldanii,Globocassidulina subglobosa (s.l.)+globosa,Fissurina spp.,Epistominella umbonifera,Eggerella spp.,Dentalina spp.,Cibicidoides spp.,Cibicidoides mundulus,Cibicidoides havanensis,Cibicidoides cf. mundulus,Cibicidina walli,Cibicides spp.,Bulimina tuxpamensis,Bulimina spp.,Bulimina impendens,Astrononion echolsi,Anomalinoides pseudogrosserugosus,Amphicoryna spp.,Uvigerina sp. A,Stilostomella fistuca,Stilostomella cf. modesta,Rectuvigerina striata,Pullenia spp.,Pleurostomella obtusa,Osangularia mexicana,Orthomorphina himerensis,Glandulina spp.,Epistominella cf. umbonifera,Dorothia spp.,Bulimina sp. B,Bulimina rostrata,Brizalina spp.,Anomalinoides flintii,Textularia spp.,Stilostomella spp.,Planulina cf. mexicana,Orthomorphina richardsi,Orthomorphina challengeriana,Oolina spp.,Karreriella bradyi,Globocassidulina perumbonata,Glandulopleurostomella spp.,Cibicidoides mexicanus,Astacolus spp.,Anomalinoides semicribratus,Siphotextularia catenata,Planulina subtenuissima,Planulina renzi,Laticarinina pauperata,Globocassidulina spp.,Eggerella bradyi,Valvulineria cf. V. laevigata,Uvigerina proboscidea,Sphaeroidina spp.,Nonion spp.,Cibicidoides bradyi,Burseolina pacifica,Brizalina pusilla,Pullenia riveroi,Pullenia osloensis,Orthomorphina columnaris,Kyphopyxa spp.,Gyroidina lamarckiana,Dorothia brevis,Cibicidoides incrassatus,Bulimina carteri,Stilostomella subspinosa,Stilostomella cf. annulifera,Pleurostomella spp.,Pleurostomella acuminata,Orthomorphina perversa,Nonion cf. havanensis,Nodosaria vertebralis,Marginulinopsis spp.,Cibicidoides cf. laurisae,Uvigerina miozea,Turrillina spp.,Sphaeroidina bulloides,Pseudonodosaria laevigata,Siphonina tenuicarinata,Quinqueloculina sp.,Gyroidina spp.,Cibicidoides alazanensis,Bulimina jarvisi,Astrononion stelligerum,Stilostomella annulifera,Lingulina spp.,Gyroidina orbicularis,Dentalina hircicornua,Pullenia subcarinata,Planulina dohertyi,Cibicidoides matanzaensis,Bolivina spp.,Triloculina spp.,Stilostomella aculeata,Pleurostomella bierigi,Evolvocassidulina spp.,Epistominella cf. exigua,Bolivinopsis cubensis,Heronallenina sp. A,Uvigerina spp.,Globocassidulina cf. moluccensis,Discorbis sub-vilardeboanus,Brizalina byramensis,Stilostomella antillea,Orthomorphina glandigena,Nonionella spp.,Dentalina communis,Cibicidina cf. walli,Anomalina spp.,Trifarina bradyi,Paracassidulina neocarinata,Buliminella cf. sculpturata,Astrononion spp.,Amphicoryna scalaris,Rectuvigerina royoi,Trifarina sp. B,Trifarina sp. A,Planulina wuellerstorfi,Globocassidulina sp. cf. G. decorata,Globocassidulina sp. D,Globocassidulina crassa,Uvigerina schencki,Brizalina albatrossi,Bulimina macilenta,Epistominella exigua,Brizalina pseudoplicata,Anomalinoides globulosus,Gavelinopsis lobatulus,Paracassidulina spp.,Ellipsoidella spp.,Buliminella sculpturata,Brizalina thalmanni,Rectuvigerina sp.,Pleurostomella sp. F,Nonion cf. affine,Saracenaria latifrons,Ophthalmidium spp.,Ehrenbergina carinata,Bulimina cf. mexicana,Pyrgo cf. murrhina,Ehrenbergina hystrix,Brizalina cf. pusilla,Anomalinoides spp.,Textularia milletti,Pyrgo sp.,Ehrenbergina sp.,Bulimina mexicana,Uvigerina hispida,Globocassidulina reflexa,Pyrgo serrata,Gaudryina sp.,Cibicidoides grosseperforatus,Nodosaria cf. pyrula,Globocassidulina gemma,Stilostomella capitata,Spiroplectammina sp. A,Gyroidina sp. A,Ellipsoidina spp.,Cassidulina carinata,Allomorphina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  1,H, 1,  70.00,      0.7000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,10                    ,                          ,                ,                    ,1                 ,5                       ,              ,                 ,                  ,29                   ,                 ,              ,                ,                     ,                ,                ,3          ,                ,                  ,                   ,1                 ,56                                        ,7             ,                        ,              ,1             ,1                ,12                   ,                       ,                         ,                ,1             ,                    ,             ,                  ,21                 ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,8                   ,1                       ,2              ,                            ,             ,              ,5                ,              ,                     ,               ,                  ,                      ,                       ,                            ,           ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,6                     ,                     ,                ,                             ,8                    ,                 ,           ,                   ,                   ,                 ,                ,4                 ,                        ,              ,                     ,               ,                        ,                ,2                       ,                            ,2                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,                      ,                         ,                       ,1                  ,1             ,                        ,                ,                       ,                        ,              ,7                    ,                     ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,3                      ,                                    ,                      ,6                      ,                  ,                    ,                  ,15                  ,                       ,                        ,6                     ,                    ,                  ,                       ,1                  ,                 ,                    ,                 ,                     ,1                 ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,1        ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,2                     ,2                     ,2              ,1                ,2                   ,1                    ,"Total number of specimens 239  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  1,H, 3,  70.00,      3.7000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,8                     ,                          ,                ,                    ,3                 ,                        ,              ,                 ,                  ,12                   ,                 ,              ,                ,                     ,                ,                ,1          ,                ,                  ,                   ,2                 ,11                                        ,2             ,                        ,              ,              ,                 ,7                    ,                       ,                         ,                ,1             ,                    ,             ,                  ,11                 ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,2                   ,2                       ,               ,                            ,             ,              ,2                ,              ,                     ,               ,                  ,                      ,                       ,                            ,2          ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,1                     ,3                    ,                ,                             ,9                    ,                 ,           ,                   ,                   ,                 ,                ,1                 ,                        ,              ,                     ,               ,                        ,                ,                        ,2                           ,1                  ,                        ,                      ,                     ,1                    ,                    ,                         ,                ,               ,8                     ,                         ,                       ,                   ,              ,                        ,                ,                       ,                        ,              ,7                    ,                     ,1                   ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,1                 ,                    ,              ,1               ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,84                    ,                       ,                  ,9                   ,                  ,4                   ,                       ,                        ,2                     ,                    ,3                 ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,4                ,                        ,             ,             ,                             ,1                   ,6                     ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 216  Calcareous misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  1,H, 5,  70.00,      6.7000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,11                    ,                          ,                ,1                   ,                  ,1                       ,              ,                 ,1                 ,17                   ,2                ,              ,                ,                     ,                ,1               ,3          ,                ,                  ,                   ,8                 ,44                                        ,14            ,                        ,              ,1             ,                 ,17                   ,                       ,                         ,                ,              ,                    ,             ,                  ,3                  ,                                 ,                ,               ,                     ,                         ,4                    ,             ,                     ,1                   ,                        ,1              ,                            ,             ,              ,3                ,1             ,                     ,               ,                  ,                      ,                       ,                            ,4          ,4                 ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,5                     ,                     ,2               ,                             ,10                   ,                 ,           ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,                        ,4                           ,                   ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,6                     ,                         ,                       ,1                  ,              ,                        ,                ,                       ,                        ,              ,4                    ,                     ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,1                  ,1             ,                                ,                           ,                    ,1                     ,1                       ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,8                      ,                                    ,25                    ,                       ,                  ,                    ,                  ,1                   ,1                      ,                        ,                      ,                    ,                  ,                       ,3                  ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,4                 ,                    ,                     ,                  ,                   ,2        ,                ,                 ,                 ,12                      ,1            ,1            ,2                            ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 240  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  2,H, 1,  70.00,      9.2000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                 ,               ,                   ,             ,                     ,7                     ,                          ,                ,                    ,1                 ,1                       ,              ,                 ,                  ,7                    ,                 ,              ,                ,                     ,1               ,1               ,2          ,                ,                  ,                   ,2                 ,19                                        ,4             ,6                       ,              ,              ,                 ,14                   ,                       ,                         ,                ,              ,                    ,             ,                  ,2                  ,                                 ,                ,               ,                     ,                         ,1                    ,             ,                     ,5                   ,1                       ,1              ,                            ,             ,              ,1                ,              ,                     ,               ,                  ,                      ,                       ,                            ,2          ,                  ,                            ,                           ,                      ,              ,                           ,                        ,                       ,               ,1                     ,                     ,11              ,                             ,3                    ,                 ,           ,                   ,                   ,                 ,                ,7                 ,                        ,              ,                     ,               ,                        ,                ,1                       ,                            ,1                  ,                        ,                      ,                     ,1                    ,                    ,                         ,                ,               ,3                     ,                         ,                       ,                   ,              ,                        ,                ,                       ,                        ,              ,2                    ,                     ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,2                 ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,56                    ,                       ,                  ,                    ,                  ,                    ,                       ,1                       ,8                     ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,3                  ,         ,                ,                 ,1                ,3                       ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 185  Calcareous misc. 3 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,3"
