Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Syracosphaera spp.,Syracosphaera pulchra,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilicus,Pseudoemiliania lacunosa,Pontosphaera spp.,Oolithotus antillarum,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Florisphaera profunda,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus leptoporus,Helicosphaera hyalina,Discoaster pentaradiatus,Discoaster brouweri,Reticulofenestra asanoi,Thorosphaera flabellata,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21B             ,NN21B         ,184,1147,A,  1,H,CC,   0.00,      5.2300,nannos   ,Nannofossils                                 ,A              ,G                 ,F                      ,F                 ,R                    ,                           ,R                    ,R                      ,                                ,                        ,F                ,                     ,C                    ,A                        ,A                    ,F                      ,                         ,C                    ,F                    ,F                     ,C                     ,F                    ,R                       ,R                  ,                       ,R                      ,C                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21B             ,NN21A         ,184,1147,A,  2,H,CC,   7.00,     14.4800,nannos   ,Nannofossils                                 ,C              ,M                 ,C                      ,F                 ,R                    ,                           ,                     ,R                      ,                                ,                        ,R                ,                     ,F                    ,A                        ,A                    ,F                      ,                         ,C                    ,                     ,R                     ,C                     ,                     ,R                       ,R                  ,                       ,R                      ,F                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21A             ,NN21A         ,184,1147,A,  3,H,CC,  16.00,     24.6400,nannos   ,Nannofossils                                 ,F              ,M                 ,C                      ,                  ,                     ,                           ,R                    ,R                      ,                                ,                        ,R                ,                     ,F                    ,A                        ,C                    ,F                      ,F                        ,C                    ,                     ,R                     ,C                     ,                     ,                        ,R                  ,                       ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1147,A,  4,H,CC,   9.00,     33.9800,nannos   ,Nannofossils                                 ,C              ,M                 ,C                      ,F                 ,F                    ,                           ,R                    ,R                      ,                                ,C                       ,R                ,                     ,C                    ,A                        ,C                    ,F                      ,F                        ,C                    ,                     ,R                     ,C                     ,                     ,                        ,                   ,                       ,R                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1147,A,  5,H,CC,  16.00,     43.6600,nannos   ,Nannofossils                                 ,C              ,M                 ,C                      ,                  ,R                    ,                           ,                     ,R                      ,                                ,C                       ,R                ,                     ,C                    ,A                        ,C                    ,F                      ,                         ,C                    ,                     ,R                     ,C                     ,                     ,                        ,                   ,                       ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1147,A,  6,H,CC,   0.00,     52.2900,nannos   ,Nannofossils                                 ,R              ,P                 ,                       ,                  ,                     ,                           ,                     ,                       ,                                ,C                       ,                 ,                     ,                     ,A                        ,A                    ,                       ,                         ,C                    ,                     ,                      ,                      ,                     ,                        ,                   ,                       ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1147,A,  7,H,CC,  18.00,     62.6800,nannos   ,Nannofossils                                 ,F              ,P                 ,R                      ,                  ,                     ,                           ,                     ,                       ,                                ,C                       ,                 ,                     ,                     ,A                        ,A                    ,                       ,                         ,C                    ,                     ,R                     ,F                     ,                     ,R                       ,R                  ,F                      ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1147,A,  8,H,CC,  16.00,     71.6600,nannos   ,Nannofossils                                 ,A              ,M                 ,F                      ,                  ,C                    ,R                          ,                     ,C                      ,R                               ,A                       ,R                ,R                    ,F                    ,A                        ,                     ,F                      ,                         ,D                    ,                     ,R                     ,C                     ,R                    ,R                       ,R                  ,                       ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1147,A,  9,H,CC,  19.00,     81.7100,nannos   ,Nannofossils                                 ,A              ,M                 ,C                      ,R                 ,F                    ,R                          ,R                    ,C                      ,R                               ,C                       ,F                ,F                    ,C                    ,A                        ,C                    ,F                      ,F                        ,D                    ,R                    ,R                     ,C                     ,                     ,                        ,                   ,                       ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
