Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylodictya sp.	Stylatractus sp.	Spongodiscus sp.	Siphocampe sp.	Lychnocanoma sp.	Larcopyle sp.	Eucyrtidium sp.	Calocycletta sp.	Botryostrobus sp.	Cyrtocapsella japonica	Thecosphaera sp.	Peripyramis sp.	Lithelius nautiloides	Eucyrtidium calvertense	Euchitonia sp.	Antarctissa strelkovi	Spongotrochus glacialis	Spongodiscus osculosus	Hexacontium sp.	Cycladophora davisiana davisiana	Botryostrobus auritus/australis	Stylatractus universus	Saccospyris antarctica	Antarctissa denticulata	Botryostrobus aquilonaris	Stylacontarium bispiculum	Prunopyle antarctica	Phorticium clevei	Axoprunum angelinum	Triceraspyris antarctica	Saturnalis circularis	Pterocanium trilobum	Dictyophimus hirundo	Carpocanistrum sp.	Spongoplegma antarcticum	Theocorythium sp.	Cycladophora davisiana cornutoides	Actinomma leptodermum	Antarctissa longa	Heliodiscus asteriscus	Stichocorys peregrina	Gondwanaria dogieli	Dictyophimus sp.	Cycladophora bicornis bicornis	Cornutella profunda	Phormostichoartus fistula	Lamprocyrtis maritalis	Actinomma sp.	Lamprocyrtis nigriniae	Comment
  IR	                 	                 	                  	              	181	1122	C	 15	X	CC	  28.00	    111.2800	rads     	Radiolarians                                 	T              	M                 	               	                	R               	              	                	R            	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 16	X	CC	  15.00	    122.8800	rads     	Radiolarians                                 	R              	G                 	               	F               	A               	              	                	C            	               	                	                 	                      	F               	R              	                     	                       	R             	C                    	                       	R                     	R              	R                               	                               	                      	R                     	C                      	R                        	                         	F                   	R                	                   	T                       	                     	                    	                    	                  	                        	                 	                                  	F                    	R                	T                     	T                    	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 17	X	CC	  15.00	    133.3500	rads     	Radiolarians                                 	R              	G                 	               	T               	C               	              	                	             	               	                	                 	                      	                	               	                     	                       	R             	F                    	T                      	                      	               	                                	                               	                      	R                     	                       	                         	                         	                    	R                	                   	                        	                     	                    	                    	                  	                        	                 	                                  	R                    	                 	                      	T                    	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 18	X	CC	   9.00	    140.5100	rads     	Radiolarians                                 	C              	M                 	               	                	A               	              	                	F            	               	                	                 	                      	                	               	T                    	                       	T             	                     	                       	R                     	R              	R                               	                               	T                     	R                     	C                      	                         	                         	R                   	R                	                   	                        	                     	                    	                    	                  	                        	                 	                                  	R                    	                 	                      	T                    	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 19	X	CC	   5.00	    150.4800	rads     	Radiolarians                                 	R              	P                 	               	                	C               	              	                	F            	               	                	                 	                      	                	               	                     	                       	F             	                     	                       	                      	R              	T                               	                               	                      	                      	C                      	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	T                	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 20	X	CC	   9.00	    161.2100	rads     	Radiolarians                                 	T              	P                 	               	                	R               	              	                	             	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 21	X	CC	   0.00	    167.9900	rads     	Radiolarians                                 	T              	P                 	               	R               	F               	              	                	             	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	T                               	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	T                    	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 22	X	CC	   0.00	    176.9300	rads     	Radiolarians                                 	T              	P                 	               	                	                	              	                	             	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	R                      	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

