Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylacontarium acquilonium,Siphocampe arachnea,Rhizosphaera aquatica,Phormostichoartus intermedium,Lamprocyrtis neoheteroporos,Lamprocyclas junonis,Eucyrtidium calvertense,Botryostrobus praetumidulus,Actinomma popofskii,Stylochlamidium  venustum,Rhopalastrum profunda group,Lamprocyrtis heteroporos,Eucyrtidium erythromystax,Clathrocyclas bicornis,Stylodictya validispina,Stylatractus universus,Stichocorys peregrina,Pseudocubus warreni,Lamprocyclas hadros,Cyrtocapsella cornuta,Botryostrobus aquilonaris,Acrosphaera murrayana,Sphaeropyle langii,Lychnocanoma nipponica sakaii,Eucyrtidium aderces,Phormostichoartus crustula,Cycladophora davisiana davisiana,Ceratospyris hyperborea,Eucyrtidium acuminatum,Ceratocyrtis histricosa,Lamprocyrtis daniellae,Eucyrtidium matuyamai,Pterocanium auritum,Prunopyle trypopyrena,Cycladophora bicincta,Eucyrtidium teuscheri group,Botryostrobus tumidulus,Pterocorys clausus,Stichocorys delmontensis,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,167,1014,B,  2,H,CC,  21.00,     13.0700,Caulet   ,Radiolarians                                 ,R              ,P                 ,                          ,                   ,                     ,                             ,                           ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,                       ,                      ,                     ,                   ,                   ,                     ,                         ,+                    ,                  ,                             ,                   ,                          ,                                ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,167,1014,B,  6,H,CC,  34.00,     51.3300,Caulet   ,Radiolarians                                 ,R              ,P                 ,+                         ,                   ,+                    ,                             ,                           ,                    ,                       ,                           ,                   ,                         ,                           ,+                       ,                         ,                      ,+                      ,                      ,                     ,                   ,                   ,                     ,+                        ,                     ,                  ,                             ,                   ,                          ,                                ,                       ,                      ,                       ,                      ,                     ,                   ,                     ,                     ,                           ,                       ,                  ,+                       ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B,  7,H,CC,  18.00,     60.7000,Caulet   ,Radiolarians                                 ,R              ,P                 ,                          ,                   ,                     ,                             ,                           ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,                       ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,                  ,                             ,                   ,                          ,                                ,                       ,                      ,                       ,                      ,+                    ,                   ,                     ,                     ,                           ,                       ,                  ,                        ,                      ,from IR. Ch 8. Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Pleistocene      ,                  ,              ,167,1014,B,  8,H,CC,  46.00,     70.2000,Caulet   ,Radiolarians                                 ,R              ,M                 ,                          ,                   ,                     ,                             ,+                          ,                    ,                       ,                           ,                   ,                         ,                           ,                        ,                         ,                      ,                       ,                      ,                     ,                   ,                   ,                     ,                         ,                     ,+                 ,                             ,                   ,                          ,+                               ,                       ,                      ,                       ,                      ,                     ,+                  ,                     ,+                    ,                           ,+                      ,                  ,                        ,+                     ,from IR. Ch 8. Table 9.
