Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina acostaensis (dextral)	Globorotalia limbata	Globigerinoides obliquus obliquus	Globigerinella aequilateralis	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Orbulina universa	Neogloboquadrina continuosa	Globorotaloides hexagona	Globorotalia scitula	Globorotalia crassula	Globoquadrina venezuelana	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus extremus	Globigerinoides conglobatus	Globigerina nepenthes	Globigerina bulloides	Candeina nitida	Beella digitata	Neogloboquadrina humerosa	Globorotalia conoidea	Globoquadrina dehiscens	Sphaeroidinellopsis paenedehiscens	Globorotalia sp. cf. pseudomiocenica	Globorotalia margaritae	Pulleniatina praecursor	Globorotalia crassaformis hessi	Pulleniatina primalis	Globorotalia puncticulata	Globorotalia crassaformis crassaformis	Globigerinita glutinata	Globigerina decoraperta	Globorotalia multicamerata	Sphaeroidinella dehiscens	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia miocenica	Globorotalia crassaformis viola	Globigerinoides ruber (white)	Globorotalia menardii	Globigerinella obesa	Globigerina falconensis	Globorotalia pertenuis	Globigerina apertura	Globorotalia exilis	Globigerinoides fistulosus	Pulleniatina obliquiloculata	Globorotalia inflata	Globorotalia tumida tumida	Globorotalia tumida flexuosa	Globorotalia truncatulinoides	Comment



  SR	                 	                 	G. truncatulinoides	              	108	 661	A	  1	H	CC	  15.00	      1.5700	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	                    	                                 	R                            	                              	                         	R                	                           	R                       	                    	                     	                         	                       	F                       	F                         	                                 	R                          	                     	R                    	               	R              	                         	                     	                       	                                  	                                    	                       	                       	R                              	                     	                         	R                                     	                       	                       	                          	                         	F                                    	F                         	                      	                               	F                            	                     	                    	                       	                      	                    	                   	                          	R                           	R                   	C                         	C                           	R                            	from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	                  	              	108	 661	A	  2	H	CC	  20.00	     10.9500	Weaver   	Planktonic Foraminifers                      	F              	P                 	                                      	                    	                                 	R                            	                              	                         	R                	                           	R                       	                    	                     	                         	                       	F                       	F                         	                                 	R                          	                     	                     	               	               	                         	                     	                       	                                  	                                    	                       	                       	F                              	                     	                         	                                      	                       	                       	                          	R                        	R                                    	C                         	                      	                               	R                            	R                    	                    	                       	                      	                    	                   	                          	R                           	F                   	F                         	                            	                             	age is uncertain from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	                  	              	108	 661	A	  3	H	CC	  20.00	     20.0900	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	                    	R                                	R                            	                              	                         	R                	                           	R                       	                    	                     	                         	                       	F                       	C                         	                                 	R                          	                     	R                    	               	R              	                         	                     	                       	                                  	                                    	                       	                       	R                              	                     	                         	                                      	F                      	                       	                          	R                        	F                                    	F                         	                      	                               	C                            	                     	                    	                       	                      	                    	                   	R                         	R                           	R                   	F                         	                            	                             	age is uncertain from ODP Leg 108 SR Chapter 5 Table 8 p 82

  SR	                 	                 	                  	              	108	 661	A	  4	H	CC	  20.00	     30.3000	Weaver   	Planktonic Foraminifers                      	A              	M                 	                                      	                    	R                                	R                            	                              	                         	R                	                           	                        	R                   	                     	                         	                       	C                       	C                         	                                 	R                          	                     	R                    	R              	               	                         	                     	                       	                                  	                                    	                       	                       	                               	                     	                         	R                                     	R                      	                       	                          	R                        	F                                    	F                         	                      	R                              	C                            	                     	                    	                       	                      	                    	                   	R                         	R                           	R                   	                          	                            	                             	age is uncertain from ODP Leg 108 SR Chapter 5 Table 8 p 82
