Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus terebrodentarius,Rhagodiscus asper,Rhagodiscus angustus,Cretarhabdus surirellus,Conusphaera mexicana mexicana,Braarudosphaera africana,Biscutum constans,Rucinolithus irregularis,Nannoconus truitti,Nannoconus spp.,Glaukolithus diplogrammus,Eprolithus floralis,Discorhabdus rotatorius,Zygodiscus erectus,Micrantholithus hoschulzii,Vagalapilla stradneri,Microstaurus chiastius,Lithraphidites carniolensis,Diazomatolithus lehmanii,Watznaueria britannica,Markalius circumradiatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 16,R, 1,  25.00,    141.0500,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,R                            ,                 ,                    ,                       ,                             ,                        ,                 ,R                       ,F                 ,               ,                         ,                   ,                       ,                  ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 16,R, 1,  27.00,    141.0700,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,R                            ,                 ,                    ,                       ,                             ,                        ,                 ,R                       ,F                 ,               ,                         ,R                  ,                       ,                  ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 16,R, 1,  68.00,    141.4800,Erba     ,Nannofossils                                 ,F              ,M                 ,R                   ,                             ,                 ,                    ,                       ,                             ,R                       ,                 ,                        ,F                 ,               ,                         ,                   ,                       ,                  ,                          ,                     ,                      ,                           ,                        ,                      ,                        ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Aptian      ,                 ,R.angust.-N.truitii,              ,144, 879,A, 17,R, 1,  70.00,    151.1000,Erba     ,Nannofossils                                 ,C              ,M                 ,R                   ,                             ,                 ,R                   ,                       ,                             ,R                       ,                 ,R                       ,F                 ,R              ,                         ,                   ,                       ,                  ,                          ,                     ,                      ,                           ,                        ,R                     ,R                       ,from ODP Leg 144 SR; Ch 8; Table 10; p. 167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
